tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,0,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,32,0,4,,,,,,,,,
0,program_change,0,0,5,,,,,,,,,,,4,48,,,,,,,,
0,control_change,0,0,5,,,,,,,,,7,80,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,10,94,4,,,,,,,,,
0,note_on,0,0,5,,,,,,,,,,,4,,46,100,,,,,,
0,sequence_number,0,1,6,,,,,,,0,,,,,,,,,,,,,
0,smpte_offset,0,1,6,,,,,,,,,,,,,,,24,0,0,0,0,0
0,midi_port,0,1,6,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,0,0,4,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,32,0,4,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,7,80,4,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,10,104,4,,,,,,,,,
0,note_on,0,0,6,,,,,,,,,,,4,,34,100,,,,,,
0,sequence_number,0,1,7,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,0,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,0,5,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,32,0,5,,,,,,,,,
0,program_change,0,0,7,,,,,,,,,,,5,6,,,,,,,,
0,control_change,0,0,7,,,,,,,,,7,80,5,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,10,44,5,,,,,,,,,
0,note_on,0,0,7,,,,,,,,,,,5,,58,100,,,,,,
0,program_change,0,0,6,,,,,,,,,,,4,48,,,,,,,,
0,note_on,0,0,7,,,,,,,,,,,5,,62,100,,,,,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,,,,3,,58,100,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,1,48,,,,,,,,
0,control_change,0,0,2,,,,,,,,,7,80,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,10,14,1,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,,,1,,65,100,,,,,,
0,sequence_number,0,1,3,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,0,2,,,,,,,,,
0,sequence_number,0,1,5,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,32,0,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,7,80,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,10,114,2,,,,,,,,,
0,note_on,0,0,3,,,,,,,,,,,2,,62,100,,,,,,
0,sequence_number,0,1,4,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,0,0,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,32,0,3,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,3,48,,,,,,,,
