tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,4,,,7,127,3,,,,
0,program_change,,,,,0,0,4,,,,,3,48,,,
0,key_signature,,,,,0,1,4,,,,,,,A,,
0,note_on,,,,,0,0,4,,,,,3,,,69,88
0,key_signature,,,,,0,1,13,,,,,,,C,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,4,,,121,0,3,,,,
0,control_change,,,,,0,0,5,,,0,0,4,,,,
0,control_change,,,,,0,0,5,,,121,0,4,,,,
0,control_change,,,,,0,0,5,,,7,127,4,,,,
0,program_change,,,,,0,0,5,,,,,4,41,,,
0,key_signature,,,,,0,1,5,,,,,,,A,,
0,note_on,,,,,0,0,5,,,,,4,,,61,75
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,5,,,10,105,4,,,,
0,control_change,,,,,0,0,6,,,0,0,5,,,,
0,control_change,,,,,0,0,4,,,10,105,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,2,,,10,105,1,,,,
0,control_change,,,,,0,0,2,,,121,0,1,,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,program_change,,,,,0,0,2,,,,,1,40,,,
0,key_signature,,,,,0,1,2,,,,,,,A,,
0,note_on,,,,,0,0,2,,,,,1,,,69,75
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,10,21,2,,,,
0,control_change,,,,,0,0,3,,,121,0,2,,,,
0,control_change,,,,,0,0,3,,,7,127,2,,,,
0,program_change,,,,,0,0,3,,,,,2,48,,,
0,key_signature,,,,,0,1,3,,,,,,,A,,
0,note_on,,,,,0,0,3,,,,,2,,,69,94
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,control_change,,,,,0,0,6,,,10,24,5,,,,
0,control_change,,,,,0,0,6,,,7,127,5,,,,
0,note_on,,,,,0,0,8,,,,,7,,,57,60
0,track_name,,,,,0,1,9,,,,,,,,,
0,key_signature,,,,,0,1,9,,,,,,,C,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,
0,key_signature,,,,,0,1,10,,,,,,,C,,
0,key_signature,,,,,0,1,8,,,,,,,A,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,key_signature,,,,,0,1,11,,,,,,,C,,
0,end_of_track,,,,,0,1,11,,,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,C,,
0,end_of_track,,,,,0,1,12,,,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,control_change,,,,,0,0,6,,,121,0,5,,,,
0,program_change,,,,,0,0,8,,,,,7,6,,,
0,control_change,,,,,0,0,8,,,121,0,7,,,,
0,program_change,,,,,0,0,6,,,,,5,42,,,
0,key_signature,,,,,0,1,6,,,,,,,A,,
0,note_on,,,,,0,0,6,,,,,5,,,57,75
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,6,,,,
0,control_change,,,,,0,0,7,,,10,64,6,,,,
0,control_change,,,,,0,0,8,,,7,127,7,,,,
0,control_change,,,,,0,0,7,,,121,0,6,,,,
0,program_change,,,,,0,0,7,,,,,6,43,,,
0,key_signature,,,,,0,1,7,,,,,,,A,,
0,note_on,,,,,0,0,7,,,,,6,,,45,75
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,8,,,0,0,7,,,,
0,control_change,,,,,0,0,8,,,10,64,7,,,,
0,control_change,,,,,0,0,7,,,7,127,6,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,13,,,,,,,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,control_change,,,,,0,0,1,,,10,24,0,,,,
0,program_change,,,,,0,0,1,,,,,0,40,,,
0,key_signature,,,,,0,1,1,,,,,,,A,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,control_change,,,,,0,0,1,,,121,0,0,,,,
0,note_on,,,,,0,0,1,,,,,0,,,69,75
384,note_on,,,,,0,0,3,,,,,2,,,71,94
384,note_off,,,,,384,0,4,,,,,3,,,69,0
384,note_on,,,,,0,0,5,,,,,4,,,64,75
384,note_on,,,,,0,0,7,,,,,6,,,44,75
384,note_off,,,,,384,0,7,,,,,6,,,45,0
384,note_on,,,,,0,0,1,,,,,0,,,71,75
384,note_on,,,,,0,0,2,,,,,1,,,64,75
384,note_on,,,,,0,0,4,,,,,3,,,64,88
384,note_off,,,,,384,0,1,,,,,0,,,69,0
384,note_off,,,,,384,0,5,,,,,4,,,61,0
384,note_off,,,,,384,0,6,,,,,5,,,57,0
384,note_on,,,,,0,0,6,,,,,5,,,56,75
384,note_on,,,,,0,0,8,,,,,7,,,56,60
384,note_off,,,,,384,0,3,,,,,2,,,69,0
384,note_off,,,,,384,0,2,,,,,1,,,69,0
384,note_off,,,,,384,0,8,,,,,7,,,57,0
576,note_off,,,,,192,0,3,,,,,2,,,71,0
576,note_off,,,,,192,0,8,,,,,7,,,56,0
576,note_on,,,,,0,0,3,,,,,2,,,73,94
576,note_on,,,,,0,0,5,,,,,4,,,64,75
576,note_off,,,,,192,0,5,,,,,4,,,64,0
576,note_on,,,,,0,0,6,,,,,5,,,52,75
576,note_on,,,,,0,0,8,,,,,7,,,52,60
576,note_off,,,,,192,0,6,,,,,5,,,56,0
576,note_on,,,,,0,0,7,,,,,6,,,40,75
576,note_on,,,,,0,0,1,,,,,0,,,73,75
576,note_off,,,,,192,0,1,,,,,0,,,71,0
576,note_off,,,,,192,0,7,,,,,6,,,44,0
576,note_off,,,,,192,0,4,,,,,3,,,64,0
576,note_on,,,,,0,0,4,,,,,3,,,68,88
576,note_off,,,,,192,0,2,,,,,1,,,64,0
576,note_on,,,,,0,0,2,,,,,1,,,68,75
768,note_on,,,,,0,0,7,,,,,6,,,42,75
768,note_off,,,,,192,0,1,,,,,0,,,73,0
768,note_on,,,,,0,0,3,,,,,2,,,74,94
768,note_off,,,,,192,0,3,,,,,2,,,73,0
768,note_off,,,,,192,0,2,,,,,1,,,68,0
768,note_off,,,,,192,0,6,,,,,5,,,52,0
768,note_on,,,,,0,0,6,,,,,5,,,54,75
768,note_on,,,,,0,0,2,,,,,1,,,69,75
768,note_on,,,,,0,0,4,,,,,3,,,69,88
768,note_off,,,,,192,0,8,,,,,7,,,52,0
768,note_on,,,,,0,0,1,,,,,0,,,74,75
768,note_off,,,,,192,0,4,,,,,3,,,68,0
768,note_on,,,,,0,0,5,,,,,4,,,62,75
768,note_off,,,,,192,0,5,,,,,4,,,64,0
768,note_off,,,,,192,0,7,,,,,6,,,40,0
768,note_on,,,,,0,0,8,,,,,7,,,54,60
960,note_off,,,,,192,0,4,,,,,3,,,69,0
960,note_off,,,,,192,0,1,,,,,0,,,74,0
960,note_on,,,,,0,0,1,,,,,0,,,71,75
960,note_on,,,,,0,0,5,,,,,4,,,62,75
960,note_off,,,,,192,0,5,,,,,4,,,62,0
960,note_on,,,,,0,0,4,,,,,3,,,64,88
960,note_off,,,,,192,0,3,,,,,2,,,74,0
960,note_on,,,,,0,0,8,,,,,7,,,56,60
960,note_off,,,,,192,0,2,,,,,1,,,69,0
960,note_on,,,,,0,0,2,,,,,1,,,64,75
960,note_off,,,,,192,0,8,,,,,7,,,54,0
960,note_on,,,,,0,0,3,,,,,2,,,71,94
960,note_off,,,,,192,0,6,,,,,5,,,54,0
960,note_on,,,,,0,0,6,,,,,5,,,56,75
960,note_on,,,,,0,0,7,,,,,6,,,44,75
960,note_off,,,,,192,0,7,,,,,6,,,42,0
1152,note_on,,,,,0,0,5,,,,,4,,,61,75
1152,note_on,,,,,0,0,3,,,,,2,,,73,94
1152,note_off,,,,,192,0,8,,,,,7,,,56,0
1152,note_on,,,,,0,0,7,,,,,6,,,45,75
1152,note_off,,,,,192,0,7,,,,,6,,,44,0
1152,note_on,,,,,0,0,1,,,,,0,,,73,75
1152,note_off,,,,,192,0,1,,,,,0,,,71,0
1152,note_on,,,,,0,0,8,,,,,7,,,57,60
1152,note_on,,,,,0,0,2,,,,,1,,,64,75
1152,note_on,,,,,0,0,6,,,,,5,,,57,75
1152,note_off,,,,,192,0,6,,,,,5,,,56,0
1152,note_off,,,,,192,0,2,,,,,1,,,64,0
1152,note_off,,,,,192,0,3,,,,,2,,,71,0
1152,note_off,,,,,192,0,4,,,,,3,,,64,0
1152,note_on,,,,,0,0,4,,,,,3,,,64,88
1152,note_off,,,,,192,0,5,,,,,4,,,62,0
1536,note_off,,,,,384,0,2,,,,,1,,,64,0
1536,note_off,,,,,384,0,7,,,,,6,,,45,0
1536,note_on,,,,,0,0,7,,,,,6,,,37,75
1536,note_on,,,,,0,0,8,,,,,7,,,49,60
1536,note_off,,,,,384,0,8,,,,,7,,,57,0
1536,note_off,,,,,384,0,4,,,,,3,,,64,0
1536,note_on,,,,,0,0,2,,,,,1,,,69,75
1536,note_off,,,,,384,0,3,,,,,2,,,73,0
1536,note_on,,,,,0,0,5,,,,,4,,,61,75
1536,note_on,,,,,0,0,3,,,,,2,,,76,94
1536,note_on,,,,,0,0,4,,,,,3,,,69,88
1536,note_off,,,,,384,0,6,,,,,5,,,57,0
1536,note_on,,,,,0,0,6,,,,,5,,,49,75
1536,note_off,,,,,384,0,5,,,,,4,,,61,0
1536,note_on,,,,,0,0,1,,,,,0,,,76,75
1536,note_off,,,,,384,0,1,,,,,0,,,73,0
1920,note_off,,,,,384,0,5,,,,,4,,,61,0
1920,note_on,,,,,0,0,6,,,,,5,,,54,75
1920,note_off,,,,,384,0,1,,,,,0,,,76,0
1920,note_on,,,,,0,0,1,,,,,0,,,74,75
1920,note_on,,,,,0,0,5,,,,,4,,,57,75
1920,note_on,,,,,0,0,8,,,,,7,,,54,60
1920,note_off,,,,,384,0,8,,,,,7,,,49,0
1920,note_off,,,,,384,0,6,,,,,5,,,49,0
1920,note_off,,,,,384,0,3,,,,,2,,,76,0
1920,note_off,,,,,384,0,7,,,,,6,,,37,0
1920,note_on,,,,,0,0,7,,,,,6,,,42,75
1920,note_on,,,,,0,0,3,,,,,2,,,74,94
2016,note_on,,,,,0,0,1,,,,,0,,,73,75
2016,note_on,,,,,0,0,3,,,,,2,,,73,94
2016,note_off,,,,,96,0,1,,,,,0,,,74,0
2016,note_off,,,,,96,0,3,,,,,2,,,74,0
2112,note_off,,,,,192,0,8,,,,,7,,,54,0
2112,note_on,,,,,0,0,4,,,,,3,,,66,88
2112,note_on,,,,,0,0,8,,,,,7,,,50,60
2112,note_off,,,,,576,0,2,,,,,1,,,69,0
2112,note_on,,,,,0,0,2,,,,,1,,,66,75
2112,note_off,,,,,192,0,7,,,,,6,,,42,0
2112,note_on,,,,,0,0,1,,,,,0,,,71,75
2112,note_off,,,,,96,0,1,,,,,0,,,73,0
2112,note_off,,,,,192,0,5,,,,,4,,,57,0
2112,note_on,,,,,0,0,5,,,,,4,,,59,75
2112,note_on,,,,,0,0,7,,,,,6,,,38,75
2112,note_on,,,,,0,0,6,,,,,5,,,50,75
2112,note_off,,,,,192,0,6,,,,,5,,,54,0
2112,note_off,,,,,96,0,3,,,,,2,,,73,0
2112,note_off,,,,,576,0,4,,,,,3,,,69,0
2112,note_on,,,,,0,0,3,,,,,2,,,71,94
2208,note_off,,,,,96,0,1,,,,,0,,,71,0
2208,note_off,,,,,96,0,3,,,,,2,,,71,0
2208,note_on,,,,,0,0,1,,,,,0,,,69,75
2208,note_on,,,,,0,0,3,,,,,2,,,69,94
2304,note_off,,,,,192,0,8,,,,,7,,,50,0
2304,note_on,,,,,0,0,5,,,,,4,,,64,75
2304,note_off,,,,,192,0,6,,,,,5,,,50,0
2304,note_on,,,,,0,0,7,,,,,6,,,40,75
2304,note_off,,,,,192,0,7,,,,,6,,,38,0
2304,note_off,,,,,192,0,5,,,,,4,,,59,0
2304,note_on,,,,,0,0,1,,,,,0,,,68,75
2304,note_off,,,,,96,0,1,,,,,0,,,69,0
2304,note_on,,,,,0,0,8,,,,,7,,,52,60
2304,note_on,,,,,0,0,6,,,,,5,,,52,75
2304,note_on,,,,,0,0,2,,,,,1,,,59,75
2304,note_off,,,,,192,0,2,,,,,1,,,66,0
2304,note_off,,,,,96,0,3,,,,,2,,,69,0
2304,note_off,,,,,192,0,4,,,,,3,,,66,0
2304,note_on,,,,,0,0,3,,,,,2,,,68,94
2304,note_on,,,,,0,0,4,,,,,3,,,59,88
2400,note_off,,,,,96,0,1,,,,,0,,,68,0
2400,note_on,,,,,0,0,1,,,,,0,,,69,75
2400,note_on,,,,,0,0,3,,,,,2,,,69,94
2400,note_off,,,,,96,0,3,,,,,2,,,68,0
2496,note_off,,,,,192,0,4,,,,,3,,,59,0
2496,note_on,,,,,0,0,4,,,,,3,,,64,88
2496,note_off,,,,,96,0,3,,,,,2,,,69,0
2496,note_on,,,,,0,0,2,,,,,1,,,64,75
2496,note_off,,,,,192,0,2,,,,,1,,,59,0
2496,note_on,,,,,0,0,7,,,,,6,,,28,75
2496,note_on,,,,,0,0,3,,,,,2,,,71,94
2496,note_off,,,,,192,0,5,,,,,4,,,64,0
2496,note_on,,,,,0,0,1,,,,,0,,,71,75
2496,note_off,,,,,192,0,8,,,,,7,,,52,0
2496,note_off,,,,,192,0,7,,,,,6,,,40,0
2496,note_on,,,,,0,0,8,,,,,7,,,40,60
2496,note_off,,,,,96,0,1,,,,,0,,,69,0
2496,note_on,,,,,0,0,6,,,,,5,,,40,75
2496,note_on,,,,,0,0,5,,,,,4,,,59,75
2496,note_off,,,,,192,0,6,,,,,5,,,52,0
2688,note_on,,,,,0,0,4,,,,,3,,,68,88
2688,note_off,,,,,192,0,7,,,,,6,,,28,0
2688,note_off,,,,,192,0,6,,,,,5,,,40,0
2688,note_off,,,,,192,0,4,,,,,3,,,64,0
2688,note_off,,,,,192,0,3,,,,,2,,,71,0
2688,note_on,,,,,0,0,5,,,,,4,,,64,75
2688,note_off,,,,,192,0,8,,,,,7,,,40,0
2688,note_off,,,,,192,0,2,,,,,1,,,64,0
2688,note_off,,,,,192,0,5,,,,,4,,,59,0
2688,note_off,,,,,192,0,1,,,,,0,,,71,0
2688,note_on,,,,,0,0,2,,,,,1,,,68,75
2880,note_on,,,,,0,0,2,,,,,1,,,71,75
2880,note_off,,,,,192,0,4,,,,,3,,,68,0
2880,note_on,,,,,0,0,4,,,,,3,,,71,88
2880,note_on,,,,,0,0,5,,,,,4,,,68,75
2880,note_off,,,,,192,0,5,,,,,4,,,64,0
2880,note_off,,,,,192,0,2,,,,,1,,,68,0
3072,note_on,,,,,0,0,5,,,,,4,,,64,75
3072,note_on,,,,,384,0,7,,,,,6,,,40,75
3072,note_off,,,,,192,0,5,,,,,4,,,68,0
3072,note_on,,,,,384,0,6,,,,,5,,,52,75
3072,note_on,,,,,384,0,1,,,,,0,,,71,75
3072,note_on,,,,,384,0,3,,,,,2,,,71,94
3072,note_on,,,,,0,0,4,,,,,3,,,68,88
3072,note_off,,,,,192,0,4,,,,,3,,,71,0
3072,note_on,,,,,0,0,2,,,,,1,,,68,75
3072,note_off,,,,,192,0,2,,,,,1,,,71,0
3072,note_on,,,,,384,0,8,,,,,7,,,52,60
3456,note_on,,,,,0,0,6,,,,,5,,,64,75
3456,note_on,,,,,0,0,5,,,,,4,,,64,75
3456,note_off,,,,,384,0,7,,,,,6,,,40,0
3456,note_on,,,,,0,0,7,,,,,6,,,52,75
3456,note_off,,,,,384,0,3,,,,,2,,,71,0
3456,note_off,,,,,384,0,4,,,,,3,,,68,0
3456,note_off,,,,,384,0,6,,,,,5,,,52,0
3456,note_on,,,,,0,0,8,,,,,7,,,64,60
3456,note_off,,,,,384,0,8,,,,,7,,,52,0
3456,note_on,,,,,0,0,4,,,,,3,,,69,88
3456,note_off,,,,,384,0,2,,,,,1,,,68,0
3456,note_off,,,,,384,0,5,,,,,4,,,64,0
3456,note_on,,,,,0,0,1,,,,,0,,,73,75
3456,note_on,,,,,0,0,2,,,,,1,,,69,75
3456,note_on,,,,,0,0,3,,,,,2,,,73,94
3456,note_off,,,,,384,0,1,,,,,0,,,71,0
3648,note_on,,,,,0,0,5,,,,,4,,,68,75
3648,note_off,,,,,192,0,5,,,,,4,,,64,0
3648,note_off,,,,,192,0,7,,,,,6,,,52,0
3648,note_off,,,,,192,0,1,,,,,0,,,73,0
3648,note_on,,,,,0,0,1,,,,,0,,,74,75
3648,note_on,,,,,0,0,7,,,,,6,,,50,75
3648,note_on,,,,,0,0,6,,,,,5,,,62,75
3648,note_off,,,,,192,0,3,,,,,2,,,73,0
3648,note_off,,,,,192,0,6,,,,,5,,,64,0
3648,note_off,,,,,192,0,4,,,,,3,,,69,0
3648,note_on,,,,,0,0,3,,,,,2,,,74,94
3648,note_off,,,,,192,0,8,,,,,7,,,64,0
3648,note_on,,,,,0,0,8,,,,,7,,,62,60
3648,note_on,,,,,0,0,4,,,,,3,,,71,88
3648,note_on,,,,,0,0,2,,,,,1,,,71,75
3648,note_off,,,,,192,0,2,,,,,1,,,69,0
3840,note_on,,,,,0,0,1,,,,,0,,,76,75
3840,note_off,,,,,192,0,1,,,,,0,,,74,0
3840,note_on,,,,,0,0,6,,,,,5,,,61,75
3840,note_off,,,,,192,0,6,,,,,5,,,62,0
3840,note_on,,,,,0,0,4,,,,,3,,,64,88
3840,note_off,,,,,192,0,4,,,,,3,,,71,0
3840,note_off,,,,,192,0,3,,,,,2,,,74,0
3840,note_off,,,,,192,0,2,,,,,1,,,71,0
3840,note_on,,,,,0,0,2,,,,,1,,,64,75
3840,note_off,,,,,192,0,8,,,,,7,,,62,0
3840,note_on,,,,,0,0,8,,,,,7,,,61,60
