tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,,,58,80
0,note_on,0,0,2,,,,,,,,1,,,62,80
0,note_on,0,0,2,,,,,,,,1,,,65,80
0,control_change,0,0,2,,,,,,,,1,10,70,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,6,1,,,,
0,note_on,0,0,1,,,,,,,,0,,,70,80
0,control_change,0,0,1,,,,,,,,0,10,57,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,6,0,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,857143,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
192,note_on,0,0,2,,,,,,,,1,,,62,0
192,note_on,192,0,2,,,,,,,,1,,,58,0
192,note_on,0,0,2,,,,,,,,1,,,65,0
192,note_on,192,0,1,,,,,,,,0,,,70,0
240,note_on,48,0,2,,,,,,,,1,,,65,80
240,note_on,0,0,2,,,,,,,,1,,,57,80
240,note_on,0,0,2,,,,,,,,1,,,60,80
240,note_on,48,0,1,,,,,,,,0,,,72,80
264,note_on,24,0,1,,,,,,,,0,,,72,0
270,note_on,6,0,1,,,,,,,,0,,,74,80
294,note_on,24,0,1,,,,,,,,0,,,74,0
300,note_on,6,0,1,,,,,,,,0,,,72,80
324,note_on,24,0,1,,,,,,,,0,,,72,0
330,note_on,6,0,1,,,,,,,,0,,,74,80
354,note_on,24,0,1,,,,,,,,0,,,74,0
360,note_on,6,0,1,,,,,,,,0,,,72,80
384,note_on,24,0,1,,,,,,,,0,,,72,0
390,note_on,6,0,1,,,,,,,,0,,,74,80
414,note_on,24,0,1,,,,,,,,0,,,74,0
420,note_on,6,0,1,,,,,,,,0,,,70,80
432,note_on,0,0,2,,,,,,,,1,,,65,0
432,note_on,0,0,2,,,,,,,,1,,,57,0
432,note_on,192,0,2,,,,,,,,1,,,60,0
444,note_on,24,0,1,,,,,,,,0,,,70,0
450,note_on,6,0,1,,,,,,,,0,,,72,80
474,note_on,24,0,1,,,,,,,,0,,,72,0
480,note_on,6,0,1,,,,,,,,0,,,74,80
480,note_on,48,0,2,,,,,,,,1,,,65,80
480,note_on,0,0,2,,,,,,,,1,,,62,80
480,note_on,0,0,2,,,,,,,,1,,,58,80
528,note_on,48,0,1,,,,,,,,0,,,74,0
540,note_on,12,0,1,,,,,,,,0,,,72,80
588,note_on,48,0,1,,,,,,,,0,,,72,0
600,note_on,12,0,1,,,,,,,,0,,,70,80
648,note_on,48,0,1,,,,,,,,0,,,70,0
660,note_on,12,0,1,,,,,,,,0,,,72,80
