tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,0,10,64,,
0,note_on,0,0,1,,,,,,,,0,,,74,110
0,end_of_track,0,1,3,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,6,1,,,,
0,program_change,0,0,2,,,,,,,6,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,64,,
0,note_on,0,0,2,,,,,,,,1,,,62,110
0,note_on,0,0,2,,,,,,,,1,,,65,110
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,0,7,127,,
0,control_change,0,0,3,,,,,,,,0,10,64,,
0,control_change,0,0,3,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,1,10,64,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,6,0,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,6,0,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
46,note_on,46,0,1,,,,,,,,0,,,74,0
48,note_on,2,0,1,,,,,,,,0,,,77,110
94,note_on,46,0,1,,,,,,,,0,,,77,0
96,note_on,2,0,1,,,,,,,,0,,,81,110
142,note_on,46,0,1,,,,,,,,0,,,81,0
142,note_on,0,0,2,,,,,,,,1,,,62,0
142,note_on,142,0,2,,,,,,,,1,,,65,0
144,note_on,2,0,1,,,,,,,,0,,,69,110
144,note_on,0,0,2,,,,,,,,1,,,64,110
144,note_on,2,0,2,,,,,,,,1,,,61,110
190,note_on,46,0,1,,,,,,,,0,,,69,0
192,note_on,2,0,1,,,,,,,,0,,,76,110
238,note_on,46,0,1,,,,,,,,0,,,76,0
240,note_on,2,0,1,,,,,,,,0,,,81,110
286,note_on,0,0,2,,,,,,,,1,,,61,0
286,note_on,142,0,2,,,,,,,,1,,,64,0
286,note_on,46,0,1,,,,,,,,0,,,81,0
288,note_on,2,0,2,,,,,,,,1,,,62,110
288,note_on,2,0,1,,,,,,,,0,,,77,110
334,note_on,46,0,1,,,,,,,,0,,,77,0
336,note_on,2,0,1,,,,,,,,0,,,81,110
382,note_on,46,0,1,,,,,,,,0,,,81,0
382,note_on,94,0,2,,,,,,,,1,,,62,0
384,note_on,2,0,1,,,,,,,,0,,,74,110
430,note_on,46,0,1,,,,,,,,0,,,74,0
432,note_on,50,0,2,,,,,,,,1,,,57,110
432,note_on,2,0,1,,,,,,,,0,,,73,110
432,note_on,0,0,2,,,,,,,,1,,,64,110
478,note_on,46,0,1,,,,,,,,0,,,73,0
480,note_on,2,0,1,,,,,,,,0,,,76,110
526,note_on,46,0,1,,,,,,,,0,,,76,0
528,note_on,2,0,1,,,,,,,,0,,,69,110
574,note_on,142,0,2,,,,,,,,1,,,64,0
574,note_on,46,0,1,,,,,,,,0,,,69,0
574,note_on,0,0,2,,,,,,,,1,,,57,0
576,note_on,2,0,2,,,,,,,,1,,,50,110
576,note_on,2,0,1,,,,,,,,0,,,77,110
622,note_on,46,0,2,,,,,,,,1,,,50,0
624,note_on,2,0,2,,,,,,,,1,,,53,110
670,note_on,46,0,2,,,,,,,,1,,,53,0
672,note_on,2,0,2,,,,,,,,1,,,58,110
718,note_on,142,0,1,,,,,,,,0,,,77,0
718,note_on,46,0,2,,,,,,,,1,,,58,0
720,note_on,2,0,2,,,,,,,,1,,,52,110
720,note_on,2,0,1,,,,,,,,0,,,79,110
766,note_on,46,0,2,,,,,,,,1,,,52,0
768,note_on,2,0,2,,,,,,,,1,,,55,110
814,note_on,46,0,2,,,,,,,,1,,,55,0
