tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,43,100
0,program_change,0,0,2,,,,,,,,,1,6,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,67,100
0,program_change,0,0,1,,,,,,,,,0,6,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,set_tempo,0,1,0,,,,,,705882,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
24,note_on,24,0,1,,,,,,,,,0,,67,0
24,note_on,0,0,1,,,,,,,,,0,,62,100
48,note_on,24,0,1,,,,,,,,,0,,62,0
48,note_on,0,0,1,,,,,,,,,0,,67,100
72,note_on,24,0,1,,,,,,,,,0,,67,0
72,note_on,0,0,1,,,,,,,,,0,,70,100
96,note_on,96,0,2,,,,,,,,,1,,43,0
96,note_on,0,0,1,,,,,,,,,0,,69,100
96,note_on,24,0,1,,,,,,,,,0,,70,0
120,note_on,0,0,1,,,,,,,,,0,,72,100
120,note_on,24,0,1,,,,,,,,,0,,69,0
144,note_on,48,0,2,,,,,,,,,1,,55,100
144,note_on,24,0,1,,,,,,,,,0,,72,0
144,note_on,0,0,1,,,,,,,,,0,,70,100
168,note_on,0,0,2,,,,,,,,,1,,50,100
168,note_on,24,0,2,,,,,,,,,1,,55,0
192,note_on,0,0,2,,,,,,,,,1,,55,100
192,note_on,48,0,1,,,,,,,,,0,,70,0
192,note_on,24,0,2,,,,,,,,,1,,50,0
192,note_on,0,0,1,,,,,,,,,0,,67,100
