tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,45,81
0,control_change,0,0,1,,,,,,,,0,91,50,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
120,note_on,0,0,1,,,,,,,,0,,,44,81
120,note_on,120,0,1,,,,,,,,0,,,45,0
240,note_on,120,0,1,,,,,,,,0,,,44,0
240,note_on,0,0,1,,,,,,,,0,,,45,80
480,note_on,240,0,1,,,,,,,,0,,,33,80
1080,note_on,600,0,1,,,,,,,,0,,,52,80
1200,note_on,120,0,1,,,,,,,,0,,,52,0
1200,note_on,0,0,1,,,,,,,,0,,,54,80
1320,note_on,0,0,1,,,,,,,,0,,,56,80
1320,note_on,120,0,1,,,,,,,,0,,,54,0
1440,note_on,0,0,1,,,,,,,,0,,,57,80
1440,note_on,120,0,1,,,,,,,,0,,,56,0
1560,note_on,0,0,1,,,,,,,,0,,,59,80
1560,note_on,120,0,1,,,,,,,,0,,,57,0
1680,note_on,0,0,1,,,,,,,,0,,,61,80
1680,note_on,120,0,1,,,,,,,,0,,,59,0
1800,note_on,0,0,1,,,,,,,,0,,,62,80
1800,note_on,120,0,1,,,,,,,,0,,,61,0
1920,note_on,120,0,1,,,,,,,,0,,,62,0
1920,note_on,0,0,1,,,,,,,,0,,,64,80
