tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,set_tempo,750000,0,1,0,,,,,,,,,,,
0,note_on,,0,0,5,,,,,,,4,,,45,75
0,track_name,,0,1,5,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,0,,,,,,
0,program_change,,0,0,6,,,,,,43,5,,,,
0,control_change,,0,0,6,,,,,,,5,7,127,,
0,control_change,,0,0,6,,,,,,,5,10,64,,
0,time_signature,,0,1,6,1,8,24,8,,,,,,,
0,note_on,,0,0,6,,,,,,,5,,,33,60
0,track_name,,0,1,6,,,,,,,,,,,
0,track_name,,0,1,16,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,0,,,,,,
0,program_change,,0,0,7,,,,,,56,6,,,,
0,control_change,,0,0,7,,,,,,,6,7,127,,
0,control_change,,0,0,7,,,,,,,6,10,80,,
0,time_signature,,0,1,7,1,8,24,8,,,,,,,
0,note_on,,0,0,7,,,,,,,6,,,69,108
0,track_name,,0,1,7,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,0,,,,,,
0,program_change,,0,0,8,,,,,,68,10,,,,
0,time_signature,,0,1,5,1,8,24,8,,,,,,,
0,control_change,,0,0,5,,,,,,,4,10,24,,
0,control_change,,0,0,5,,,,,,,4,7,127,,
0,program_change,,0,0,5,,,,,,42,4,,,,
0,control_change,,0,0,2,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,1,10,24,,
0,time_signature,,0,1,2,1,8,24,8,,,,,,,
0,note_on,,0,0,2,,,,,,,1,,,69,92
0,track_name,,0,1,2,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,0,,,,,,
0,program_change,,0,0,3,,,,,,48,2,,,,
0,control_change,,0,0,3,,,,,,,2,7,127,,
0,control_change,,0,0,3,,,,,,,2,10,104,,
0,control_change,,0,0,8,,,,,,,10,7,127,,
0,time_signature,,0,1,3,1,8,24,8,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,0,,,,,,
0,program_change,,0,0,4,,,,,,41,3,,,,
0,control_change,,0,0,4,,,,,,,3,7,127,,
0,control_change,,0,0,4,,,,,,,3,10,104,,
0,time_signature,,0,1,4,1,8,24,8,,,,,,,
0,note_on,,0,0,4,,,,,,,3,,,60,75
0,track_name,,0,1,4,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,0,,,,,,
0,note_on,,0,0,3,,,,,,,2,,,64,92
0,program_change,,0,0,2,,,,,,48,1,,,,
0,control_change,,0,0,8,,,,,,,10,10,24,,
0,note_on,,0,0,8,,,,,,,10,,,69,75
0,end_of_track,,0,1,12,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,0,,,,,,
0,control_change,,0,0,13,,,,,,,9,7,127,,
0,control_change,,0,0,13,,,,,,,9,10,64,,
0,track_name,,0,1,13,,,,,,,,,,,
0,end_of_track,,0,1,13,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,0,,,,,,
0,control_change,,0,0,14,,,,,,,9,7,127,,
0,control_change,,0,0,14,,,,,,,9,10,64,,
0,track_name,,0,1,14,,,,,,,,,,,
0,end_of_track,,0,1,14,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,0,,,,,,
0,control_change,,0,0,15,,,,,,,9,7,127,,
0,control_change,,0,0,15,,,,,,,9,10,64,,
0,track_name,,0,1,15,,,,,,,,,,,
0,end_of_track,,0,1,15,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,0,,,,,,
0,control_change,,0,0,16,,,,,,,9,7,127,,
0,control_change,,0,0,16,,,,,,,9,10,64,,
0,track_name,,0,1,12,,,,,,,,,,,
0,control_change,,0,0,12,,,,,,,9,10,64,,
0,control_change,,0,0,12,,,,,,,9,7,127,,
0,midi_port,,0,1,12,,,,,0,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,0,,,,,,
0,program_change,,0,0,9,,,,,,68,11,,,,
0,control_change,,0,0,9,,,,,,,11,7,127,,
0,control_change,,0,0,9,,,,,,,11,10,104,,
0,time_signature,,0,1,9,1,8,24,8,,,,,,,
0,note_on,,0,0,9,,,,,,,11,,,64,75
0,track_name,,0,1,9,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,0,,,,,,
0,time_signature,,0,1,8,1,8,24,8,,,,,,,
0,program_change,,0,0,10,,,,,,70,12,,,,
0,control_change,,0,0,10,,,,,,,12,10,104,,
0,time_signature,,0,1,10,1,8,24,8,,,,,,,
0,note_on,,0,0,10,,,,,,,12,,,45,75
0,track_name,,0,1,10,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,0,,,,,,
0,control_change,,0,0,11,,,,,,,9,7,127,,
0,control_change,,0,0,11,,,,,,,9,10,64,,
0,track_name,,0,1,11,,,,,,,,,,,
0,end_of_track,,0,1,11,,,,,,,,,,,
0,control_change,,0,0,10,,,,,,,12,7,127,,
0,midi_port,,0,1,2,,,,,0,,,,,,
0,end_of_track,,0,1,16,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,0,7,127,,
0,track_name,,0,1,1,,,,,,,,,,,
