tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,5,,,,,4,43,,,
0,key_signature,,,,,0,1,5,,,,,,,F,,
0,note_on,,,,,0,0,5,,,,,4,,,41,47
0,key_signature,,,,,0,1,20,,,,,,,C,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,0,0,5,,,,
0,control_change,,,,,0,0,6,,,10,64,5,,,,
0,control_change,,,,,0,0,6,,,7,110,5,,,,
0,program_change,,,,,0,0,6,,,,,5,68,,,
0,key_signature,,,,,0,1,6,,,,,,,F,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,6,,,,
0,control_change,,,,,0,0,7,,,10,64,6,,,,
0,control_change,,,,,0,0,7,,,7,100,6,,,,
0,program_change,,,,,0,0,7,,,,,6,70,,,
0,key_signature,,,,,0,1,7,,,,,,,F,,
0,note_on,,,,,0,0,7,,,,,6,,,53,51
0,control_change,,,,,0,0,5,,,7,80,4,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,5,,,10,64,4,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,2,,,10,104,1,,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,program_change,,,,,0,0,2,,,,,1,48,,,
0,key_signature,,,,,0,1,2,,,,,,,F,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,control_change,,,,,0,0,3,,,10,109,2,,,,
0,control_change,,,,,0,0,3,,,7,110,2,,,,
0,program_change,,,,,0,0,3,,,,,2,41,,,
0,key_signature,,,,,0,1,3,,,,,,,F,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,control_change,,,,,0,0,4,,,10,24,3,,,,
0,control_change,,,,,0,0,4,,,7,100,3,,,,
0,program_change,,,,,0,0,4,,,,,3,42,,,
0,key_signature,,,,,0,1,4,,,,,,,F,,
0,note_on,,,,,0,0,4,,,,,3,,,53,50
0,control_change,,,,,0,0,5,,,0,0,4,,,,
