tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,5,10,35,,,
0,control_change,0,0,9,,,,,,,,5,91,49,,,
0,program_change,0,0,9,,,,,,,,5,,,60,,
0,control_change,0,0,20,,,,,,,,13,91,127,,,
0,program_change,0,0,20,,,,,,,,13,,,48,,
0,program_change,0,0,15,,,,,,,,7,,,57,,
0,control_change,0,0,15,,,,,,,,7,91,55,,,
0,control_change,0,0,15,,,,,,,,7,10,85,,,
0,control_change,0,0,15,,,,,,,,7,7,121,,,
0,channel_prefix,0,1,15,,,,,,,,7,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,channel_prefix,0,1,10,,,,,,,,5,,,,,
0,program_change,0,0,12,,,,,,,,6,,,56,,
0,control_change,0,0,12,,,,,,,,6,91,54,,,
0,control_change,0,0,12,,,,,,,,6,10,60,,,
0,control_change,0,0,12,,,,,,,,6,7,121,,,
0,control_change,0,0,9,,,,,,,,5,7,127,,,
0,channel_prefix,0,1,12,,,,,,,,6,,,,,
0,channel_prefix,0,1,9,,,,,,,,5,,,,,
0,control_change,0,0,20,,,,,,,,13,10,75,,,
0,program_change,0,0,2,,,,,,,,0,,,73,,
0,program_change,0,0,16,,,,,,,,8,,,58,,
0,control_change,0,0,16,,,,,,,,8,91,53,,,
0,control_change,0,0,16,,,,,,,,8,10,111,,,
0,control_change,0,0,16,,,,,,,,8,7,121,,,
0,channel_prefix,0,1,16,,,,,,,,8,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,2,91,51,,,
0,program_change,0,0,5,,,,,,,,3,,,71,,
0,control_change,0,0,5,,,,,,,,3,91,55,,,
0,control_change,0,0,5,,,,,,,,3,10,48,,,
0,control_change,0,0,5,,,,,,,,3,7,119,,,
0,channel_prefix,0,1,5,,,,,,,,3,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,midi_port,0,1,20,,,,,,,0,,,,,,
0,channel_prefix,0,1,20,,,,,,,,13,,,,,
0,control_change,0,0,20,,,,,,,,13,7,120,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,0,91,53,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,channel_prefix,0,1,13,,,,,,,,7,,,,,
0,note_on,0,0,21,,,,,,,,14,,,,50,92
0,program_change,0,0,14,,,,,,,,7,,,57,,
0,control_change,0,0,14,,,,,,,,7,91,55,,,
0,control_change,0,0,14,,,,,,,,7,10,85,,,
0,control_change,0,0,14,,,,,,,,7,7,121,,,
0,channel_prefix,0,1,14,,,,,,,,7,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,channel_prefix,0,1,11,,,,,,,,6,,,,,
0,control_change,0,0,11,,,,,,,,6,7,121,,,
0,control_change,0,0,11,,,,,,,,6,10,60,,,
0,control_change,0,0,11,,,,,,,,6,91,54,,,
0,program_change,0,0,11,,,,,,,,6,,,56,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,channel_prefix,0,1,3,,,,,,,,2,,,,,
0,control_change,0,0,3,,,,,,,,2,7,121,,,
0,control_change,0,0,3,,,,,,,,2,10,80,,,
0,program_change,0,0,21,,,,,,,,14,,,48,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,control_change,0,0,21,,,,,,,,14,91,124,,,
0,control_change,0,0,21,,,,,,,,14,7,121,,,
0,control_change,0,0,13,,,,,,,,7,7,121,,,
