tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,,11,,,48,,
0,control_change,0,0,10,,,,,,,,11,91,125,,,
0,control_change,0,0,10,,,,,,,,11,10,45,,,
0,control_change,0,0,10,,,,,,,,11,7,127,,,
0,channel_prefix,0,1,10,,,,,,,,11,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,program_change,0,0,9,,,,,,,,5,,,60,,
0,control_change,0,0,9,,,,,,,,5,91,40,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,control_change,0,0,9,,,,,,,,5,10,35,,,
0,channel_prefix,0,1,9,,,,,,,,5,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,program_change,0,0,8,,,,,,,,5,,,60,,
0,control_change,0,0,8,,,,,,,,5,91,40,,,
0,control_change,0,0,8,,,,,,,,5,10,35,,,
0,control_change,0,0,8,,,,,,,,5,7,109,,,
0,channel_prefix,0,1,8,,,,,,,,5,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,control_change,0,0,9,,,,,,,,5,7,109,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,channel_prefix,0,1,11,,,,,,,,12,,,,,
0,control_change,0,0,11,,,,,,,,12,10,15,,,
0,control_change,0,0,14,,,,,,,,15,10,120,,,
0,control_change,0,0,14,,,,,,,,15,7,117,,,
0,channel_prefix,0,1,14,,,,,,,,15,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,program_change,0,0,13,,,,,,,,14,,,48,,
0,control_change,0,0,13,,,,,,,,14,91,124,,,
0,control_change,0,0,13,,,,,,,,14,10,100,,,
0,control_change,0,0,13,,,,,,,,14,7,117,,,
0,control_change,0,0,11,,,,,,,,12,7,120,,,
0,channel_prefix,0,1,13,,,,,,,,14,,,,,
0,program_change,0,0,12,,,,,,,,13,,,48,,
0,control_change,0,0,12,,,,,,,,13,91,127,,,
0,control_change,0,0,12,,,,,,,,13,10,75,,,
0,control_change,0,0,12,,,,,,,,13,7,120,,,
0,channel_prefix,0,1,12,,,,,,,,13,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,program_change,0,0,11,,,,,,,,12,,,48,,
0,control_change,0,0,11,,,,,,,,12,91,124,,,
