tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,channel_prefix,0,1,2,,,,,,,,1,,,,,
0,control_change,0,0,2,,,,,,,,1,7,109,,,
0,control_change,0,0,2,,,,,,,,1,10,44,,,
0,control_change,0,0,2,,,,,,,,1,91,54,,,
0,program_change,0,0,2,,,,,,,,1,,,73,,
0,note_on,0,0,2,,,,,,,,1,,,,66,92
0,note_on,0,0,16,,,,,,,,10,,,,50,92
0,program_change,0,0,16,,,,,,,,10,,,47,,
0,control_change,0,0,16,,,,,,,,10,91,53,,,
0,control_change,0,0,16,,,,,,,,10,10,27,,,
0,control_change,0,0,16,,,,,,,,10,7,107,,,
0,channel_prefix,0,1,16,,,,,,,,10,,,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,15,,,,,,,,8,,,,38,92
0,program_change,0,0,15,,,,,,,,8,,,58,,
0,control_change,0,0,15,,,,,,,,8,91,54,,,
0,control_change,0,0,13,,,,,,,,7,91,46,,,
0,program_change,0,0,13,,,,,,,,7,,,57,,
0,note_on,0,0,13,,,,,,,,7,,,,57,92
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,channel_prefix,0,1,14,,,,,,,,7,,,,,
0,control_change,0,0,14,,,,,,,,7,7,127,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,control_change,0,0,14,,,,,,,,7,10,85,,,
0,program_change,0,0,14,,,,,,,,7,,,57,,
0,note_on,0,0,14,,,,,,,,7,,,,50,92
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,channel_prefix,0,1,15,,,,,,,,8,,,,,
0,control_change,0,0,15,,,,,,,,8,7,117,,,
0,control_change,0,0,15,,,,,,,,8,10,111,,,
0,control_change,0,0,14,,,,,,,,7,91,46,,,
0,control_change,0,0,13,,,,,,,,7,10,85,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,channel_prefix,0,1,17,,,,,,,,11,,,,,
0,control_change,0,0,21,,,,,,,,15,91,124,,,
0,control_change,0,0,21,,,,,,,,15,10,120,,,
0,control_change,0,0,21,,,,,,,,15,7,121,,,
0,channel_prefix,0,1,21,,,,,,,,15,,,,,
0,midi_port,0,1,21,,,,,,,0,,,,,,
0,note_on,0,0,20,,,,,,,,14,,,,50,92
0,program_change,0,0,20,,,,,,,,14,,,48,,
0,control_change,0,0,20,,,,,,,,14,91,127,,,
0,control_change,0,0,20,,,,,,,,14,10,100,,,
0,control_change,0,0,20,,,,,,,,14,7,123,,,
0,channel_prefix,0,1,20,,,,,,,,14,,,,,
0,midi_port,0,1,20,,,,,,,0,,,,,,
0,note_on,0,0,19,,,,,,,,13,,,,62,92
0,program_change,0,0,19,,,,,,,,13,,,48,,
0,control_change,0,0,19,,,,,,,,13,91,122,,,
