tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,6,7,110,,
0,program_change,0,0,6,,,,,,,48,6,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,5,121,0,,
0,control_change,0,0,5,,,,,,,,5,10,20,,
0,control_change,0,0,5,,,,,,,,5,7,110,,
0,program_change,0,0,5,,,,,,,48,5,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,4,121,0,,
0,control_change,0,0,6,,,,,,,,6,10,38,,
0,control_change,0,0,4,,,,,,,,4,10,45,,
0,program_change,0,0,4,,,,,,,56,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,3,121,0,,
0,control_change,0,0,3,,,,,,,,3,10,84,,
0,control_change,0,0,3,,,,,,,,3,7,100,,
0,program_change,0,0,3,,,,,,,60,3,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,2,121,0,,
0,control_change,0,0,2,,,,,,,,2,10,75,,
0,control_change,0,0,2,,,,,,,,2,7,110,,
0,control_change,0,0,4,,,,,,,,4,7,127,,
0,program_change,0,0,2,,,,,,,70,2,,,,
0,control_change,0,0,6,,,,,,,,6,121,0,,
0,program_change,0,0,7,,,,,,,48,7,,,,
0,track_name,0,1,14,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,10,121,0,,
0,track_name,0,1,7,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,10,10,88,,
0,program_change,0,0,9,,,,,,,48,10,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,8,121,0,,
0,control_change,0,0,8,,,,,,,,8,10,108,,
0,control_change,0,0,8,,,,,,,,8,7,121,,
0,program_change,0,0,8,,,,,,,48,8,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,7,121,0,,
0,control_change,0,0,7,,,,,,,,7,10,94,,
0,control_change,0,0,7,,,,,,,,7,7,116,,
0,control_change,0,0,9,,,,,,,,10,7,119,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,
0,control_change,0,0,1,,,,,,,,1,10,71,,
0,track_name,0,1,1,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,control_change,0,0,1,,,,,,,,1,121,0,,
0,control_change,0,0,1,,,,,,,,1,7,95,,
0,program_change,0,0,1,,,,,,,68,1,,,,
479,control_change,479,0,1,,,,,,,,1,0,56,,
479,control_change,0,0,1,,,,,,,,1,32,0,,
479,control_change,479,0,3,,,,,,,,3,0,56,,
479,control_change,0,0,8,,,,,,,,8,32,0,,
479,control_change,479,0,9,,,,,,,,10,0,56,,
479,control_change,479,0,8,,,,,,,,8,0,56,,
479,control_change,0,0,7,,,,,,,,7,32,0,,
479,control_change,479,0,7,,,,,,,,7,0,56,,
479,control_change,479,0,4,,,,,,,,4,0,56,,
479,control_change,0,0,4,,,,,,,,4,32,0,,
479,control_change,479,0,5,,,,,,,,5,0,56,,
479,control_change,0,0,3,,,,,,,,3,32,0,,
479,control_change,0,0,9,,,,,,,,10,32,0,,
479,control_change,0,0,5,,,,,,,,5,32,0,,
479,control_change,479,0,6,,,,,,,,6,0,56,,
479,control_change,0,0,2,,,,,,,,2,32,0,,
479,control_change,479,0,2,,,,,,,,2,0,56,,
479,control_change,0,0,6,,,,,,,,6,32,0,,
480,program_change,1,0,1,,,,,,,68,1,,,,
480,program_change,1,0,5,,,,,,,48,5,,,,
480,program_change,1,0,9,,,,,,,48,10,,,,
480,program_change,1,0,7,,,,,,,48,7,,,,
480,program_change,1,0,4,,,,,,,56,4,,,,
480,program_change,1,0,2,,,,,,,70,2,,,,
480,program_change,1,0,8,,,,,,,48,8,,,,
480,program_change,1,0,6,,,,,,,48,6,,,,
480,program_change,1,0,3,,,,,,,60,3,,,,
481,control_change,0,0,1,,,,,,,,1,93,27,,
481,control_change,1,0,7,,,,,,,,7,91,68,,
481,control_change,0,0,6,,,,,,,,6,93,27,,
481,control_change,0,0,7,,,,,,,,7,93,27,,
481,control_change,1,0,4,,,,,,,,4,91,68,,
481,control_change,0,0,4,,,,,,,,4,93,27,,
481,control_change,0,0,5,,,,,,,,5,93,27,,
481,control_change,1,0,5,,,,,,,,5,91,68,,
481,control_change,1,0,6,,,,,,,,6,91,68,,
481,control_change,1,0,1,,,,,,,,1,91,68,,
481,control_change,1,0,8,,,,,,,,8,91,68,,
481,control_change,0,0,8,,,,,,,,8,93,27,,
481,control_change,0,0,2,,,,,,,,2,93,27,,
481,control_change,1,0,2,,,,,,,,2,91,68,,
481,control_change,0,0,9,,,,,,,,10,93,27,,
481,control_change,1,0,3,,,,,,,,3,91,68,,
481,control_change,0,0,3,,,,,,,,3,93,27,,
481,control_change,1,0,9,,,,,,,,10,91,68,,
960,note_on,0,0,6,,,,,,,,6,,,66,95
960,note_on,479,0,2,,,,,,,,2,,,50,95
960,marker,960,1,0,,,,,,,,,,,,
960,note_on,0,0,5,,,,,,,,5,,,66,95
960,note_on,479,0,5,,,,,,,,5,,,69,95
960,note_on,479,0,7,,,,,,,,7,,,62,95
960,note_on,479,0,9,,,,,,,,10,,,38,95
960,note_on,0,0,1,,,,,,,,1,,,69,95
960,note_on,479,0,1,,,,,,,,1,,,66,95
960,note_on,479,0,8,,,,,,,,8,,,50,95
960,note_on,479,0,6,,,,,,,,6,,,62,95
1150,note_on,190,0,5,,,,,,,,5,,,66,0
1150,note_on,0,0,5,,,,,,,,5,,,69,0
1150,note_on,190,0,9,,,,,,,,10,,,38,0
1150,note_on,190,0,1,,,,,,,,1,,,69,0
1150,note_on,190,0,7,,,,,,,,7,,,62,0
1150,note_on,190,0,2,,,,,,,,2,,,50,0
1150,note_on,190,0,8,,,,,,,,8,,,50,0
1150,note_on,0,0,1,,,,,,,,1,,,66,0
1150,note_on,190,0,6,,,,,,,,6,,,66,0
1150,note_on,0,0,6,,,,,,,,6,,,62,0
1320,note_on,0,0,4,,,,,,,,4,,,69,95
1320,note_on,839,0,4,,,,,,,,4,,,62,95
1416,note_on,0,0,4,,,,,,,,4,,,62,0
1416,note_on,96,0,4,,,,,,,,4,,,69,0
1440,note_on,0,0,4,,,,,,,,4,,,74,95
1440,note_on,24,0,4,,,,,,,,4,,,66,95
1632,note_on,0,0,4,,,,,,,,4,,,66,0
1632,note_on,192,0,4,,,,,,,,4,,,74,0
1680,note_on,0,0,4,,,,,,,,4,,,74,95
1680,note_on,48,0,4,,,,,,,,4,,,66,95
1872,note_on,0,0,4,,,,,,,,4,,,66,0
1872,note_on,192,0,4,,,,,,,,4,,,74,0
1920,note_on,770,0,7,,,,,,,,7,,,74,95
1920,note_on,770,0,1,,,,,,,,1,,,74,95
1920,note_on,770,0,5,,,,,,,,5,,,74,95
1920,note_on,770,0,6,,,,,,,,6,,,74,95
1920,note_on,0,0,4,,,,,,,,4,,,74,95
1920,note_on,48,0,4,,,,,,,,4,,,66,95
2015,note_on,95,0,5,,,,,,,,5,,,74,0
2015,note_on,95,0,7,,,,,,,,7,,,74,0
2015,note_on,95,0,6,,,,,,,,6,,,74,0
2015,note_on,95,0,1,,,,,,,,1,,,74,0
2040,note_on,25,0,5,,,,,,,,5,,,73,95
2040,note_on,25,0,7,,,,,,,,7,,,73,95
2040,note_on,25,0,6,,,,,,,,6,,,73,95
2040,note_on,25,0,1,,,,,,,,1,,,73,95
2087,note_on,47,0,1,,,,,,,,1,,,73,0
2087,note_on,47,0,7,,,,,,,,7,,,73,0
2087,note_on,47,0,5,,,,,,,,5,,,73,0
2087,note_on,47,0,6,,,,,,,,6,,,73,0
2100,note_on,13,0,7,,,,,,,,7,,,71,95
2100,note_on,13,0,6,,,,,,,,6,,,71,95
2100,note_on,13,0,1,,,,,,,,1,,,71,95
2100,note_on,13,0,5,,,,,,,,5,,,71,95
2112,note_on,0,0,4,,,,,,,,4,,,66,0
2112,note_on,192,0,4,,,,,,,,4,,,74,0
2147,note_on,47,0,5,,,,,,,,5,,,71,0
2147,note_on,47,0,7,,,,,,,,7,,,71,0
2147,note_on,47,0,6,,,,,,,,6,,,71,0
2147,note_on,47,0,1,,,,,,,,1,,,71,0
2160,note_on,13,0,6,,,,,,,,6,,,69,95
2160,note_on,13,0,5,,,,,,,,5,,,69,95
2160,note_on,13,0,1,,,,,,,,1,,,69,95
2160,note_on,13,0,7,,,,,,,,7,,,69,95
2207,note_on,47,0,7,,,,,,,,7,,,69,0
2207,note_on,47,0,1,,,,,,,,1,,,69,0
2207,note_on,47,0,6,,,,,,,,6,,,69,0
2207,note_on,47,0,5,,,,,,,,5,,,69,0
2220,note_on,13,0,7,,,,,,,,7,,,67,95
2220,note_on,13,0,6,,,,,,,,6,,,67,95
2220,note_on,13,0,5,,,,,,,,5,,,67,95
2220,note_on,13,0,1,,,,,,,,1,,,67,95
2267,note_on,47,0,7,,,,,,,,7,,,67,0
2267,note_on,47,0,6,,,,,,,,6,,,67,0
2267,note_on,47,0,1,,,,,,,,1,,,67,0
2267,note_on,47,0,5,,,,,,,,5,,,67,0
2280,note_on,13,0,7,,,,,,,,7,,,66,95
2280,note_on,168,0,4,,,,,,,,4,,,69,95
2280,note_on,13,0,5,,,,,,,,5,,,66,95
2280,note_on,13,0,6,,,,,,,,6,,,66,95
2280,note_on,0,0,4,,,,,,,,4,,,74,95
2280,note_on,13,0,1,,,,,,,,1,,,66,95
2327,note_on,47,0,6,,,,,,,,6,,,66,0
2327,note_on,47,0,5,,,,,,,,5,,,66,0
2327,note_on,47,0,1,,,,,,,,1,,,66,0
2327,note_on,47,0,7,,,,,,,,7,,,66,0
2340,note_on,13,0,6,,,,,,,,6,,,64,95
2340,note_on,13,0,1,,,,,,,,1,,,64,95
2340,note_on,13,0,7,,,,,,,,7,,,64,95
2340,note_on,13,0,5,,,,,,,,5,,,64,95
2376,note_on,96,0,4,,,,,,,,4,,,74,0
2376,note_on,0,0,4,,,,,,,,4,,,69,0
2387,note_on,47,0,6,,,,,,,,6,,,64,0
2387,note_on,47,0,7,,,,,,,,7,,,64,0
2387,note_on,47,0,1,,,,,,,,1,,,64,0
2387,note_on,47,0,5,,,,,,,,5,,,64,0
2400,note_on,13,0,7,,,,,,,,7,,,62,95
2400,note_on,13,0,1,,,,,,,,1,,,62,95
2400,note_on,13,0,5,,,,,,,,5,,,62,95
2400,note_on,24,0,4,,,,,,,,4,,,74,95
2400,note_on,0,0,4,,,,,,,,4,,,78,95
2400,note_on,13,0,6,,,,,,,,6,,,62,95
2590,note_on,190,0,7,,,,,,,,7,,,62,0
2590,note_on,190,0,6,,,,,,,,6,,,62,0
