tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,control_change,,,,,0,0,6,,,6,121,0,,
0,program_change,,,,,0,0,6,,48,6,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,control_change,,,,,0,0,5,,,5,121,0,,
0,program_change,,,,,0,0,5,,48,5,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,15,,,,,,,
0,control_change,,,,,0,0,4,,,4,121,0,,
0,program_change,,,,,0,0,4,,56,4,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,control_change,,,,,0,0,3,,,3,121,0,,
0,program_change,,,,,0,0,3,,60,3,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,control_change,,,,,0,0,2,,,2,121,0,,
0,program_change,,,,,0,0,7,,48,7,,,,
0,program_change,,,,,0,0,2,,70,2,,,,
0,control_change,,,,,0,0,7,,,7,121,0,,
0,program_change,,,,,0,0,8,,48,8,,,,
0,end_of_track,,,,,0,1,14,,,,,,,
0,track_name,,,,,0,1,14,,,,,,,
0,end_of_track,,,,,0,1,13,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,
0,end_of_track,,,,,0,1,12,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,
0,end_of_track,,,,,0,1,11,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,
0,control_change,,,,,0,0,10,,,11,121,0,,
0,program_change,,,,,0,0,10,,48,11,,,,
0,track_name,,,,,0,1,10,,,,,,,
0,control_change,,,,,0,0,9,,,10,121,0,,
0,program_change,,,,,0,0,9,,48,10,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,control_change,,,,,0,0,8,,,8,121,0,,
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,end_of_track,,,,,0,1,15,,,,,,,
0,set_tempo,,,,,0,1,0,697674,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,program_change,,,,,0,0,1,,68,1,,,,
0,control_change,,,,,0,0,1,,,1,121,0,,
240,control_change,,,,,240,0,7,,,7,0,56,,
240,control_change,,,,,0,0,3,,,3,32,0,,
240,control_change,,,,,240,0,3,,,3,0,56,,
240,control_change,,,,,0,0,7,,,7,32,0,,
240,control_change,,,,,240,0,9,,,10,0,56,,
240,control_change,,,,,0,0,9,,,10,32,0,,
240,control_change,,,,,0,0,8,,,8,32,0,,
240,control_change,,,,,240,0,8,,,8,0,56,,
240,control_change,,,,,0,0,2,,,2,32,0,,
240,control_change,,,,,240,0,2,,,2,0,56,,
240,control_change,,,,,0,0,1,,,1,32,0,,
240,control_change,,,,,240,0,1,,,1,0,56,,
240,control_change,,,,,240,0,10,,,11,0,56,,
240,control_change,,,,,0,0,10,,,11,32,0,,
240,control_change,,,,,240,0,5,,,5,0,56,,
240,control_change,,,,,0,0,5,,,5,32,0,,
240,control_change,,,,,0,0,6,,,6,32,0,,
240,control_change,,,,,240,0,6,,,6,0,56,,
240,control_change,,,,,240,0,4,,,4,0,56,,
240,control_change,,,,,0,0,4,,,4,32,0,,
480,program_change,,,,,240,0,10,,48,11,,,,
480,program_change,,,,,240,0,2,,70,2,,,,
480,program_change,,,,,240,0,5,,48,5,,,,
480,program_change,,,,,240,0,6,,48,6,,,,
480,program_change,,,,,240,0,8,,48,8,,,,
480,program_change,,,,,240,0,7,,48,7,,,,
480,program_change,,,,,240,0,3,,60,3,,,,
480,program_change,,,,,240,0,4,,56,4,,,,
480,program_change,,,,,240,0,1,,68,1,,,,
480,program_change,,,,,240,0,9,,48,10,,,,
481,control_change,,,,,1,0,4,,,4,91,68,,
481,control_change,,,,,1,0,2,,,2,91,68,,
481,control_change,,,,,0,0,2,,,2,93,27,,
481,control_change,,,,,0,0,2,,,2,10,75,,
481,control_change,,,,,0,0,2,,,2,7,110,,
481,control_change,,,,,0,0,1,,,1,7,95,,
481,control_change,,,,,1,0,9,,,10,91,68,,
481,control_change,,,,,1,0,1,,,1,91,68,,
481,control_change,,,,,1,0,8,,,8,91,68,,
481,control_change,,,,,0,0,8,,,8,93,27,,
481,control_change,,,,,0,0,1,,,1,93,27,,
481,control_change,,,,,0,0,8,,,8,7,110,,
481,control_change,,,,,0,0,1,,,1,10,71,,
481,control_change,,,,,1,0,3,,,3,91,68,,
481,control_change,,,,,0,0,3,,,3,93,27,,
481,control_change,,,,,0,0,9,,,10,93,27,,
481,control_change,,,,,0,0,3,,,3,10,84,,
481,control_change,,,,,0,0,9,,,10,10,126,,
481,control_change,,,,,1,0,10,,,11,91,68,,
