tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,key,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,program,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 4, 35, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,11,127,6,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,7,96,6,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,10,70,6,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,,,6,73,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,11,127,15,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,7,96,15,,,
0,program_change,,0,0,6,,,,,,,,,,,,,,,,15,6,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,,15,,46,64
0,note_on,,0,0,6,,,,,,,,,,,,,,,,15,,62,64
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,10,90,15,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,,,,Bb,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,instrument_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,,,857142,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,,4,4,24,8,,,,,,
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
15,note_on,,15,0,6,,,,,,,,,,,,,,,,15,,65,64
30,note_on,,15,0,6,,,,,,,,,,,,,,,,15,,70,64
45,note_on,,15,0,6,,,,,,,,,,,,,,,,15,,74,64
180,note_on,,180,0,5,,,,,,,,,,,,,,,,6,,65,64
239,note_on,,59,0,5,,,,,,,,,,,,,,,,6,,65,0
240,note_on,,1,0,5,,,,,,,,,,,,,,,,6,,65,64
299,note_on,,59,0,5,,,,,,,,,,,,,,,,6,,65,0
300,note_on,,1,0,5,,,,,,,,,,,,,,,,6,,65,64
359,note_on,,59,0,5,,,,,,,,,,,,,,,,6,,65,0
360,note_on,,1,0,5,,,,,,,,,,,,,,,,6,,65,64
419,note_on,,59,0,5,,,,,,,,,,,,,,,,6,,65,0
