tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,note,velocity
0,key_signature,C,0,1,0,,,,,,,,,,,,,,,,
0,smpte_offset,,0,1,0,25,32,0,0,0,0,,,,,,,,,,
0,set_tempo,,0,1,0,,,,,,,500000,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,4,4,24,8,,,,,
0,end_of_track,,0,1,0,,,,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,,,,64,127,0,,
0,control_change,,0,0,1,,,,,,,,,,,,64,0,0,,
0,note_on,,0,0,1,,,,,,,,,,,,,,0,69,31
72,note_on,,72,0,1,,,,,,,,,,,,,,0,69,0
252,note_on,,180,0,1,,,,,,,,,,,,,,0,74,55
276,note_on,,24,0,1,,,,,,,,,,,,,,0,62,25
280,note_on,,4,0,1,,,,,,,,,,,,,,0,65,27
508,note_on,,228,0,1,,,,,,,,,,,,,,0,76,55
562,note_on,,54,0,1,,,,,,,,,,,,,,0,74,0
762,note_on,,200,0,1,,,,,,,,,,,,,,0,77,77
778,note_on,,16,0,1,,,,,,,,,,,,,,0,76,0
1026,note_on,,248,0,1,,,,,,,,,,,,,,0,76,64
1034,note_on,,8,0,1,,,,,,,,,,,,,,0,65,0
1044,note_on,,10,0,1,,,,,,,,,,,,,,0,61,23
1044,note_on,,0,0,1,,,,,,,,,,,,,,0,64,32
1047,note_on,,3,0,1,,,,,,,,,,,,,,0,62,0
1058,note_on,,11,0,1,,,,,,,,,,,,,,0,77,0
1280,note_on,,222,0,1,,,,,,,,,,,,,,0,76,0
1286,note_on,,6,0,1,,,,,,,,,,,,,,0,81,55
1496,note_on,,210,0,1,,,,,,,,,,,,,,0,81,0
1522,note_on,,26,0,1,,,,,,,,,,,,,,0,69,36
1710,control_change,,188,0,1,,,,,,,,,,,,64,127,0,,
1736,note_on,,26,0,1,,,,,,,,,,,,,,0,69,0
1748,note_on,,12,0,1,,,,,,,,,,,,,,0,64,0
1770,note_on,,22,0,1,,,,,,,,,,,,,,0,77,54
1776,note_on,,6,0,1,,,,,,,,,,,,,,0,61,0
1792,note_on,,16,0,1,,,,,,,,,,,,,,0,62,26
1878,control_change,,86,0,1,,,,,,,,,,,,64,0,0,,
1978,note_on,,100,0,1,,,,,,,,,,,,,,0,77,0
1984,note_on,,6,0,1,,,,,,,,,,,,,,0,79,52
2042,note_on,,58,0,1,,,,,,,,,,,,,,0,79,0
2048,note_on,,6,0,1,,,,,,,,,,,,,,0,77,63
2070,note_on,,22,0,1,,,,,,,,,,,,,,0,65,28
2110,note_on,,40,0,1,,,,,,,,,,,,,,0,77,0
