tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
0,track_name,0,1,0,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,
110,note_on,110,0,0,,,,,,60,127,0
110,note_on,0,0,0,,,,,,72,127,0
328,note_off,218,0,0,,,,,,60,127,0
329,note_on,1,0,0,,,,,,48,127,0
329,note_on,0,0,0,,,,,,60,127,0
439,note_off,110,0,0,,,,,,72,127,0
548,note_off,109,0,0,,,,,,60,127,0
548,note_off,0,0,0,,,,,,48,127,0
549,note_on,1,0,0,,,,,,48,127,0
549,note_on,0,0,0,,,,,,60,127,0
767,note_off,218,0,0,,,,,,60,127,0
767,note_off,0,0,0,,,,,,48,127,0
768,note_on,1,0,0,,,,,,48,127,0
768,note_on,0,0,0,,,,,,60,127,0
986,note_off,218,0,0,,,,,,60,127,0
986,note_off,0,0,0,,,,,,48,127,0
987,note_on,1,0,0,,,,,,60,127,0
987,note_on,0,0,0,,,,,,72,127,0
1205,note_off,218,0,0,,,,,,60,127,0
1206,note_on,1,0,0,,,,,,48,127,0
1206,note_on,0,0,0,,,,,,60,127,0
1316,note_off,110,0,0,,,,,,72,127,0
1425,note_off,109,0,0,,,,,,60,127,0
1425,note_off,0,0,0,,,,,,48,127,0
1426,note_on,1,0,0,,,,,,48,127,0
1426,note_on,0,0,0,,,,,,60,127,0
1644,note_off,218,0,0,,,,,,60,127,0
1644,note_off,0,0,0,,,,,,48,127,0
1645,note_on,1,0,0,,,,,,48,127,0
1645,note_on,0,0,0,,,,,,60,127,0
1863,note_off,218,0,0,,,,,,60,127,0
1863,note_off,0,0,0,,,,,,48,127,0
1864,note_on,1,0,0,,,,,,62,127,0
1864,note_on,0,0,0,,,,,,74,127,0
1918,note_off,54,0,0,,,,,,74,127,0
1918,note_off,0,0,0,,,,,,62,127,0
1919,note_on,1,0,0,,,,,,60,127,0
1919,note_on,0,0,0,,,,,,72,127,0
1973,note_off,54,0,0,,,,,,72,127,0
1973,note_off,0,0,0,,,,,,60,127,0
1974,note_on,1,0,0,,,,,,62,127,0
1974,note_on,0,0,0,,,,,,74,127,0
2028,note_off,54,0,0,,,,,,74,127,0
2028,note_off,0,0,0,,,,,,62,127,0
2029,note_on,1,0,0,,,,,,60,127,0
2029,note_on,0,0,0,,,,,,72,127,0
2083,note_off,54,0,0,,,,,,72,127,0
2083,note_off,0,0,0,,,,,,60,127,0
2084,note_on,1,0,0,,,,,,62,127,0
2084,note_on,0,0,0,,,,,,74,127,0
2138,note_off,54,0,0,,,,,,74,127,0
2138,note_off,0,0,0,,,,,,62,127,0
2139,note_on,1,0,0,,,,,,60,127,0
2139,note_on,0,0,0,,,,,,72,127,0
2193,note_off,54,0,0,,,,,,72,127,0
2193,note_off,0,0,0,,,,,,60,127,0
2194,note_on,1,0,0,,,,,,59,127,0
2194,note_on,0,0,0,,,,,,71,127,0
2303,note_off,109,0,0,,,,,,71,127,0
2303,note_off,0,0,0,,,,,,59,127,0
2304,note_on,1,0,0,,,,,,60,127,0
2304,note_on,0,0,0,,,,,,72,127,0
2413,note_off,109,0,0,,,,,,72,127,0
2413,note_off,0,0,0,,,,,,60,127,0
2414,note_on,1,0,0,,,,,,62,127,0
2414,note_on,0,0,0,,,,,,74,127,0
2523,note_off,109,0,0,,,,,,74,127,0
2523,note_off,0,0,0,,,,,,62,127,0
2524,note_on,1,0,0,,,,,,63,127,0
2524,note_on,0,0,0,,,,,,75,127,0
2633,note_off,109,0,0,,,,,,75,127,0
2633,note_off,0,0,0,,,,,,63,127,0
2634,note_on,1,0,0,,,,,,62,127,0
2634,note_on,0,0,0,,,,,,74,127,0
2743,note_off,109,0,0,,,,,,74,127,0
2743,note_off,0,0,0,,,,,,62,127,0
2744,note_on,1,0,0,,,,,,60,127,0
2744,note_on,0,0,0,,,,,,72,127,0
2853,note_off,109,0,0,,,,,,72,127,0
2853,note_off,0,0,0,,,,,,60,127,0
2854,note_on,1,0,0,,,,,,58,127,0
2854,note_on,0,0,0,,,,,,70,127,0
2963,note_off,109,0,0,,,,,,70,127,0
2963,note_off,0,0,0,,,,,,58,127,0
2964,note_on,1,0,0,,,,,,56,127,0
2964,note_on,0,0,0,,,,,,68,127,0
3073,note_off,109,0,0,,,,,,68,127,0
3073,note_off,0,0,0,,,,,,56,127,0
3074,note_on,1,0,0,,,,,,55,127,0
3074,note_on,0,0,0,,,,,,67,127,0
3183,note_off,109,0,0,,,,,,67,127,0
3183,note_off,0,0,0,,,,,,55,127,0
3184,note_on,1,0,0,,,,,,53,127,0
3184,note_on,0,0,0,,,,,,65,127,0
3293,note_off,109,0,0,,,,,,65,127,0
3293,note_off,0,0,0,,,,,,53,127,0
3294,note_on,1,0,0,,,,,,56,127,0
3294,note_on,0,0,0,,,,,,68,127,0
3403,note_off,109,0,0,,,,,,68,127,0
3403,note_off,0,0,0,,,,,,56,127,0
3404,note_on,1,0,0,,,,,,55,127,0
3404,note_on,0,0,0,,,,,,67,127,0
3513,note_off,109,0,0,,,,,,67,127,0
3513,note_off,0,0,0,,,,,,55,127,0
3514,note_on,1,0,0,,,,,,53,127,0
3514,note_on,0,0,0,,,,,,65,127,0
3623,note_off,109,0,0,,,,,,65,127,0
3623,note_off,0,0,0,,,,,,53,127,0
3624,note_on,1,0,0,,,,,,53,127,0
3624,note_on,0,0,0,,,,,,65,127,0
3678,note_off,54,0,0,,,,,,65,127,0
3678,note_off,0,0,0,,,,,,53,127,0
3679,note_on,1,0,0,,,,,,51,127,0
3679,note_on,0,0,0,,,,,,63,127,0
3733,note_off,54,0,0,,,,,,63,127,0
3733,note_off,0,0,0,,,,,,51,127,0
3734,note_on,1,0,0,,,,,,53,127,0
3734,note_on,0,0,0,,,,,,65,127,0
3788,note_off,54,0,0,,,,,,65,127,0
3788,note_off,0,0,0,,,,,,53,127,0
3789,note_on,1,0,0,,,,,,51,127,0
3789,note_on,0,0,0,,,,,,63,127,0
3843,note_off,54,0,0,,,,,,63,127,0
3843,note_off,0,0,0,,,,,,51,127,0
3844,note_on,1,0,0,,,,,,53,127,0
3844,note_on,0,0,0,,,,,,65,127,0
3898,note_off,54,0,0,,,,,,65,127,0
3898,note_off,0,0,0,,,,,,53,127,0
3899,note_on,1,0,0,,,,,,51,127,0
3899,note_on,0,0,0,,,,,,63,127,0
3953,note_off,54,0,0,,,,,,63,127,0
3953,note_off,0,0,0,,,,,,51,127,0
3954,note_on,1,0,0,,,,,,50,127,0
3954,note_on,0,0,0,,,,,,62,127,0
4008,note_off,54,0,0,,,,,,62,127,0
4008,note_off,0,0,0,,,,,,50,127,0
4009,note_on,1,0,0,,,,,,51,127,0
