tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
0,set_tempo,500000,0,1,0,,,,,,,
0,track_name,,0,1,1,,,,,,,
0,track_name,,0,1,2,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,
48,note_on,,48,0,1,,,,,79,127,0
48,note_on,,0,0,2,,,,,55,95,1
48,note_on,,0,0,2,,,,,62,95,1
48,note_on,,48,0,2,,,,,71,95,1
391,note_off,,343,0,1,,,,,79,127,0
393,note_on,,2,0,1,,,,,78,127,0
564,note_off,,171,0,1,,,,,78,127,0
566,note_on,,2,0,1,,,,,79,127,0
735,note_off,,687,0,2,,,,,55,95,1
735,note_off,,0,0,2,,,,,71,95,1
735,note_off,,0,0,2,,,,,62,95,1
737,note_off,,171,0,1,,,,,79,127,0
739,note_on,,2,0,1,,,,,74,127,0
739,note_on,,0,0,2,,,,,50,95,1
739,note_on,,0,0,2,,,,,69,95,1
739,note_on,,4,0,2,,,,,66,95,1
1081,note_off,,342,0,2,,,,,50,95,1
1081,note_off,,0,0,2,,,,,66,95,1
1081,note_off,,0,0,2,,,,,69,95,1
1082,note_off,,343,0,1,,,,,74,127,0
1084,note_on,,3,0,2,,,,,71,95,1
1084,note_on,,0,0,2,,,,,62,95,1
1084,note_on,,0,0,2,,,,,43,95,1
1084,note_on,,2,0,1,,,,,71,127,0
1427,note_off,,343,0,1,,,,,71,127,0
1430,note_on,,3,0,1,,,,,67,127,0
1771,note_off,,687,0,2,,,,,62,95,1
1771,note_off,,0,0,2,,,,,71,95,1
1773,note_off,,343,0,1,,,,,67,127,0
1776,note_on,,3,0,1,,,,,74,127,0
2117,note_off,,346,0,2,,,,,43,95,1
2119,note_off,,343,0,1,,,,,74,127,0
2121,note_on,,2,0,1,,,,,79,127,0
2464,note_off,,343,0,1,,,,,79,127,0
2467,note_on,,3,0,1,,,,,78,127,0
2638,note_off,,171,0,1,,,,,78,127,0
2640,note_on,,2,0,1,,,,,79,127,0
2811,note_off,,171,0,1,,,,,79,127,0
2812,note_on,,0,0,2,,,,,50,95,1
2812,note_on,,0,0,2,,,,,69,95,1
2812,note_on,,695,0,2,,,,,66,95,1
2812,note_on,,1,0,1,,,,,74,127,0
3154,note_off,,0,0,2,,,,,66,95,1
3154,note_off,,0,0,2,,,,,69,95,1
3154,note_off,,342,0,2,,,,,50,95,1
3155,note_off,,343,0,1,,,,,74,127,0
3158,note_on,,4,0,2,,,,,62,95,1
3158,note_on,,0,0,2,,,,,43,95,1
3158,note_on,,3,0,1,,,,,71,127,0
3158,note_on,,0,0,2,,,,,71,95,1
3501,note_off,,343,0,1,,,,,71,127,0
3502,note_on,,1,0,1,,,,,67,127,0
3802,note_off,,300,0,1,,,,,67,127,0
3845,note_off,,0,0,2,,,,,71,95,1
3845,note_off,,0,0,2,,,,,62,95,1
