tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,note,velocity,channel,control,value
0,smpte_offset,25,32,0,0,0,0,0,1,0,,,,,,,,,,,
0,time_signature,,,,,,,0,1,0,4,4,24,8,,,,,,,
0,key_signature,,,,,,,0,1,0,,,,,C,,,,,,
0,set_tempo,,,,,,,0,1,0,,,,,,500000,,,,,
0,note_on,,,,,,,0,0,0,,,,,,,79,54,0,,
0,note_on,,,,,,,0,0,0,,,,,,,76,32,0,,
126,note_off,,,,,,,126,0,0,,,,,,,76,64,0,,
143,note_on,,,,,,,17,0,0,,,,,,,77,57,0,,
147,note_on,,,,,,,4,0,0,,,,,,,74,54,0,,
153,note_off,,,,,,,6,0,0,,,,,,,79,64,0,,
195,note_off,,,,,,,42,0,0,,,,,,,77,64,0,,
199,note_off,,,,,,,4,0,0,,,,,,,74,64,0,,
293,note_on,,,,,,,94,0,0,,,,,,,76,62,0,,
301,note_on,,,,,,,8,0,0,,,,,,,72,41,0,,
335,note_off,,,,,,,34,0,0,,,,,,,76,64,0,,
365,note_off,,,,,,,30,0,0,,,,,,,72,64,0,,
447,note_on,,,,,,,82,0,0,,,,,,,76,28,0,,
459,note_on,,,,,,,12,0,0,,,,,,,72,28,0,,
501,note_off,,,,,,,42,0,0,,,,,,,76,64,0,,
525,note_off,,,,,,,24,0,0,,,,,,,72,64,0,,
609,note_on,,,,,,,84,0,0,,,,,,,74,57,0,,
615,note_on,,,,,,,6,0,0,,,,,,,67,37,0,,
657,note_off,,,,,,,42,0,0,,,,,,,74,64,0,,
683,note_off,,,,,,,26,0,0,,,,,,,67,64,0,,
765,note_on,,,,,,,82,0,0,,,,,,,64,54,0,,
765,note_on,,,,,,,0,0,0,,,,,,,72,58,0,,
807,note_off,,,,,,,42,0,0,,,,,,,64,64,0,,
811,note_off,,,,,,,4,0,0,,,,,,,72,64,0,,
919,note_on,,,,,,,108,0,0,,,,,,,72,33,0,,
929,note_on,,,,,,,10,0,0,,,,,,,64,39,0,,
971,note_off,,,,,,,42,0,0,,,,,,,72,64,0,,
981,note_off,,,,,,,10,0,0,,,,,,,64,64,0,,
1073,note_on,,,,,,,92,0,0,,,,,,,74,67,0,,
1085,note_on,,,,,,,12,0,0,,,,,,,67,49,0,,
1113,note_off,,,,,,,28,0,0,,,,,,,74,64,0,,
1145,note_off,,,,,,,32,0,0,,,,,,,67,64,0,,
1231,note_on,,,,,,,86,0,0,,,,,,,76,70,0,,
1241,note_on,,,,,,,10,0,0,,,,,,,72,59,0,,
1275,note_off,,,,,,,34,0,0,,,,,,,76,64,0,,
1285,note_on,,,,,,,10,0,0,,,,,,,77,67,0,,
1327,note_off,,,,,,,42,0,0,,,,,,,77,64,0,,
1341,note_on,,,,,,,14,0,0,,,,,,,76,61,0,,
1393,note_off,,,,,,,52,0,0,,,,,,,76,64,0,,
1403,note_on,,,,,,,10,0,0,,,,,,,77,56,0,,
1471,note_on,,,,,,,68,0,0,,,,,,,76,47,0,,
1491,note_off,,,,,,,20,0,0,,,,,,,72,64,0,,
1494,note_off,,,,,,,3,0,0,,,,,,,77,64,0,,
1565,note_off,,,,,,,71,0,0,,,,,,,76,64,0,,
1568,note_on,,,,,,,3,0,0,,,,,,,74,54,0,,
1615,note_off,,,,,,,47,0,0,,,,,,,74,64,0,,
1737,note_on,,,,,,,122,0,0,,,,,,,74,46,0,,
1739,note_on,,,,,,,2,0,0,,,,,,,67,57,0,,
1787,note_off,,,,,,,48,0,0,,,,,,,67,64,0,,
1789,note_off,,,,,,,2,0,0,,,,,,,74,64,0,,
1917,note_on,,,,,,,128,0,0,,,,,,,76,67,0,,
1919,note_on,,,,,,,2,0,0,,,,,,,79,85,0,,
2053,note_off,,,,,,,134,0,0,,,,,,,76,64,0,,
2079,note_on,,,,,,,26,0,0,,,,,,,74,74,0,,
2081,note_on,,,,,,,2,0,0,,,,,,,77,72,0,,
2091,note_off,,,,,,,10,0,0,,,,,,,79,64,0,,
2125,note_off,,,,,,,34,0,0,,,,,,,74,64,0,,
2139,note_off,,,,,,,14,0,0,,,,,,,77,64,0,,
2237,note_on,,,,,,,98,0,0,,,,,,,76,84,0,,
2237,note_on,,,,,,,0,0,0,,,,,,,72,68,0,,
2279,note_off,,,,,,,42,0,0,,,,,,,76,64,0,,
2279,note_off,,,,,,,0,0,0,,,,,,,72,64,0,,
2399,note_on,,,,,,,120,0,0,,,,,,,76,71,0,,
2417,note_on,,,,,,,18,0,0,,,,,,,72,50,0,,
2455,note_off,,,,,,,38,0,0,,,,,,,76,64,0,,
2467,note_off,,,,,,,12,0,0,,,,,,,72,64,0,,
2571,note_on,,,,,,,104,0,0,,,,,,,74,75,0,,
2573,note_on,,,,,,,2,0,0,,,,,,,67,57,0,,
2617,note_off,,,,,,,44,0,0,,,,,,,74,64,0,,
2629,note_off,,,,,,,12,0,0,,,,,,,67,64,0,,
2725,note_on,,,,,,,96,0,0,,,,,,,72,64,0,,
2725,note_on,,,,,,,0,0,0,,,,,,,64,60,0,,
2769,note_off,,,,,,,44,0,0,,,,,,,64,64,0,,
2771,note_off,,,,,,,2,0,0,,,,,,,72,64,0,,
2889,note_on,,,,,,,118,0,0,,,,,,,72,37,0,,
2894,note_on,,,,,,,5,0,0,,,,,,,64,19,0,,
2939,note_off,,,,,,,45,0,0,,,,,,,72,64,0,,
2956,note_off,,,,,,,17,0,0,,,,,,,64,64,0,,
3045,note_on,,,,,,,89,0,0,,,,,,,74,55,0,,
3057,note_on,,,,,,,12,0,0,,,,,,,67,54,0,,
3091,note_off,,,,,,,34,0,0,,,,,,,74,64,0,,
3113,note_off,,,,,,,22,0,0,,,,,,,67,64,0,,
3205,note_on,,,,,,,92,0,0,,,,,,,72,64,0,,
3207,note_on,,,,,,,2,0,0,,,,,,,76,60,0,,
3247,note_on,,,,,,,40,0,0,,,,,,,77,79,0,,
3249,note_off,,,,,,,2,0,0,,,,,,,76,64,0,,
3293,note_off,,,,,,,44,0,0,,,,,,,77,64,0,,
3315,note_on,,,,,,,22,0,0,,,,,,,76,53,0,,
3375,note_off,,,,,,,60,0,0,,,,,,,76,64,0,,
3389,note_on,,,,,,,14,0,0,,,,,,,77,50,0,,
3451,note_on,,,,,,,62,0,0,,,,,,,76,52,0,,
3463,note_off,,,,,,,12,0,0,,,,,,,72,64,0,,
3466,note_off,,,,,,,3,0,0,,,,,,,77,64,0,,
3529,note_off,,,,,,,63,0,0,,,,,,,76,64,0,,
3543,note_on,,,,,,,14,0,0,,,,,,,74,57,0,,
3552,note_on,,,,,,,9,0,0,,,,,,,67,38,0,,
3589,note_off,,,,,,,37,0,0,,,,,,,74,64,0,,
3624,note_off,,,,,,,35,0,0,,,,,,,67,64,0,,
3725,note_on,,,,,,,101,0,0,,,,,,,74,63,0,,
3729,note_on,,,,,,,4,0,0,,,,,,,67,43,0,,
3765,note_off,,,,,,,36,0,0,,,,,,,74,64,0,,
3783,note_off,,,,,,,18,0,0,,,,,,,67,64,0,,
3891,note_on,,,,,,,108,0,0,,,,,,,79,80,0,,
4005,note_off,,,,,,,114,0,0,,,,,,,79,64,0,,
4045,note_on,,,,,,,40,0,0,,,,,,,72,63,0,,
4051,note_on,,,,,,,6,0,0,,,,,,,76,68,0,,
4089,note_off,,,,,,,38,0,0,,,,,,,72,64,0,,
4099,note_off,,,,,,,10,0,0,,,,,,,76,64,0,,
4229,note_on,,,,,,,130,0,0,,,,,,,77,61,0,,
4249,note_on,,,,,,,20,0,0,,,,,,,71,72,0,,
4273,note_off,,,,,,,24,0,0,,,,,,,77,64,0,,
4278,note_on,,,,,,,5,0,0,,,,,,,76,63,0,,
4321,note_off,,,,,,,43,0,0,,,,,,,76,64,0,,
4337,note_on,,,,,,,16,0,0,,,,,,,77,71,0,,
4395,note_on,,,,,,,58,0,0,,,,,,,76,46,0,,
4415,note_off,,,,,,,20,0,0,,,,,,,77,64,0,,
4449,note_off,,,,,,,34,0,0,,,,,,,71,64,0,,
4452,note_off,,,,,,,3,0,0,,,,,,,76,64,0,,
4479,note_on,,,,,,,27,0,0,,,,,,,77,78,0,,
4547,note_on,,,,,,,68,0,0,,,,,,,76,34,0,,
4569,note_off,,,,,,,22,0,0,,,,,,,77,64,0,,
4611,note_on,,,,,,,42,0,0,,,,,,,74,64,0,,
4615,note_off,,,,,,,4,0,0,,,,,,,76,64,0,,
4625,note_on,,,,,,,10,0,0,,,,,,,71,56,0,,
4663,note_off,,,,,,,38,0,0,,,,,,,74,64,0,,
4675,note_off,,,,,,,12,0,0,,,,,,,71,64,0,,
4811,note_on,,,,,,,136,0,0,,,,,,,69,44,0,,
4979,note_on,,,,,,,168,0,0,,,,,,,79,75,0,,
5007,note_off,,,,,,,28,0,0,,,,,,,69,64,0,,
5033,note_off,,,,,,,26,0,0,,,,,,,79,64,0,,
5135,note_on,,,,,,,102,0,0,,,,,,,72,63,0,,
5141,note_on,,,,,,,6,0,0,,,,,,,69,48,0,,
5179,note_off,,,,,,,38,0,0,,,,,,,72,64,0,,
5197,note_off,,,,,,,18,0,0,,,,,,,69,64,0,,
5311,note_on,,,,,,,114,0,0,,,,,,,74,57,0,,
5333,note_on,,,,,,,22,0,0,,,,,,,67,54,0,,
5359,note_off,,,,,,,26,0,0,,,,,,,74,64,0,,
5359,note_on,,,,,,,0,0,0,,,,,,,72,49,0,,
5409,note_off,,,,,,,50,0,0,,,,,,,72,64,0,,
5431,note_on,,,,,,,22,0,0,,,,,,,74,66,0,,
5465,control_change,,,,,,,34,0,0,,,,,,,,,0,64,127
5471,note_on,,,,,,,6,0,0,,,,,,,72,57,0,,
5477,note_off,,,,,,,6,0,0,,,,,,,74,64,0,,
5533,note_off,,,,,,,56,0,0,,,,,,,72,64,0,,
5545,note_on,,,,,,,12,0,0,,,,,,,74,69,0,,
5548,note_off,,,,,,,3,0,0,,,,,,,67,64,0,,
5573,control_change,,,,,,,25,0,0,,,,,,,,,0,64,0
5611,note_on,,,,,,,38,0,0,,,,,,,72,45,0,,
5619,note_off,,,,,,,8,0,0,,,,,,,74,64,0,,
5689,note_off,,,,,,,70,0,0,,,,,,,72,64,0,,
5691,note_on,,,,,,,2,0,0,,,,,,,71,55,0,,
5697,note_on,,,,,,,6,0,0,,,,,,,67,61,0,,
5741,note_off,,,,,,,44,0,0,,,,,,,71,64,0,,
5747,note_off,,,,,,,6,0,0,,,,,,,67,64,0,,
5879,note_on,,,,,,,132,0,0,,,,,,,72,75,0,,
5971,control_change,,,,,,,92,0,0,,,,,,,,,0,64,127
6049,note_on,,,,,,,78,0,0,,,,,,,79,87,0,,
6063,note_off,,,,,,,14,0,0,,,,,,,72,64,0,,
6079,control_change,,,,,,,16,0,0,,,,,,,,,0,64,0
6133,note_off,,,,,,,54,0,0,,,,,,,79,64,0,,
6225,note_on,,,,,,,92,0,0,,,,,,,72,64,0,,
6225,note_on,,,,,,,0,0,0,,,,,,,76,67,0,,
6263,note_off,,,,,,,38,0,0,,,,,,,76,64,0,,
6271,note_off,,,,,,,8,0,0,,,,,,,72,64,0,,
6389,note_on,,,,,,,118,0,0,,,,,,,77,84,0,,
6411,note_on,,,,,,,22,0,0,,,,,,,71,68,0,,
6421,note_on,,,,,,,10,0,0,,,,,,,76,84,0,,
6477,note_off,,,,,,,56,0,0,,,,,,,77,64,0,,
6541,control_change,,,,,,,64,0,0,,,,,,,,,0,64,127
6567,note_off,,,,,,,26,0,0,,,,,,,76,64,0,,
6587,control_change,,,,,,,20,0,0,,,,,,,,,0,64,0
6589,note_on,,,,,,,2,0,0,,,,,,,74,72,0,,
6593,note_off,,,,,,,4,0,0,,,,,,,71,64,0,,
6629,note_off,,,,,,,36,0,0,,,,,,,74,64,0,,
6771,note_on,,,,,,,142,0,0,,,,,,,71,68,0,,
6773,note_on,,,,,,,2,0,0,,,,,,,74,61,0,,
6815,note_off,,,,,,,42,0,0,,,,,,,74,64,0,,
6817,note_off,,,,,,,2,0,0,,,,,,,71,64,0,,
6927,note_on,,,,,,,110,0,0,,,,,,,76,64,0,,
6957,note_on,,,,,,,30,0,0,,,,,,,69,50,0,,
6967,note_on,,,,,,,10,0,0,,,,,,,74,67,0,,
7001,note_off,,,,,,,34,0,0,,,,,,,76,64,0,,
7093,control_change,,,,,,,92,0,0,,,,,,,,,0,64,127
7103,note_off,,,,,,,10,0,0,,,,,,,74,64,0,,
7135,note_on,,,,,,,32,0,0,,,,,,,72,57,0,,
7149,note_off,,,,,,,14,0,0,,,,,,,69,64,0,,
7155,control_change,,,,,,,6,0,0,,,,,,,,,0,64,0
7187,note_off,,,,,,,32,0,0,,,,,,,72,64,0,,
7307,note_on,,,,,,,120,0,0,,,,,,,69,43,0,,
7307,note_on,,,,,,,0,0,0,,,,,,,72,52,0,,
7355,note_off,,,,,,,48,0,0,,,,,,,72,64,0,,
7363,note_off,,,,,,,8,0,0,,,,,,,69,64,0,,
7457,note_on,,,,,,,94,0,0,,,,,,,74,73,0,,
7491,note_on,,,,,,,34,0,0,,,,,,,67,44,0,,
7507,note_on,,,,,,,16,0,0,,,,,,,72,53,0,,
7509,note_off,,,,,,,2,0,0,,,,,,,74,64,0,,
7653,note_off,,,,,,,144,0,0,,,,,,,72,64,0,,
7665,note_on,,,,,,,12,0,0,,,,,,,71,63,0,,
7689,note_off,,,,,,,24,0,0,,,,,,,67,64,0,,
7715,note_off,,,,,,,26,0,0,,,,,,,71,64,0,,
7843,note_on,,,,,,,128,0,0,,,,,,,67,49,0,,
7845,note_on,,,,,,,2,0,0,,,,,,,71,38,0,,
7901,note_off,,,,,,,56,0,0,,,,,,,67,64,0,,
7904,note_off,,,,,,,3,0,0,,,,,,,71,64,0,,
8047,note_on,,,,,,,143,0,0,,,,,,,64,47,0,,
8215,control_change,,,,,,,168,0,0,,,,,,,,,0,64,127
8217,note_on,,,,,,,2,0,0,,,,,,,86,63,0,,
8281,note_off,,,,,,,64,0,0,,,,,,,64,64,0,,
8293,control_change,,,,,,,12,0,0,,,,,,,,,0,64,0
8301,note_off,,,,,,,8,0,0,,,,,,,86,64,0,,
8387,note_on,,,,,,,86,0,0,,,,,,,79,69,0,,
8403,note_on,,,,,,,16,0,0,,,,,,,72,35,0,,
8431,note_off,,,,,,,28,0,0,,,,,,,79,64,0,,
8463,note_off,,,,,,,32,0,0,,,,,,,72,64,0,,
8539,note_on,,,,,,,76,0,0,,,,,,,81,68,0,,
8581,note_on,,,,,,,42,0,0,,,,,,,62,44,0,,
8585,note_off,,,,,,,4,0,0,,,,,,,81,64,0,,
8585,note_on,,,,,,,0,0,0,,,,,,,79,79,0,,
8635,note_off,,,,,,,50,0,0,,,,,,,79,64,0,,
8657,note_on,,,,,,,22,0,0,,,,,,,81,58,0,,
8717,note_off,,,,,,,60,0,0,,,,,,,81,64,0,,
8719,note_on,,,,,,,2,0,0,,,,,,,79,52,0,,
8753,control_change,,,,,,,34,0,0,,,,,,,,,0,64,127
8769,note_off,,,,,,,16,0,0,,,,,,,79,64,0,,
8795,note_on,,,,,,,26,0,0,,,,,,,81,62,0,,
8835,note_off,,,,,,,40,0,0,,,,,,,62,64,0,,
8845,control_change,,,,,,,10,0,0,,,,,,,,,0,64,0
8863,note_on,,,,,,,18,0,0,,,,,,,79,42,0,,
8875,note_off,,,,,,,12,0,0,,,,,,,81,64,0,,
8919,note_off,,,,,,,44,0,0,,,,,,,79,64,0,,
8943,note_on,,,,,,,24,0,0,,,,,,,71,43,0,,
8945,note_on,,,,,,,2,0,0,,,,,,,78,48,0,,
9001,note_off,,,,,,,56,0,0,,,,,,,78,64,0,,
9009,note_off,,,,,,,8,0,0,,,,,,,71,64,0,,
9123,note_on,,,,,,,114,0,0,,,,,,,60,55,0,,
9275,control_change,,,,,,,152,0,0,,,,,,,,,0,64,127
9297,note_on,,,,,,,22,0,0,,,,,,,79,70,0,,
9321,note_off,,,,,,,24,0,0,,,,,,,60,64,0,,
9351,note_off,,,,,,,30,0,0,,,,,,,79,64,0,,
9397,control_change,,,,,,,46,0,0,,,,,,,,,0,64,0
9463,note_on,,,,,,,66,0,0,,,,,,,76,52,0,,
9471,note_on,,,,,,,8,0,0,,,,,,,69,38,0,,
9507,note_off,,,,,,,36,0,0,,,,,,,76,64,0,,
9533,note_off,,,,,,,26,0,0,,,,,,,69,64,0,,
9613,note_on,,,,,,,80,0,0,,,,,,,78,68,0,,
9659,note_off,,,,,,,46,0,0,,,,,,,78,64,0,,
9665,note_on,,,,,,,6,0,0,,,,,,,76,62,0,,
9707,note_on,,,,,,,42,0,0,,,,,,,59,27,0,,
9715,note_off,,,,,,,8,0,0,,,,,,,76,64,0,,
9741,note_on,,,,,,,26,0,0,,,,,,,78,50,0,,
9811,note_on,,,,,,,70,0,0,,,,,,,76,45,0,,
9825,note_off,,,,,,,14,0,0,,,,,,,78,64,0,,
9867,note_off,,,,,,,42,0,0,,,,,,,76,64,0,,
9875,control_change,,,,,,,8,0,0,,,,,,,,,0,64,127
9895,note_on,,,,,,,20,0,0,,,,,,,78,58,0,,
9911,note_off,,,,,,,16,0,0,,,,,,,59,64,0,,
9937,control_change,,,,,,,26,0,0,,,,,,,,,0,64,0
9965,note_on,,,,,,,28,0,0,,,,,,,76,32,0,,
9977,note_off,,,,,,,12,0,0,,,,,,,78,64,0,,
9997,note_on,,,,,,,20,0,0,,,,,,,67,39,0,,
10041,note_off,,,,,,,44,0,0,,,,,,,76,64,0,,
10059,note_off,,,,,,,18,0,0,,,,,,,67,64,0,,
10059,note_on,,,,,,,0,0,0,,,,,,,74,39,0,,
10109,note_off,,,,,,,50,0,0,,,,,,,74,64,0,,
10187,note_on,,,,,,,78,0,0,,,,,,,64,75,0,,
10367,control_change,,,,,,,180,0,0,,,,,,,,,0,64,127
10373,note_on,,,,,,,6,0,0,,,,,,,86,85,0,,
10419,note_off,,,,,,,46,0,0,,,,,,,64,64,0,,
10519,control_change,,,,,,,100,0,0,,,,,,,,,0,64,0
10527,note_off,,,,,,,8,0,0,,,,,,,86,64,0,,
10537,note_on,,,,,,,10,0,0,,,,,,,79,86,0,,
10555,note_on,,,,,,,18,0,0,,,,,,,72,48,0,,
10579,note_off,,,,,,,24,0,0,,,,,,,79,64,0,,
10605,note_off,,,,,,,26,0,0,,,,,,,72,64,0,,
10699,note_on,,,,,,,94,0,0,,,,,,,81,88,0,,
