tick,type,time,meta,track,program,channel,pitch,tempo,note,velocity
0,copyright,0,1,0,,,,,,
0,program_change,0,0,0,6,0,,,,
0,pitchwheel,0,0,0,,0,0,,,
0,program_change,0,0,0,6,1,,,,
0,pitchwheel,0,0,0,,1,-590,,,
0,program_change,0,0,0,6,2,,,,
0,pitchwheel,0,0,0,,2,-272,,,
0,program_change,0,0,0,6,3,,,,
0,pitchwheel,0,0,0,,3,-353,,,
0,program_change,0,0,0,6,4,,,,
0,pitchwheel,0,0,0,,4,-560,,,
0,program_change,0,0,0,6,5,,,,
0,pitchwheel,0,0,0,,5,-80,,,
0,program_change,0,0,0,6,6,,,,
0,pitchwheel,0,0,0,,6,-625,,,
0,program_change,0,0,0,6,7,,,,
0,pitchwheel,0,0,0,,7,-130,,,
0,program_change,0,0,0,6,8,,,,
0,pitchwheel,0,0,0,,8,-512,,,
0,program_change,0,0,0,6,10,,,,
0,pitchwheel,0,0,0,,10,-464,,,
0,program_change,0,0,0,6,11,,,,
0,pitchwheel,0,0,0,,11,-208,,,
0,program_change,0,0,0,6,12,,,,
0,pitchwheel,0,0,0,,12,-553,,,
0,set_tempo,0,1,0,,,,500000,,
110,note_on,110,0,0,,2,,,74,127
328,note_off,218,0,0,,2,,,74,127
329,note_on,1,0,0,,2,,,74,127
438,note_off,109,0,0,,2,,,74,127
439,note_on,1,0,0,,2,,,74,127
548,note_off,109,0,0,,2,,,74,127
549,note_on,1,0,0,,6,,,78,127
767,note_off,218,0,0,,6,,,78,127
768,note_on,1,0,0,,10,,,81,127
986,note_off,218,0,0,,10,,,81,127
987,note_on,1,0,0,,2,,,62,127
987,note_on,0,0,0,,2,,,74,127
1205,note_off,218,0,0,,2,,,62,127
1206,note_on,1,0,0,,2,,,62,127
1315,note_off,109,0,0,,2,,,62,127
1316,note_on,1,0,0,,2,,,62,127
1421,note_off,105,0,0,,2,,,74,127
1424,note_off,3,0,0,,2,,,62,127
1425,note_on,1,0,0,,6,,,66,127
1643,note_off,218,0,0,,6,,,66,127
1644,note_on,1,0,0,,10,,,69,127
1644,note_on,0,0,0,,10,,,81,127
1862,note_off,218,0,0,,10,,,81,127
1862,note_off,0,0,0,,10,,,69,127
1863,note_on,1,0,0,,2,,,62,127
1863,note_on,0,0,0,,2,,,86,127
1972,note_off,109,0,0,,2,,,86,127
1973,note_on,1,0,0,,10,,,81,127
2082,note_off,109,0,0,,10,,,81,127
2083,note_on,1,0,0,,6,,,78,127
2192,note_off,109,0,0,,6,,,78,127
2193,note_on,1,0,0,,10,,,81,127
2298,note_off,105,0,0,,2,,,62,127
2301,note_off,3,0,0,,10,,,81,127
2302,note_on,1,0,0,,2,,,74,127
2411,note_off,109,0,0,,2,,,74,127
2412,note_on,1,0,0,,6,,,78,127
2521,note_off,109,0,0,,6,,,78,127
2522,note_on,1,0,0,,6,,,54,127
2522,note_on,0,0,0,,10,,,69,127
2631,note_off,109,0,0,,10,,,69,127
2632,note_on,1,0,0,,6,,,78,127
2741,note_off,109,0,0,,6,,,78,127
2741,note_off,0,0,0,,6,,,54,127
2742,note_on,1,0,0,,7,,,55,127
2742,note_on,0,0,0,,12,,,71,127
2851,note_off,109,0,0,,12,,,71,127
2852,note_on,1,0,0,,7,,,79,127
2961,note_off,109,0,0,,7,,,79,127
2961,note_off,0,0,0,,7,,,55,127
2962,note_on,1,0,0,,7,,,43,127
2962,note_on,0,0,0,,6,,,78,127
3071,note_off,109,0,0,,6,,,78,127
3072,note_on,1,0,0,,4,,,76,127
3181,note_off,109,0,0,,4,,,76,127
3181,note_off,0,0,0,,7,,,43,127
3182,note_on,1,0,0,,10,,,57,127
3182,note_on,0,0,0,,2,,,74,127
3291,note_off,109,0,0,,2,,,74,127
3292,note_on,1,0,0,,4,,,76,127
3401,note_off,109,0,0,,4,,,76,127
3401,note_off,0,0,0,,10,,,57,127
3402,note_on,1,0,0,,10,,,45,127
3402,note_on,0,0,0,,10,,,69,127
3511,note_off,109,0,0,,10,,,69,127
3512,note_on,1,0,0,,1,,,73,127
3621,note_off,109,0,0,,1,,,73,127
3621,note_off,0,0,0,,10,,,45,127
3622,note_on,1,0,0,,2,,,50,127
3622,note_on,0,0,0,,2,,,74,127
3731,note_off,109,0,0,,2,,,50,127
3732,note_on,1,0,0,,2,,,62,127
3841,note_off,109,0,0,,2,,,62,127
3842,note_on,1,0,0,,6,,,66,127
3951,note_off,109,0,0,,6,,,66,127
3952,note_on,1,0,0,,2,,,62,127
4061,note_off,109,0,0,,2,,,62,127
4062,note_on,1,0,0,,10,,,57,127
4171,note_off,109,0,0,,10,,,57,127
4172,note_on,1,0,0,,6,,,54,127
4281,note_off,109,0,0,,6,,,54,127
4282,note_on,1,0,0,,2,,,50,127
4391,note_off,109,0,0,,2,,,50,127
4392,note_on,1,0,0,,10,,,45,127
4501,note_off,109,0,0,,10,,,45,127
4501,note_off,0,0,0,,2,,,74,127
4502,note_on,1,0,0,,10,,,33,127
4612,note_on,110,0,0,,10,,,81,127
4721,note_off,109,0,0,,10,,,81,127
4722,note_on,1,0,0,,4,,,76,127
4831,note_off,109,0,0,,4,,,76,127
4832,note_on,1,0,0,,1,,,73,127
4941,note_off,109,0,0,,1,,,73,127
4942,note_on,1,0,0,,10,,,69,127
5051,note_off,109,0,0,,10,,,69,127
5052,note_on,1,0,0,,7,,,79,127
5161,note_off,109,0,0,,7,,,79,127
5162,note_on,1,0,0,,6,,,78,127
5271,note_off,109,0,0,,6,,,78,127
5272,note_on,1,0,0,,4,,,76,127
5381,note_off,109,0,0,,4,,,76,127
5381,note_off,0,0,0,,10,,,33,127
5382,note_on,1,0,0,,2,,,50,127
5382,note_on,0,0,0,,2,,,74,127
5491,note_off,109,0,0,,2,,,50,127
5492,note_on,1,0,0,,2,,,62,127
5601,note_off,109,0,0,,2,,,62,127
5602,note_on,1,0,0,,6,,,66,127
5711,note_off,109,0,0,,6,,,66,127
5712,note_on,1,0,0,,2,,,62,127
5821,note_off,109,0,0,,2,,,62,127
5822,note_on,1,0,0,,10,,,57,127
5931,note_off,109,0,0,,10,,,57,127
5932,note_on,1,0,0,,6,,,54,127
6041,note_off,109,0,0,,6,,,54,127
6042,note_on,1,0,0,,2,,,50,127
6151,note_off,109,0,0,,2,,,50,127
6152,note_on,1,0,0,,10,,,45,127
6261,note_off,109,0,0,,10,,,45,127
6261,note_off,0,0,0,,2,,,74,127
6262,note_on,1,0,0,,10,,,33,127
6372,note_on,110,0,0,,10,,,81,127
6481,note_off,109,0,0,,10,,,81,127
6482,note_on,1,0,0,,4,,,76,127
6591,note_off,109,0,0,,4,,,76,127
6592,note_on,1,0,0,,1,,,73,127
6701,note_off,109,0,0,,1,,,73,127
6702,note_on,1,0,0,,10,,,69,127
6811,note_off,109,0,0,,10,,,69,127
6812,note_on,1,0,0,,7,,,79,127
