tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,255319,,,,,,
263,note_on,,,,,263,0,1,,,0,73,34,,
367,note_on,,,,,0,0,1,,,0,69,28,,
367,note_off,,,,,104,0,1,,,0,73,64,,
455,note_off,,,,,88,0,1,,,0,69,64,,
485,note_on,,,,,30,0,1,,,0,73,52,,
490,note_on,,,,,5,0,1,,,0,76,50,,
517,note_off,,,,,27,0,1,,,0,76,64,,
522,note_off,,,,,5,0,1,,,0,73,64,,
705,note_on,,,,,183,0,1,,,0,78,61,,
711,note_on,,,,,6,0,1,,,0,74,50,,
738,note_off,,,,,27,0,1,,,0,74,64,,
753,note_off,,,,,15,0,1,,,0,78,64,,
934,note_on,,,,,181,0,1,,,0,76,50,,
941,note_on,,,,,7,0,1,,,0,73,61,,
972,note_off,,,,,31,0,1,,,0,76,64,,
976,note_off,,,,,4,0,1,,,0,73,64,,
1164,note_on,,,,,188,0,1,,,0,61,64,,
1174,note_on,,,,,0,0,1,,,0,49,56,,
1174,note_on,,,,,10,0,1,,,0,37,56,,
1225,note_off,,,,,51,0,1,,,0,61,64,,
1230,note_off,,,,,5,0,1,,,0,37,64,,
1244,note_off,,,,,14,0,1,,,0,49,64,,
1404,note_on,,,,,160,0,1,,,0,62,63,,
1411,note_on,,,,,0,0,1,,,0,38,53,,
1411,note_on,,,,,7,0,1,,,0,50,55,,
1459,note_off,,,,,48,0,1,,,0,38,64,,
1464,note_off,,,,,5,0,1,,,0,50,64,,
1468,note_off,,,,,4,0,1,,,0,62,64,,
1656,note_on,,,,,188,0,1,,,0,52,53,,
1656,note_on,,,,,0,0,1,,,0,64,63,,
1663,note_on,,,,,7,0,1,,,0,40,50,,
1690,note_off,,,,,27,0,1,,,0,52,64,,
1704,note_off,,,,,14,0,1,,,0,40,64,,
1712,note_off,,,,,8,0,1,,,0,64,64,,
1895,note_on,,,,,0,0,1,,,0,45,63,,
1895,note_on,,,,,183,0,1,,,0,33,63,,
1901,note_on,,,,,6,0,1,,,0,57,63,,
1914,control_change,,,,,1914,0,2,,,0,,,64,64
1935,control_change,,,,,21,0,2,,,0,,,64,127
1979,note_off,,,,,78,0,1,,,0,57,64,,
2153,note_on,,,,,174,0,1,,,0,73,61,,
2160,note_off,,,,,7,0,1,,,0,33,64,,
2172,note_off,,,,,12,0,1,,,0,45,64,,
2264,note_on,,,,,92,0,1,,,0,69,55,,
2283,note_off,,,,,19,0,1,,,0,73,64,,
2302,note_off,,,,,19,0,1,,,0,69,64,,
2398,note_on,,,,,0,0,1,,,0,73,52,,
2398,note_on,,,,,96,0,1,,,0,81,55,,
2427,note_off,,,,,29,0,1,,,0,73,64,,
2437,note_off,,,,,10,0,1,,,0,81,64,,
2628,note_on,,,,,191,0,1,,,0,83,60,,
2634,note_on,,,,,6,0,1,,,0,74,45,,
2654,note_off,,,,,20,0,1,,,0,74,64,,
2678,note_off,,,,,24,0,1,,,0,83,64,,
2696,control_change,,,,,761,0,2,,,0,,,64,96
2715,control_change,,,,,19,0,2,,,0,,,64,64
2735,control_change,,,,,20,0,2,,,0,,,64,0
2868,note_on,,,,,190,0,1,,,0,81,55,,
2875,note_on,,,,,7,0,1,,,0,73,52,,
2917,note_off,,,,,42,0,1,,,0,81,64,,
