tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,
0,end_of_track,,,,,0,1,6,,,,,
0,track_name,,,,,0,1,6,,,,,
0,end_of_track,,,,,0,1,5,,,,,
0,track_name,,,,,0,1,5,,,,,
0,end_of_track,,,,,0,1,4,,,,,
0,track_name,,,,,0,1,4,,,,,
0,end_of_track,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,3,,,,,
0,end_of_track,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,7,,,,,
0,end_of_track,,,,,0,1,7,,,,,
0,program_change,,,,,0,0,1,,0,0,,
0,track_name,,,,,0,1,1,,,,,
0,end_of_track,,,,,0,1,0,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,
674,note_on,,,,,0,0,1,,,0,80,46
674,note_on,,,,,674,0,1,,,0,83,50
873,note_on,,,,,0,0,1,,,0,81,55
873,note_off,,,,,0,0,1,,,0,83,64
873,note_off,,,,,199,0,1,,,0,80,64
873,note_on,,,,,0,0,1,,,0,78,35
905,note_off,,,,,32,0,1,,,0,81,64
907,note_on,,,,,2,0,1,,,0,83,55
939,note_off,,,,,32,0,1,,,0,83,64
941,note_on,,,,,2,0,1,,,0,81,51
1072,note_off,,,,,0,0,1,,,0,78,64
1072,note_off,,,,,131,0,1,,,0,81,64
1074,note_on,,,,,0,0,1,,,0,64,41
1074,note_on,,,,,0,0,1,,,0,81,41
1074,note_on,,,,,2,0,1,,,0,76,35
1099,note_on,,,,,0,0,1,,,0,80,46
1099,note_off,,,,,25,0,1,,,0,81,64
1174,note_on,,,,,0,0,1,,,0,59,41
1174,note_off,,,,,75,0,1,,,0,64,64
1273,note_off,,,,,0,0,1,,,0,80,64
1273,note_off,,,,,99,0,1,,,0,59,64
1273,note_off,,,,,0,0,1,,,0,76,64
1274,note_on,,,,,1,0,1,,,0,52,43
1372,note_off,,,,,98,0,1,,,0,52,64
1374,note_on,,,,,2,0,1,,,0,40,41
1474,note_on,,,,,0,0,1,,,0,71,41
1474,note_on,,,,,0,0,1,,,0,80,48
1474,note_off,,,,,100,0,1,,,0,40,64
1673,note_off,,,,,0,0,1,,,0,80,64
1673,note_off,,,,,199,0,1,,,0,71,64
1675,note_on,,,,,0,0,1,,,0,78,50
1675,note_on,,,,,2,0,1,,,0,69,39
1706,note_off,,,,,31,0,1,,,0,78,64
1709,note_on,,,,,3,0,1,,,0,80,50
1741,note_off,,,,,32,0,1,,,0,80,64
1743,note_on,,,,,2,0,1,,,0,78,44
1873,note_off,,,,,0,0,1,,,0,69,64
1873,note_off,,,,,130,0,1,,,0,78,64
1875,note_on,,,,,0,0,1,,,0,78,32
1875,note_on,,,,,0,0,1,,,0,68,35
1875,note_on,,,,,2,0,1,,,0,64,41
1898,note_off,,,,,23,0,1,,,0,78,64
1900,note_on,,,,,2,0,1,,,0,76,36
1973,note_off,,,,,73,0,1,,,0,64,64
1975,note_on,,,,,2,0,1,,,0,59,41
2075,note_off,,,,,0,0,1,,,0,68,64
2075,note_off,,,,,100,0,1,,,0,59,64
2075,note_off,,,,,0,0,1,,,0,76,64
2075,note_on,,,,,0,0,1,,,0,52,43
2174,note_off,,,,,99,0,1,,,0,52,64
2176,note_on,,,,,2,0,1,,,0,40,41
2274,note_off,,,,,98,0,1,,,0,40,64
2276,note_on,,,,,0,0,1,,,0,80,44
2276,note_on,,,,,2,0,1,,,0,83,50
2474,note_off,,,,,0,0,1,,,0,83,64
2474,note_off,,,,,198,0,1,,,0,80,64
2475,note_on,,,,,0,0,1,,,0,81,55
2475,note_on,,,,,1,0,1,,,0,78,44
2508,note_off,,,,,33,0,1,,,0,81,64
2510,note_on,,,,,2,0,1,,,0,83,55
2543,note_off,,,,,33,0,1,,,0,83,64
2543,note_on,,,,,0,0,1,,,0,81,50
2675,note_on,,,,,0,0,1,,,0,76,37
2675,note_off,,,,,0,0,1,,,0,78,64
2675,note_off,,,,,132,0,1,,,0,81,64
2676,note_on,,,,,0,0,1,,,0,64,41
2676,note_on,,,,,1,0,1,,,0,81,45
2700,note_off,,,,,24,0,1,,,0,81,64
2702,note_on,,,,,2,0,1,,,0,80,41
2775,note_off,,,,,73,0,1,,,0,64,64
2777,note_on,,,,,2,0,1,,,0,59,41
2877,note_off,,,,,0,0,1,,,0,80,64
2877,note_off,,,,,100,0,1,,,0,59,64
2877,note_off,,,,,0,0,1,,,0,76,64
2877,note_on,,,,,0,0,1,,,0,52,43
2976,note_on,,,,,0,0,1,,,0,40,41
2976,note_off,,,,,99,0,1,,,0,52,64
3075,note_off,,,,,99,0,1,,,0,40,64
3077,note_on,,,,,0,0,1,,,0,71,39
3077,note_on,,,,,2,0,1,,,0,80,48
3276,note_off,,,,,0,0,1,,,0,80,64
3276,note_off,,,,,199,0,1,,,0,71,64
3278,note_on,,,,,0,0,1,,,0,78,55
3278,note_on,,,,,2,0,1,,,0,69,36
3310,note_on,,,,,0,0,1,,,0,80,55
3310,note_off,,,,,32,0,1,,,0,78,64
3344,note_off,,,,,34,0,1,,,0,80,64
3344,note_on,,,,,0,0,1,,,0,78,43
3478,note_on,,,,,0,0,1,,,0,64,41
3478,note_on,,,,,0,0,1,,,0,78,45
3478,note_on,,,,,0,0,1,,,0,68,36
3478,note_off,,,,,0,0,1,,,0,69,64
3478,note_off,,,,,134,0,1,,,0,78,64
3502,note_off,,,,,24,0,1,,,0,78,64
3504,note_on,,,,,2,0,1,,,0,76,46
3576,note_off,,,,,72,0,1,,,0,64,64
3578,note_on,,,,,2,0,1,,,0,59,41
3676,note_off,,,,,98,0,1,,,0,59,64
3676,note_off,,,,,0,0,1,,,0,76,64
3676,note_off,,,,,0,0,1,,,0,68,64
3677,note_on,,,,,1,0,1,,,0,52,43
3777,note_off,,,,,100,0,1,,,0,52,64
3777,note_on,,,,,0,0,1,,,0,40,41
3877,note_off,,,,,100,0,1,,,0,40,64
3879,note_on,,,,,2,0,1,,,0,80,45
3879,note_on,,,,,0,0,1,,,0,64,48
3902,note_off,,,,,23,0,1,,,0,80,64
3903,note_on,,,,,1,0,1,,,0,81,45
3928,note_on,,,,,0,0,1,,,0,83,57
3928,note_off,,,,,25,0,1,,,0,81,64
3977,note_off,,,,,49,0,1,,,0,64,64
3979,note_on,,,,,2,0,1,,,0,68,39
4078,note_on,,,,,0,0,1,,,0,66,35
4078,note_off,,,,,99,0,1,,,0,68,64
4177,note_off,,,,,99,0,1,,,0,66,64
4179,note_on,,,,,0,0,1,,,0,64,23
4179,note_on,,,,,0,0,1,,,0,74,46
4179,note_off,,,,,2,0,1,,,0,83,64
4277,note_off,,,,,98,0,1,,,0,64,64
4279,note_on,,,,,0,0,1,,,0,69,51
4279,note_off,,,,,2,0,1,,,0,74,64
4279,note_on,,,,,0,0,1,,,0,73,42
4378,note_off,,,,,99,0,1,,,0,69,64
4378,note_off,,,,,0,0,1,,,0,73,64
4378,note_on,,,,,0,0,1,,,0,81,47
4378,note_on,,,,,0,0,1,,,0,73,41
4478,note_off,,,,,100,0,1,,,0,73,64
4480,note_on,,,,,0,0,1,,,0,80,47
4480,note_off,,,,,2,0,1,,,0,81,64
