tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,6,8,12,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,127,,
0,note_on,,,,,0,0,1,,,0,,,83,47
0,track_name,,,,,0,1,10,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,127,,
0,note_on,,,,,0,0,2,,,0,,,40,59
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,0,0,,,,
0,control_change,,,,,0,0,3,,,0,7,127,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,
0,program_change,,,,,0,0,4,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,
0,set_tempo,,,,,0,1,0,262009,,,,,,
0,marker,,,,,0,1,0,,,,,,,
96,note_off,,,,,96,0,1,,,0,,,83,64
120,note_on,,,,,24,0,1,,,0,,,80,38
216,note_off,,,,,96,0,1,,,0,,,80,64
240,note_on,,,,,24,0,1,,,0,,,76,34
279,control_change,,,,,279,0,4,,,0,64,64,,
288,note_off,,,,,288,0,2,,,0,,,40,64
336,note_off,,,,,96,0,1,,,0,,,76,64
345,control_change,,,,,66,0,4,,,0,64,96,,
360,note_on,,,,,24,0,1,,,0,,,71,44
456,note_off,,,,,96,0,1,,,0,,,71,64
460,control_change,,,,,115,0,4,,,0,64,127,,
480,note_on,,,,,24,0,1,,,0,,,68,38
576,note_off,,,,,96,0,1,,,0,,,68,64
