tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,3,8,96,8,0,1,0,,,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,0,,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,,
0,control_change,,,,,0,0,3,,,91,23,0,,,,
0,program_change,,,,,0,0,3,,,,,0,6,,,
0,key_signature,,,,,0,1,3,,,,,,,G,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,0,,,,
0,program_change,,,,,0,0,4,,,,,0,6,,,
0,control_change,,,,,0,0,4,,,7,100,0,,,,
0,control_change,,,,,0,0,4,,,91,23,0,,,,
0,key_signature,,,,,0,1,4,,,,,,,G,,
0,note_on,,,,,0,0,4,,,,,0,,,79,100
0,control_change,,,,,0,0,5,,,0,0,1,,,,
0,key_signature,,,,,0,1,5,,,,,,,G,,
0,control_change,,,,,0,0,5,,,91,23,1,,,,
0,control_change,,,,,0,0,5,,,7,100,1,,,,
0,program_change,,,,,0,0,5,,,,,1,6,,,
0,end_of_track,,,,,0,1,1,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 1)",,,,,,,,
0,set_tempo,,,,,0,1,0,,571428,,,,,,,
188,note_off,,,,,188,0,4,,,,,0,,,79,100
192,note_on,,,,,4,0,4,,,,,0,,,67,100
292,note_off,,,,,100,0,4,,,,,0,,,67,100
384,note_on,,,,,92,0,4,,,,,0,,,67,100
484,note_off,,,,,100,0,4,,,,,0,,,67,100
576,set_tempo,,,,,576,1,0,,571428,,,,,,,
576,note_on,,,,,576,0,5,,,,,1,,,55,100
576,note_on,,,,,92,0,4,,,,,0,,,67,100
620,note_off,,,,,44,0,4,,,,,0,,,67,100
624,note_on,,,,,4,0,4,,,,,0,,,69,100
668,note_off,,,,,44,0,4,,,,,0,,,69,100
672,note_on,,,,,4,0,4,,,,,0,,,67,100
716,note_off,,,,,44,0,4,,,,,0,,,67,100
720,note_on,,,,,4,0,4,,,,,0,,,69,100
764,note_off,,,,,44,0,4,,,,,0,,,69,100
764,note_off,,,,,188,0,5,,,,,1,,,55,100
768,note_on,,,,,4,0,4,,,,,0,,,67,100
768,note_on,,,,,4,0,5,,,,,1,,,43,100
812,note_off,,,,,44,0,4,,,,,0,,,67,100
816,note_on,,,,,4,0,4,,,,,0,,,69,100
860,note_off,,,,,44,0,4,,,,,0,,,69,100
864,note_on,,,,,4,0,4,,,,,0,,,67,100
868,note_off,,,,,100,0,5,,,,,1,,,43,100
908,note_off,,,,,44,0,4,,,,,0,,,67,100
912,note_on,,,,,4,0,4,,,,,0,,,69,100
956,note_off,,,,,44,0,4,,,,,0,,,69,100
960,note_on,,,,,92,0,5,,,,,1,,,43,100
960,note_on,,,,,4,0,4,,,,,0,,,67,100
1004,note_off,,,,,44,0,4,,,,,0,,,67,100
1008,note_on,,,,,4,0,4,,,,,0,,,69,100
1052,note_off,,,,,44,0,4,,,,,0,,,69,100
1056,note_on,,,,,4,0,4,,,,,0,,,67,100
1060,note_off,,,,,100,0,5,,,,,1,,,43,100
1120,note_off,,,,,64,0,4,,,,,0,,,67,100
1152,note_on,,,,,32,0,4,,,,,0,,,67,100
1152,note_on,,,,,92,0,5,,,,,1,,,43,100
1244,note_off,,,,,92,0,4,,,,,0,,,67,100
1248,note_on,,,,,4,0,4,,,,,0,,,62,100
1340,note_off,,,,,92,0,4,,,,,0,,,62,100
1344,note_on,,,,,4,0,4,,,,,0,,,71,100
1436,note_off,,,,,92,0,4,,,,,0,,,71,100
1440,note_on,,,,,4,0,4,,,,,0,,,67,100
1532,note_off,,,,,92,0,4,,,,,0,,,67,100
1536,note_off,,,,,384,0,5,,,,,1,,,43,100
1536,note_on,,,,,4,0,4,,,,,0,,,74,100
1628,note_off,,,,,92,0,4,,,,,0,,,74,100
1632,note_on,,,,,4,0,4,,,,,0,,,71,100
