tick,type,time,meta,track,tempo,note,velocity,channel
0,text,0,1,0,,,,
0,note_on,0,0,1,,60,64,0
0,note_on,0,0,1,,57,64,0
0,set_tempo,0,1,0,833333,,,
0,copyright,0,1,0,,,,
0,track_name,0,1,0,,,,
0,track_name,0,1,0,,,,
0,text,0,1,0,,,,
0,note_on,0,0,2,,69,64,0
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
10,set_tempo,10,1,0,833333,,,
30,note_on,0,0,2,,76,64,0
30,note_off,30,0,2,,69,64,0
60,note_on,0,0,2,,72,64,0
60,note_off,30,0,2,,76,64,0
90,note_on,0,0,2,,69,64,0
90,note_off,30,0,2,,72,64,0
120,note_on,0,0,1,,59,64,0
120,note_off,0,0,1,,60,64,0
120,note_off,120,0,1,,57,64,0
120,note_on,0,0,2,,68,64,0
120,note_off,30,0,2,,69,64,0
120,note_on,0,0,1,,62,64,0
150,note_off,0,0,1,,62,64,0
150,note_on,0,0,2,,77,64,0
150,note_off,30,0,2,,68,64,0
150,note_off,30,0,1,,59,64,0
180,note_on,0,0,2,,69,64,0
180,note_off,30,0,2,,77,64,0
180,note_on,0,0,1,,60,64,0
180,note_on,30,0,1,,57,64,0
210,note_on,0,0,2,,76,64,0
210,note_off,30,0,2,,69,64,0
210,note_off,30,0,1,,57,64,0
210,note_off,0,0,1,,60,64,0
240,note_on,30,0,1,,56,64,0
240,note_on,0,0,1,,59,64,0
240,note_off,30,0,2,,76,64,0
240,note_on,0,0,2,,64,64,0
255,note_off,15,0,2,,64,64,0
270,note_on,15,0,2,,83,64,0
300,note_off,30,0,2,,83,64,0
300,note_on,0,0,2,,77,64,0
330,note_on,0,0,2,,76,64,0
330,note_off,30,0,2,,77,64,0
360,note_on,0,0,1,,54,64,0
360,note_off,0,0,1,,59,64,0
360,note_on,0,0,2,,75,64,0
360,note_off,30,0,2,,76,64,0
360,note_on,0,0,1,,57,64,0
360,note_off,120,0,1,,56,64,0
390,note_off,30,0,1,,54,64,0
390,note_on,0,0,2,,84,64,0
390,note_off,0,0,1,,57,64,0
390,note_off,30,0,2,,75,64,0
420,note_on,0,0,2,,76,64,0
420,note_off,30,0,2,,84,64,0
420,note_on,30,0,1,,56,64,0
420,note_on,0,0,1,,59,64,0
450,note_off,30,0,1,,56,64,0
450,note_off,0,0,1,,59,64,0
450,note_off,30,0,2,,76,64,0
450,note_on,0,0,2,,83,64,0
480,note_on,0,0,2,,69,64,0
480,note_on,30,0,1,,57,64,0
480,note_on,0,0,1,,60,64,0
480,note_off,30,0,2,,83,64,0
510,note_on,0,0,2,,72,64,0
510,note_off,30,0,2,,69,64,0
540,note_on,0,0,2,,75,64,0
540,note_off,30,0,2,,72,64,0
570,note_off,30,0,2,,75,64,0
570,note_on,0,0,2,,76,64,0
600,note_off,120,0,1,,57,64,0
600,note_off,0,0,1,,60,64,0
600,note_on,0,0,1,,53,64,0
600,note_on,0,0,1,,62,64,0
600,note_on,0,0,2,,81,64,0
600,note_off,30,0,2,,76,64,0
630,note_off,30,0,2,,81,64,0
630,note_on,0,0,2,,79,64,0
660,note_on,0,0,2,,77,64,0
660,note_off,30,0,2,,79,64,0
690,note_on,0,0,2,,76,64,0
690,note_off,30,0,2,,77,64,0
720,note_on,0,0,1,,55,64,0
720,note_off,30,0,2,,76,64,0
720,note_on,0,0,2,,74,64,0
720,note_off,120,0,1,,53,64,0
720,note_off,0,0,1,,62,64,0
720,note_on,0,0,1,,59,64,0
750,note_off,30,0,2,,74,64,0
750,note_on,0,0,2,,72,64,0
780,note_off,30,0,2,,72,64,0
780,note_on,0,0,2,,71,64,0
810,note_off,30,0,2,,71,64,0
810,note_on,0,0,2,,69,64,0
840,note_off,30,0,2,,69,64,0
840,note_on,0,0,2,,67,64,0
870,note_on,0,0,2,,66,64,0
870,note_off,30,0,2,,67,64,0
900,note_off,30,0,2,,66,64,0
900,note_on,0,0,2,,65,64,0
930,note_off,30,0,2,,65,64,0
930,note_on,0,0,2,,64,64,0
960,note_off,30,0,2,,64,64,0
