tick,type,time,meta,track,tempo,note,velocity,channel
0,text,0,1,0,,,,
0,note_on,0,0,2,,64,64,0
0,note_on,0,0,1,,57,64,0
0,set_tempo,0,1,0,833333,,,
0,copyright,0,1,0,,,,
0,track_name,0,1,0,,,,
0,track_name,0,1,0,,,,
0,text,0,1,0,,,,
0,note_on,0,0,2,,60,64,0
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
0,text,0,1,0,,,,
10,set_tempo,10,1,0,833333,,,
120,note_on,0,0,2,,64,64,0
120,note_off,120,0,1,,57,64,0
120,note_on,0,0,2,,62,64,0
120,note_off,120,0,2,,60,64,0
120,note_on,0,0,1,,59,64,0
120,note_off,0,0,2,,64,64,0
180,note_on,0,0,2,,60,64,0
180,note_off,0,0,2,,64,64,0
180,note_off,60,0,2,,62,64,0
180,note_on,0,0,2,,64,64,0
180,note_off,60,0,1,,59,64,0
180,note_on,0,0,1,,57,64,0
240,note_on,0,0,2,,64,64,0
240,note_on,0,0,2,,59,64,0
240,note_off,0,0,2,,64,64,0
240,note_off,60,0,2,,60,64,0
240,note_off,60,0,1,,57,64,0
240,note_on,0,0,1,,56,64,0
360,note_on,0,0,2,,57,64,0
360,note_off,120,0,1,,56,64,0
360,note_on,0,0,1,,54,64,0
360,note_off,120,0,2,,59,64,0
360,note_off,0,0,2,,64,64,0
360,note_on,0,0,2,,64,64,0
420,note_on,0,0,2,,64,64,0
420,note_on,0,0,2,,59,64,0
420,note_off,0,0,2,,64,64,0
420,note_off,60,0,2,,57,64,0
420,note_on,0,0,1,,56,64,0
420,note_off,60,0,1,,54,64,0
480,note_off,60,0,1,,56,64,0
480,note_on,0,0,2,,64,64,0
480,note_on,0,0,2,,60,64,0
480,note_off,0,0,2,,64,64,0
480,note_off,60,0,2,,59,64,0
480,note_on,0,0,1,,57,64,0
600,note_on,0,0,2,,65,83,0
600,note_off,120,0,1,,57,64,0
600,note_on,0,0,1,,53,64,0
600,note_on,0,0,1,,57,64,0
600,note_off,120,0,2,,60,64,0
600,note_off,0,0,2,,64,64,0
600,note_on,0,0,2,,62,83,0
720,note_off,0,0,1,,57,64,0
720,note_off,120,0,1,,53,64,0
720,note_off,120,0,2,,62,83,0
720,note_off,0,0,2,,65,83,0
720,note_on,0,0,2,,59,83,0
720,note_on,0,0,2,,62,83,0
720,note_on,0,0,1,,55,83,0
960,note_off,240,0,2,,59,83,0
960,note_off,0,0,2,,62,83,0
960,note_on,0,0,2,,59,83,0
960,note_on,0,0,2,,62,83,0
960,note_on,0,0,2,,67,83,0
960,note_on,0,0,1,,55,83,0
960,note_off,240,0,1,,55,83,0
1080,note_on,0,0,1,,57,83,0
1080,note_on,0,0,2,,67,83,0
1080,note_off,120,0,2,,59,83,0
1080,note_off,0,0,2,,62,83,0
1080,note_off,0,0,2,,67,83,0
1080,note_off,120,0,1,,55,83,0
1080,note_on,0,0,2,,60,83,0
1140,note_off,60,0,2,,60,83,0
1140,note_on,0,0,2,,62,83,0
1140,note_on,0,0,2,,67,83,0
1140,note_on,0,0,1,,59,83,0
1140,note_off,60,0,1,,57,83,0
1140,note_off,0,0,2,,67,83,0
1200,note_off,0,0,2,,67,83,0
1200,note_on,0,0,2,,64,83,0
1200,note_on,0,0,2,,67,83,0
1200,note_on,0,0,1,,60,83,0
1200,note_off,60,0,1,,59,83,0
1200,note_off,60,0,2,,62,83,0
1320,note_off,120,0,2,,64,83,0
1320,note_on,0,0,2,,64,83,0
1320,note_on,0,0,2,,69,83,0
1320,note_off,0,0,2,,67,83,0
1320,note_on,0,0,1,,60,83,0
1320,note_on,0,0,1,,57,83,0
1320,note_off,120,0,1,,60,83,0
1440,note_off,0,0,2,,69,83,0
1440,note_on,0,0,1,,59,83,0
1440,note_on,0,0,1,,52,83,0
1440,note_off,0,0,1,,60,83,0
1440,note_off,120,0,1,,57,83,0
1440,note_off,120,0,2,,64,83,0
1440,note_on,0,0,2,,69,83,0
1440,note_on,0,0,2,,64,83,0
1560,note_off,120,0,2,,69,83,0
1560,note_on,0,0,2,,68,83,0
1650,note_off,90,0,2,,68,83,0
1650,note_on,0,0,2,,66,83,0
1665,note_off,15,0,2,,66,83,0
1665,note_on,0,0,2,,68,83,0
1680,note_on,0,0,2,,64,83,0
1680,note_off,15,0,2,,64,83,0
1680,note_on,0,0,2,,69,83,0
1680,note_off,240,0,1,,52,83,0
1680,note_off,0,0,1,,59,83,0
1680,note_on,0,0,1,,45,83,0
1680,note_on,0,0,1,,52,83,0
1680,note_off,0,0,2,,68,83,0
1680,note_on,0,0,1,,57,83,0
1920,note_off,240,0,1,,45,83,0
1920,note_off,0,0,1,,52,83,0
1920,note_off,0,0,1,,57,83,0
1920,note_on,0,0,1,,57,83,0
1920,note_off,240,0,2,,64,83,0
1920,note_off,0,0,2,,69,83,0
1920,note_on,0,0,2,,60,83,0
1920,note_on,0,0,2,,64,83,0
2040,note_off,0,0,2,,64,83,0
2040,note_on,0,0,2,,62,83,0
2040,note_on,0,0,2,,64,83,0
2040,note_off,120,0,2,,60,83,0
2040,note_off,120,0,1,,57,83,0
2040,note_on,0,0,1,,59,83,0
2100,note_off,0,0,2,,64,83,0
2100,note_off,60,0,1,,59,83,0
2100,note_on,0,0,1,,57,83,0
2100,note_off,60,0,2,,62,83,0
