tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,key_signature,0,1,7,,,,,,F,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,key_signature,0,1,6,,,,,,C,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,key_signature,0,1,9,,,,,,F,,,,,,
0,key_signature,0,1,2,,,,,,F,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,key_signature,0,1,4,,,,,,F,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,key_signature,0,1,10,,,,,,Eb,,,,,,
0,key_signature,0,1,3,,,,,,F,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,key_signature,0,1,11,,,,,,C,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,key_signature,0,1,12,,,,,,F,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,key_signature,0,1,8,,,,,,F,,,,,,
0,key_signature,0,1,5,,,,,,F,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,key_signature,0,1,1,,,,,,F,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,1153846,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
5,control_change,5,0,12,,,,,,,0,0,10,,,
10,control_change,5,0,12,,,,,,,32,0,10,,,
10,control_change,10,0,1,,,,,,,0,0,2,,,
15,program_change,5,0,12,,,,,,,,,10,70,,
15,control_change,5,0,1,,,,,,,32,0,2,,,
20,control_change,5,0,12,,,,,,,7,111,10,,,
20,program_change,5,0,1,,,,,,,,,2,45,,
25,control_change,5,0,12,,,,,,,10,61,10,,,
25,control_change,5,0,1,,,,,,,7,77,2,,,
30,control_change,5,0,12,,,,,,,91,127,10,,,
30,control_change,5,0,1,,,,,,,10,54,2,,,
35,control_change,5,0,1,,,,,,,91,127,2,,,
