tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,,,600000,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,,,C,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,,,,,,,
0,sysex,0,0,0,,,,,,,,"(126, 127, 9, 1)",,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,,,4,4,24,8,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,,
0,midi_port,0,1,0,,,,,,,0,,,,,,,,,,,,,
122,program_change,122,0,2,,,,,,,,,,,,,,,0,0,,,,
122,program_change,122,0,1,,,,,,,,,,,,,,,0,0,,,,
123,control_change,1,0,1,,,,,,,,,,,,,,,,0,7,125,,
123,control_change,1,0,2,,,,,,,,,,,,,,,,0,7,125,,
571,note_on,448,0,1,,,,,,,,,,,,,,,,0,,,46,44
572,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,34,39
572,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,41,44
586,control_change,14,0,1,,,,,,,,,,,,,,,,0,64,127,,
631,note_on,45,0,1,,,,,,,,,,,,,,,,0,,,62,40
633,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,54
641,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,46,0
645,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,34,0
685,note_on,40,0,1,,,,,,,,,,,,,,,,0,,,70,69
706,note_on,21,0,1,,,,,,,,,,,,,,,,0,,,41,0
743,note_on,37,0,1,,,,,,,,,,,,,,,,0,,,74,51
746,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,65,43
770,note_on,24,0,1,,,,,,,,,,,,,,,,0,,,62,0
786,note_on,16,0,1,,,,,,,,,,,,,,,,0,,,65,0
799,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,70,50
825,note_on,26,0,1,,,,,,,,,,,,,,,,0,,,70,0
834,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,74,0
836,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,0
860,note_on,24,0,1,,,,,,,,,,,,,,,,0,,,65,54
866,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,70,0
868,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,0
913,note_on,45,0,1,,,,,,,,,,,,,,,,0,,,34,56
916,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,46,48
918,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,41,51
943,control_change,25,0,1,,,,,,,,,,,,,,,,0,64,0,,
976,note_on,33,0,1,,,,,,,,,,,,,,,,0,,,62,47
978,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,56
980,control_change,2,0,1,,,,,,,,,,,,,,,,0,64,127,,
993,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,34,0
994,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,0
1028,note_on,34,0,1,,,,,,,,,,,,,,,,0,,,70,59
1061,note_on,33,0,1,,,,,,,,,,,,,,,,0,,,41,0
1084,note_on,23,0,1,,,,,,,,,,,,,,,,0,,,74,50
1089,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,65,27
1112,note_on,989,0,2,,,,,,,,,,,,,,,,0,,,56,11
1112,note_on,23,0,1,,,,,,,,,,,,,,,,0,,,62,0
1123,note_on,11,0,1,,,,,,,,,,,,,,,,0,,,65,0
1132,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,70,0
1136,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,74,0
