tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,0,40,,
0,note_on,0,0,1,,,,,,,,,0,,81,117
0,control_change,0,0,3,,,,,,,7,117,2,,,
0,control_change,0,0,3,,,,,,,10,84,2,,,
0,control_change,0,0,1,,,,,,,10,16,0,,,
0,control_change,0,0,3,,,,,,,91,76,2,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,69,115
0,program_change,0,0,2,,,,,,,,,1,40,,
0,control_change,0,0,2,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,7,118,1,,,
0,control_change,0,0,2,,,,,,,10,44,1,,,
0,control_change,0,0,3,,,,,,,121,0,2,,,
0,control_change,0,0,2,,,,,,,91,60,1,,,
0,control_change,0,0,1,,,,,,,91,60,0,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,214285,,,,,,
0,control_change,0,0,4,,,,,,,7,115,3,,,
0,control_change,0,0,4,,,,,,,10,108,3,,,
0,control_change,0,0,1,,,,,,,121,0,0,,,
0,control_change,0,0,4,,,,,,,91,76,3,,,
0,control_change,0,0,4,,,,,,,121,0,3,,,
0,control_change,0,0,2,,,,,,,121,0,1,,,
256,control_change,0,0,4,,,,,,,0,0,3,,,
256,control_change,0,0,4,,,,,,,32,0,3,,,
256,time_signature,256,1,2,3,4,24,8,,,,,,,,
256,program_change,0,0,4,,,,,,,,,3,42,,
256,note_on,0,0,4,,,,,,,,,3,,50,113
256,note_on,0,0,3,,,,,,,,,2,,53,112
256,program_change,0,0,3,,,,,,,,,2,41,,
256,control_change,0,0,3,,,,,,,32,0,2,,,
256,control_change,0,0,3,,,,,,,0,0,2,,,
256,time_signature,256,1,3,3,4,24,8,,,,,,,,
256,time_signature,256,1,4,3,4,24,8,,,,,,,,
256,time_signature,256,1,1,3,4,24,8,,,,,,,,
487,note_on,231,0,2,,,,,,,,,1,,69,0
487,note_on,231,0,1,,,,,,,,,0,,81,0
512,note_on,25,0,2,,,,,,,,,1,,65,90
512,note_on,25,0,1,,,,,,,,,0,,77,86
627,note_on,115,0,2,,,,,,,,,1,,65,0
627,note_on,115,0,1,,,,,,,,,0,,77,0
768,note_on,141,0,2,,,,,,,,,1,,67,104
768,note_on,141,0,1,,,,,,,,,0,,79,100
883,note_on,115,0,2,,,,,,,,,1,,67,0
883,note_on,115,0,1,,,,,,,,,0,,79,0
948,note_on,692,0,3,,,,,,,,,2,,53,0
948,note_on,692,0,4,,,,,,,,,3,,50,0
1024,note_on,141,0,2,,,,,,,,,1,,69,102
1024,note_on,141,0,1,,,,,,,,,0,,81,103
1024,note_on,76,0,4,,,,,,,,,3,,49,121
1024,note_on,76,0,3,,,,,,,,,2,,52,119
1370,note_on,346,0,1,,,,,,,,,0,,81,0
1370,note_on,346,0,2,,,,,,,,,1,,69,0
1408,note_on,38,0,1,,,,,,,,,0,,81,94
1408,note_on,38,0,2,,,,,,,,,1,,69,101
1524,note_on,116,0,1,,,,,,,,,0,,81,0
1524,note_on,116,0,2,,,,,,,,,1,,69,0
1536,note_on,12,0,1,,,,,,,,,0,,81,122
1536,note_on,12,0,2,,,,,,,,,1,,69,121
1716,note_on,692,0,4,,,,,,,,,3,,49,0
1716,note_on,692,0,3,,,,,,,,,2,,52,0
1792,note_on,76,0,3,,,,,,,,,2,,50,118
1792,note_on,76,0,4,,,,,,,,,3,,46,118
2023,note_on,487,0,1,,,,,,,,,0,,81,0
2023,note_on,487,0,2,,,,,,,,,1,,69,0
2048,note_on,25,0,1,,,,,,,,,0,,65,69
2048,note_on,25,0,2,,,,,,,,,1,,65,87
2163,note_on,115,0,2,,,,,,,,,1,,65,0
2163,note_on,115,0,1,,,,,,,,,0,,65,0
2304,note_on,141,0,1,,,,,,,,,0,,67,98
2304,note_on,141,0,2,,,,,,,,,1,,55,80
2419,note_on,115,0,2,,,,,,,,,1,,55,0
2419,note_on,115,0,1,,,,,,,,,0,,67,0
2484,note_on,692,0,3,,,,,,,,,2,,50,0
2484,note_on,692,0,4,,,,,,,,,3,,46,0
2560,note_on,76,0,4,,,,,,,,,3,,45,114
2560,note_on,141,0,2,,,,,,,,,1,,57,100
2560,note_on,141,0,1,,,,,,,,,0,,69,103
2560,note_on,76,0,3,,,,,,,,,2,,49,119
3021,note_on,461,0,2,,,,,,,,,1,,57,0
3021,note_on,461,0,4,,,,,,,,,3,,45,0
3021,note_on,461,0,1,,,,,,,,,0,,69,0
3021,note_on,461,0,3,,,,,,,,,2,,49,0
3072,note_on,51,0,1,,,,,,,,,0,,86,127
3072,note_on,51,0,2,,,,,,,,,1,,74,127
3328,note_on,307,0,3,,,,,,,,,2,,55,113
3328,note_on,0,0,3,,,,,,,,,2,,62,113
3328,note_on,0,0,4,,,,,,,,,3,,58,112
3328,note_on,307,0,4,,,,,,,,,3,,50,112
3559,note_on,487,0,2,,,,,,,,,1,,74,0
3559,note_on,487,0,1,,,,,,,,,0,,86,0
3584,note_on,25,0,2,,,,,,,,,1,,70,85
3584,note_on,25,0,1,,,,,,,,,0,,82,88
3699,note_on,115,0,2,,,,,,,,,1,,70,0
3699,note_on,115,0,1,,,,,,,,,0,,82,0
3840,note_on,141,0,1,,,,,,,,,0,,84,104
3840,note_on,141,0,2,,,,,,,,,1,,72,102
3955,note_on,115,0,2,,,,,,,,,1,,72,0
3955,note_on,115,0,1,,,,,,,,,0,,84,0
4020,note_on,0,0,3,,,,,,,,,2,,62,0
4020,note_on,692,0,3,,,,,,,,,2,,55,0
4020,note_on,692,0,4,,,,,,,,,3,,50,0
4020,note_on,0,0,4,,,,,,,,,3,,58,0
