tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,91,127,,
0,text,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,,,,,,,0,7,100,,
0,note_on,0,0,2,,,,,,,,,,,,,,,0,,,36,71
0,note_on,0,0,2,,,,,,,,,,,,,,,0,,,48,84
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,,
0,time_signature,0,1,0,,,,,,,4,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,412371,,,,,,,
480,set_tempo,480,1,0,,,,,,,,,,,,406780,,,,,,,
480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,36,0
480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,48,79
480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,36,67
480,note_on,480,0,2,,,,,,,,,,,,,,,0,,,48,0
570,note_on,0,0,2,,,,,,,,,,,,,,,0,,,36,0
570,note_on,90,0,2,,,,,,,,,,,,,,,0,,,48,0
720,note_on,150,0,2,,,,,,,,,,,,,,,0,,,36,67
