tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,0,91,127,,
0,text,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,0,7,100,,
0,control_change,0,0,2,,,,,,,,,0,91,127,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,400000,,,,,,,
1,note_on,1,0,1,,,,,,,,,0,,,83,40
1,note_on,1,0,2,,,,,,,,,0,,,44,40
4,control_change,3,0,2,,,,,,,,,0,64,127,,
30,note_on,29,0,1,,,,,,,,,0,,,87,34
31,note_on,1,0,1,,,,,,,,,0,,,83,0
60,note_on,29,0,1,,,,,,,,,0,,,87,0
60,note_on,0,0,1,,,,,,,,,0,,,83,40
61,note_on,57,0,2,,,,,,,,,0,,,44,0
90,note_on,0,0,1,,,,,,,,,0,,,80,34
90,note_on,30,0,1,,,,,,,,,0,,,83,0
120,note_on,0,0,1,,,,,,,,,0,,,80,40
120,note_on,30,0,1,,,,,,,,,0,,,80,0
120,note_on,0,0,2,,,,,,,,,0,,,59,34
120,note_on,59,0,2,,,,,,,,,0,,,56,34
120,note_on,0,0,2,,,,,,,,,0,,,63,40
150,note_on,0,0,1,,,,,,,,,0,,,83,34
150,note_on,30,0,1,,,,,,,,,0,,,80,0
180,note_on,30,0,1,,,,,,,,,0,,,83,0
180,note_on,0,0,1,,,,,,,,,0,,,80,40
210,note_on,0,0,1,,,,,,,,,0,,,75,34
