tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,control,value,note,velocity
0,time_signature,1,8,12,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,1,,,,0,64,0,,
0,control_change,,,,,0,0,1,,,,0,64,0,,
0,program_change,,,,,0,0,1,,,1,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
0,set_tempo,,,,,0,1,0,,400000,,,,,,
512,set_tempo,,,,,512,1,0,,428571,,,,,,
512,note_on,,,,,0,0,1,,,,0,,,79,56
512,note_on,,,,,0,0,1,,,,0,,,67,38
512,control_change,,,,,0,0,1,,,,0,64,0,,
512,control_change,,,,,512,0,1,,,,0,64,0,,
1024,set_tempo,,,,,0,1,0,,400000,,,,,,
1024,time_signature,2,4,24,8,512,1,0,,,,,,,,
1024,note_on,,,,,0,0,1,,,,0,,,55,21
1024,note_on,,,,,0,0,1,,,,0,,,52,28
1024,control_change,,,,,0,0,1,,,,0,64,0,,
1024,control_change,,,,,512,0,1,,,,0,64,0,,
1296,note_off,,,,,0,0,1,,,,0,,,79,0
1296,note_off,,,,,272,0,1,,,,0,,,67,0
1376,note_off,,,,,0,0,1,,,,0,,,55,0
1376,note_off,,,,,80,0,1,,,,0,,,52,0
1536,note_on,,,,,0,0,1,,,,0,,,76,56
1536,note_on,,,,,160,0,1,,,,0,,,64,38
2048,note_on,,,,,0,0,1,,,,0,,,55,21
2048,note_on,,,,,512,0,1,,,,0,,,48,28
2320,note_off,,,,,0,0,1,,,,0,,,76,0
2320,note_off,,,,,272,0,1,,,,0,,,64,0
2400,note_off,,,,,80,0,1,,,,0,,,48,0
2400,note_off,,,,,0,0,1,,,,0,,,55,0
2560,note_on,,,,,160,0,1,,,,0,,,62,38
2560,note_on,,,,,0,0,1,,,,0,,,74,51
3072,note_on,,,,,0,0,1,,,,0,,,47,28
3072,control_change,,,,,512,0,1,,,,0,64,0,,
3072,control_change,,,,,0,0,1,,,,0,64,0,,
3072,note_on,,,,,0,0,1,,,,0,,,55,21
3344,note_off,,,,,0,0,1,,,,0,,,74,0
3344,note_off,,,,,272,0,1,,,,0,,,62,0
3424,note_off,,,,,0,0,1,,,,0,,,55,0
3424,note_off,,,,,80,0,1,,,,0,,,47,0
3584,note_on,,,,,160,0,1,,,,0,,,60,37
3584,note_on,,,,,0,0,1,,,,0,,,72,53
4096,note_on,,,,,512,0,1,,,,0,,,45,28
4096,note_on,,,,,0,0,1,,,,0,,,55,21
4368,note_off,,,,,0,0,1,,,,0,,,72,0
4368,note_off,,,,,272,0,1,,,,0,,,60,0
4448,note_off,,,,,80,0,1,,,,0,,,45,0
4448,note_off,,,,,0,0,1,,,,0,,,55,0
4608,note_on,,,,,0,0,1,,,,0,,,69,46
4608,note_on,,,,,160,0,1,,,,0,,,57,35
5120,note_on,,,,,0,0,1,,,,0,,,55,25
5120,note_on,,,,,0,0,1,,,,0,,,53,32
5120,control_change,,,,,0,0,1,,,,0,64,0,,
5120,control_change,,,,,512,0,1,,,,0,64,0,,
5392,note_off,,,,,0,0,1,,,,0,,,69,0
5392,note_off,,,,,272,0,1,,,,0,,,57,0
5472,note_off,,,,,0,0,1,,,,0,,,55,0
5472,note_off,,,,,80,0,1,,,,0,,,53,0
5632,note_on,,,,,160,0,1,,,,0,,,59,32
5632,note_on,,,,,0,0,1,,,,0,,,71,43
6144,note_on,,,,,0,0,1,,,,0,,,55,21
6144,note_on,,,,,512,0,1,,,,0,,,50,28
6318,note_off,,,,,174,0,1,,,,0,,,50,0
6318,note_off,,,,,0,0,1,,,,0,,,55,0
6416,note_off,,,,,0,0,1,,,,0,,,71,0
