tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,note_on,0,0,1,,,,,,,,,0,,,84,88
0,note_on,0,0,1,,,,,,,,,0,,,88,88
0,note_on,0,0,1,,,,,,,,,0,,,93,88
0,note_on,0,0,4,,,,,,,,,3,,,33,88
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,2,,,57,88
0,note_on,0,0,3,,,,,,,,,2,,,45,88
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,note_on,0,0,2,,,,,,,,,1,,,81,88
0,note_on,0,0,2,,,,,,,,,1,,,76,88
0,note_on,0,0,2,,,,,,,,,1,,,72,88
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,1,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,270270,,,,,,,
240,note_on,0,0,3,,,,,,,,,2,,,45,0
240,note_on,240,0,1,,,,,,,,,0,,,93,0
240,note_on,0,0,1,,,,,,,,,0,,,88,0
240,note_on,0,0,1,,,,,,,,,0,,,84,0
240,note_on,0,0,1,,,,,,,,,0,,,93,88
240,note_on,0,0,1,,,,,,,,,0,,,88,88
240,note_on,240,0,4,,,,,,,,,3,,,33,0
240,note_on,0,0,3,,,,,,,,,2,,,57,88
240,note_on,0,0,3,,,,,,,,,2,,,45,88
240,note_on,0,0,1,,,,,,,,,0,,,84,88
240,note_on,0,0,4,,,,,,,,,3,,,33,88
240,note_on,240,0,3,,,,,,,,,2,,,57,0
240,note_on,0,0,2,,,,,,,,,1,,,81,88
240,note_on,0,0,2,,,,,,,,,1,,,76,88
240,note_on,240,0,2,,,,,,,,,1,,,81,0
240,note_on,0,0,2,,,,,,,,,1,,,72,88
240,note_on,0,0,2,,,,,,,,,1,,,72,0
240,note_on,0,0,2,,,,,,,,,1,,,76,0
480,note_on,240,0,1,,,,,,,,,0,,,93,0
480,note_on,0,0,1,,,,,,,,,0,,,88,0
480,note_on,0,0,1,,,,,,,,,0,,,84,0
480,note_on,0,0,1,,,,,,,,,0,,,84,114
480,note_on,0,0,1,,,,,,,,,0,,,88,114
