tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,0,91,127,,
0,text,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,0,7,100,,
0,control_change,0,0,2,,,,,,,,,0,64,0,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,923077,,,,,,,
0,key_signature,0,1,0,,,,,Ab,,,,,,,,
0,time_signature,0,1,0,9,8,12,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
20,set_tempo,20,1,0,,,,,,819336,,,,,,,
1412,control_change,1412,0,2,,,,,,,,,0,64,0,,
1440,note_on,0,0,1,,,,,,,,,0,,,60,47
1440,control_change,0,0,2,,,,,,,,,0,91,127,,
1440,note_on,0,0,2,,,,,,,,,0,,,51,44
1440,note_on,28,0,2,,,,,,,,,0,,,44,44
1440,note_on,1440,0,1,,,,,,,,,0,,,68,47
1440,control_change,0,0,1,,,,,,,,,0,91,127,,
1440,note_on,0,0,1,,,,,,,,,0,,,72,52
1800,note_on,0,0,2,,,,,,,,,0,,,46,44
1800,note_on,360,0,1,,,,,,,,,0,,,67,47
1800,note_on,0,0,1,,,,,,,,,0,,,61,47
1800,note_on,0,0,1,,,,,,,,,0,,,73,52
1800,note_on,0,0,2,,,,,,,,,0,,,51,44
1800,note_on,360,0,2,,,,,,,,,0,,,51,0
1810,note_on,0,0,1,,,,,,,,,0,,,68,0
1810,note_on,0,0,1,,,,,,,,,0,,,72,0
1810,note_on,10,0,2,,,,,,,,,0,,,44,0
1810,note_on,10,0,1,,,,,,,,,0,,,60,0
1920,note_on,0,0,1,,,,,,,,,0,,,60,47
