tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,set_tempo,0,1,0,,,,,,1000000,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,,
0,time_signature,0,1,0,1,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
240,note_on,240,0,3,,,,,,,,,2,,,57,49
240,note_on,240,0,1,,,,,,,,,0,,,73,62
420,note_on,0,0,1,,,,,,,,,0,,,74,62
420,note_on,180,0,3,,,,,,,,,2,,,57,0
420,note_on,0,0,3,,,,,,,,,2,,,59,49
420,note_on,180,0,1,,,,,,,,,0,,,73,0
480,note_on,0,0,4,,,,,,,,,3,,,45,62
480,note_on,0,0,3,,,,,,,,,2,,,61,49
480,control_change,0,0,3,,,,,,,,,2,64,127,,
480,note_on,60,0,3,,,,,,,,,2,,,59,0
480,time_signature,480,1,0,2,4,24,8,,,,,,,,,
480,note_on,60,0,1,,,,,,,,,0,,,74,0
480,control_change,0,0,1,,,,,,,,,0,64,127,,
480,note_on,0,0,1,,,,,,,,,0,,,76,62
480,note_on,480,0,4,,,,,,,,,3,,,33,62
600,note_on,0,0,3,,,,,,,,,2,,,52,49
600,note_on,120,0,3,,,,,,,,,2,,,61,0
720,note_on,0,0,3,,,,,,,,,2,,,57,49
720,note_on,120,0,3,,,,,,,,,2,,,52,0
720,note_on,240,0,1,,,,,,,,,0,,,76,0
720,note_on,0,0,1,,,,,,,,,0,,,73,62
840,note_on,0,0,3,,,,,,,,,2,,,59,49
840,note_on,120,0,3,,,,,,,,,2,,,57,0
960,note_on,480,0,4,,,,,,,,,3,,,45,0
960,note_on,0,0,4,,,,,,,,,3,,,33,0
960,note_on,120,0,3,,,,,,,,,2,,,59,0
960,note_on,0,0,3,,,,,,,,,2,,,61,49
960,note_on,240,0,1,,,,,,,,,0,,,73,0
960,note_on,0,0,1,,,,,,,,,0,,,69,62
1080,note_on,120,0,3,,,,,,,,,2,,,61,0
1080,note_on,0,0,3,,,,,,,,,2,,,57,49
1200,note_on,240,0,1,,,,,,,,,0,,,69,0
1200,note_on,120,0,3,,,,,,,,,2,,,57,0
1200,note_on,0,0,3,,,,,,,,,2,,,62,49
1200,control_change,0,0,1,,,,,,,,,0,64,0,,
1200,note_on,0,0,1,,,,,,,,,0,,,66,62
1320,note_on,0,0,3,,,,,,,,,2,,,57,49
1320,control_change,0,0,3,,,,,,,,,2,64,0,,
1320,note_on,120,0,3,,,,,,,,,2,,,62,0
1440,control_change,0,0,3,,,,,,,,,2,64,127,,
1440,note_on,0,0,3,,,,,,,,,2,,,61,49
1440,note_on,480,0,4,,,,,,,,,3,,,33,62
1440,note_on,0,0,1,,,,,,,,,0,,,64,62
1440,note_on,120,0,3,,,,,,,,,2,,,57,0
1440,note_on,0,0,4,,,,,,,,,3,,,45,62
1440,note_on,240,0,1,,,,,,,,,0,,,66,0
1560,note_on,0,0,3,,,,,,,,,2,,,57,49
1560,note_on,120,0,3,,,,,,,,,2,,,61,0
1680,note_on,0,0,3,,,,,,,,,2,,,56,49
1680,note_on,120,0,3,,,,,,,,,2,,,57,0
1800,note_on,120,0,3,,,,,,,,,2,,,56,0
1800,note_on,0,0,3,,,,,,,,,2,,,54,49
1920,note_on,120,0,3,,,,,,,,,2,,,54,0
1920,note_on,0,0,3,,,,,,,,,2,,,52,49
1920,note_on,0,0,1,,,,,,,,,0,,,61,62
1920,note_on,0,0,4,,,,,,,,,3,,,33,0
1920,note_on,480,0,4,,,,,,,,,3,,,45,0
1920,note_on,480,0,1,,,,,,,,,0,,,64,0
2040,note_on,0,0,3,,,,,,,,,2,,,57,49
2040,note_on,120,0,3,,,,,,,,,2,,,52,0
2160,note_on,0,0,3,,,,,,,,,2,,,62,75
2160,note_on,120,0,3,,,,,,,,,2,,,57,0
2160,note_on,0,0,1,,,,,,,,,0,,,66,88
2160,control_change,0,0,1,,,,,,,,,0,64,127,,
2160,note_on,240,0,1,,,,,,,,,0,,,61,0
2280,note_on,0,0,3,,,,,,,,,2,,,61,49
2280,control_change,0,0,3,,,,,,,,,2,64,0,,
2280,note_on,120,0,3,,,,,,,,,2,,,62,0
2340,note_on,0,0,1,,,,,,,,,0,,,64,62
2340,note_on,180,0,1,,,,,,,,,0,,,66,0
2400,note_on,480,0,4,,,,,,,,,3,,,40,62
2400,note_on,120,0,3,,,,,,,,,2,,,61,0
2400,note_on,0,0,3,,,,,,,,,2,,,59,49
2400,note_on,60,0,1,,,,,,,,,0,,,64,0
2400,note_on,0,0,1,,,,,,,,,0,,,62,62
2520,note_on,120,0,3,,,,,,,,,2,,,59,0
2520,note_on,0,0,3,,,,,,,,,2,,,52,49
2640,note_on,0,0,3,,,,,,,,,2,,,59,49
2640,note_on,120,0,3,,,,,,,,,2,,,52,0
2760,note_on,0,0,3,,,,,,,,,2,,,57,49
2760,note_on,120,0,3,,,,,,,,,2,,,59,0
2880,note_on,0,0,3,,,,,,,,,2,,,56,49
2880,note_on,120,0,3,,,,,,,,,2,,,57,0
2880,note_on,480,0,1,,,,,,,,,0,,,62,0
