tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,64,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,note_on,0,0,3,,,,,,,,,2,,,46,36
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,90,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,note_on,0,0,1,,,,,,,,,0,,,58,49
0,key_signature,0,1,0,,,,,Eb,,,,,,,,
0,set_tempo,0,1,0,,,,,,416667,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,time_signature,0,1,0,1,4,24,8,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,64,127,,
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,90,,
120,note_on,120,0,1,,,,,,,,,0,,,58,0
120,note_on,120,0,3,,,,,,,,,2,,,46,0
120,set_tempo,0,1,0,,,,,,416667,,,,,,,
120,time_signature,120,1,0,3,4,24,8,,,,,,,,,
120,note_on,0,0,3,,,,,,,,,2,,,43,36
120,note_on,0,0,1,,,,,,,,,0,,,55,49
240,note_on,0,0,3,,,,,,,,,2,,,46,36
240,note_on,0,0,1,,,,,,,,,0,,,58,49
240,note_on,120,0,3,,,,,,,,,2,,,43,0
240,note_on,120,0,1,,,,,,,,,0,,,55,0
360,note_on,120,0,1,,,,,,,,,0,,,58,0
360,note_on,0,0,1,,,,,,,,,0,,,63,49
360,note_on,120,0,3,,,,,,,,,2,,,46,0
360,note_on,0,0,3,,,,,,,,,2,,,51,36
480,note_on,0,0,1,,,,,,,,,0,,,67,49
480,set_tempo,360,1,0,,,,,,416667,,,,,,,
480,note_on,120,0,3,,,,,,,,,2,,,51,0
480,note_on,0,0,3,,,,,,,,,2,,,55,36
480,note_on,120,0,1,,,,,,,,,0,,,63,0
705,note_on,225,0,1,,,,,,,,,0,,,67,49
705,note_on,225,0,3,,,,,,,,,2,,,55,36
720,note_on,0,0,3,,,,,,,,,2,,,55,0
720,control_change,0,0,3,,,,,,,,,2,64,0,,
720,note_on,0,0,3,,,,,,,,,2,,,58,36
720,note_on,0,0,1,,,,,,,,,0,,,67,0
720,note_on,0,0,1,,,,,,,,,0,,,70,49
720,control_change,0,0,1,,,,,,,,,0,64,0,,
720,note_on,15,0,3,,,,,,,,,2,,,55,0
720,note_on,15,0,1,,,,,,,,,0,,,67,0
840,control_change,0,0,1,,,,,,,,,0,64,127,,
840,note_on,0,0,1,,,,,,,,,0,,,70,49
840,note_on,120,0,3,,,,,,,,,2,,,58,0
840,note_on,120,0,1,,,,,,,,,0,,,70,0
840,control_change,0,0,3,,,,,,,,,2,64,127,,
930,note_on,0,0,1,,,,,,,,,0,,,62,49
930,note_on,90,0,1,,,,,,,,,0,,,70,0
960,note_on,0,0,3,,,,,,,,,2,,,53,36
960,note_on,120,0,3,,,,,,,,,2,,,46,36
960,note_on,0,0,1,,,,,,,,,0,,,62,49
960,note_on,30,0,1,,,,,,,,,0,,,62,0
960,note_on,0,0,3,,,,,,,,,2,,,56,36
972,note_on,12,0,3,,,,,,,,,2,,,56,0
972,note_on,12,0,1,,,,,,,,,0,,,62,0
972,note_on,0,0,3,,,,,,,,,2,,,46,0
972,note_on,0,0,3,,,,,,,,,2,,,53,0
1080,note_on,108,0,1,,,,,,,,,0,,,62,49
1080,note_on,0,0,3,,,,,,,,,2,,,56,36
1080,note_on,0,0,3,,,,,,,,,2,,,53,36
1080,note_on,108,0,3,,,,,,,,,2,,,46,36
1092,note_on,0,0,3,,,,,,,,,2,,,46,0
1092,note_on,12,0,3,,,,,,,,,2,,,56,0
1092,note_on,0,0,3,,,,,,,,,2,,,53,0
1092,note_on,12,0,1,,,,,,,,,0,,,62,0
1200,note_on,0,0,3,,,,,,,,,2,,,56,36
1200,note_on,0,0,3,,,,,,,,,2,,,53,36
1200,note_on,0,0,3,,,,,,,,,2,,,46,36
