tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,8,12,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,80,,
0,control_change,,,,,0,0,1,,,0,91,96,,
0,control_change,,,,,0,0,1,,,0,64,95,,
0,note_on,,,,,0,0,1,,,0,,,69,38
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,80,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,note_on,,,,,0,0,2,,,0,,,42,42
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,set_tempo,,,,,0,1,0,1428571,,,,,,
0,marker,,,,,0,1,0,,,,,,,
90,note_off,,,,,90,0,2,,,0,,,42,64
120,note_on,,,,,30,0,2,,,0,,,61,29
140,control_change,,,,,140,0,1,,,0,64,0,,
240,note_off,,,,,120,0,2,,,0,,,61,64
240,note_on,,,,,0,0,2,,,0,,,49,23
330,note_off,,,,,90,0,2,,,0,,,49,64
360,note_on,,,,,30,0,2,,,0,,,41,45
360,note_off,,,,,220,0,1,,,0,,,69,64
360,note_on,,,,,0,0,1,,,0,,,68,38
360,control_change,,,,,0,0,1,,,0,64,95,,
450,note_off,,,,,90,0,2,,,0,,,41,64
480,note_on,,,,,30,0,2,,,0,,,61,32
500,control_change,,,,,140,0,1,,,0,64,0,,
600,note_on,,,,,0,0,2,,,0,,,49,23
600,note_off,,,,,120,0,2,,,0,,,61,64
660,note_off,,,,,160,0,1,,,0,,,68,64
690,note_on,,,,,30,0,1,,,0,,,71,39
690,note_off,,,,,90,0,2,,,0,,,49,64
720,note_off,,,,,30,0,1,,,0,,,71,64
720,note_on,,,,,0,0,1,,,0,,,69,48
720,control_change,,,,,0,0,1,,,0,64,95,,
720,note_on,,,,,30,0,2,,,0,,,42,43
780,note_off,,,,,60,0,1,,,0,,,69,64
780,note_on,,,,,0,0,1,,,0,,,68,33
810,note_off,,,,,90,0,2,,,0,,,42,64
840,note_on,,,,,30,0,2,,,0,,,61,29
840,note_on,,,,,0,0,1,,,0,,,69,35
840,note_off,,,,,60,0,1,,,0,,,68,64
860,control_change,,,,,20,0,1,,,0,64,0,,
930,note_on,,,,,0,0,1,,,0,,,73,36
930,note_off,,,,,70,0,1,,,0,,,69,64
960,note_on,,,,,0,0,2,,,0,,,49,21
960,note_off,,,,,120,0,2,,,0,,,61,64
960,note_off,,,,,30,0,1,,,0,,,73,64
960,note_on,,,,,0,0,1,,,0,,,69,40
1050,note_off,,,,,90,0,2,,,0,,,49,64
1080,note_on,,,,,0,0,1,,,0,,,68,41
1080,note_off,,,,,120,0,1,,,0,,,69,64
1080,note_on,,,,,30,0,2,,,0,,,41,43
1080,control_change,,,,,0,0,1,,,0,64,96,,
1170,note_off,,,,,90,0,2,,,0,,,41,64
1200,note_on,,,,,30,0,2,,,0,,,61,28
1220,control_change,,,,,140,0,1,,,0,64,0,,
1320,note_off,,,,,120,0,2,,,0,,,61,64
1320,note_on,,,,,0,0,2,,,0,,,49,20
1380,note_off,,,,,160,0,1,,,0,,,68,64
1410,note_off,,,,,90,0,2,,,0,,,49,64
1440,note_on,,,,,60,0,1,,,0,,,73,47
1440,control_change,,,,,0,0,1,,,0,64,96,,
1440,note_on,,,,,30,0,2,,,0,,,45,50
1530,note_off,,,,,90,0,2,,,0,,,45,64
1560,note_on,,,,,30,0,2,,,0,,,61,35
1580,control_change,,,,,140,0,1,,,0,64,0,,
1680,note_off,,,,,120,0,2,,,0,,,61,64
1680,note_on,,,,,0,0,2,,,0,,,49,28
