tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,80,,
0,control_change,,,,,0,0,1,,,0,91,96,,
0,note_on,,,,,0,0,1,,,0,,,81,46
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,80,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,0,0,,,,
0,control_change,,,,,0,0,3,,,0,7,80,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,set_tempo,,,,,0,1,0,382166,,,,,,
0,marker,,,,,0,1,0,,,,,,,
20,note_on,,,,,20,0,1,,,0,,,85,51
30,set_tempo,,,,,30,1,0,258621,,,,,,
40,note_on,,,,,20,0,1,,,0,,,88,53
120,note_off,,,,,80,0,1,,,0,,,81,64
140,note_off,,,,,20,0,1,,,0,,,85,64
160,note_off,,,,,20,0,1,,,0,,,88,64
240,note_on,,,,,0,0,1,,,0,,,73,41
240,note_on,,,,,80,0,1,,,0,,,76,41
240,note_on,,,,,0,0,1,,,0,,,69,41
360,note_off,,,,,0,0,1,,,0,,,73,64
360,note_off,,,,,0,0,1,,,0,,,76,64
360,note_off,,,,,120,0,1,,,0,,,69,64
480,note_on,,,,,0,0,2,,,0,,,57,49
480,note_on,,,,,480,0,2,,,0,,,64,49
480,note_on,,,,,0,0,2,,,0,,,61,49
600,note_off,,,,,0,0,2,,,0,,,61,64
600,note_off,,,,,120,0,2,,,0,,,57,64
600,note_off,,,,,0,0,2,,,0,,,64,64
720,note_on,,,,,120,0,2,,,0,,,64,67
720,note_on,,,,,0,0,2,,,0,,,59,67
720,note_on,,,,,0,0,2,,,0,,,56,67
900,note_off,,,,,0,0,2,,,0,,,64,64
900,note_off,,,,,0,0,2,,,0,,,59,64
900,note_off,,,,,180,0,2,,,0,,,56,64
960,note_on,,,,,0,0,1,,,0,,,68,38
960,note_on,,,,,600,0,1,,,0,,,71,38
1080,note_on,,,,,0,0,1,,,0,,,76,31
1080,note_off,,,,,0,0,1,,,0,,,71,64
1080,note_off,,,,,120,0,1,,,0,,,68,64
1170,note_off,,,,,90,0,1,,,0,,,76,64
1200,note_on,,,,,0,0,1,,,0,,,69,41
1200,note_on,,,,,0,0,2,,,0,,,57,46
1200,note_on,,,,,0,0,2,,,0,,,61,46
1200,note_on,,,,,300,0,2,,,0,,,64,46
1200,note_on,,,,,30,0,1,,,0,,,73,41
1320,note_on,,,,,0,0,1,,,0,,,76,35
1320,note_off,,,,,120,0,1,,,0,,,69,64
1320,note_off,,,,,0,0,1,,,0,,,73,64
1320,note_off,,,,,0,0,2,,,0,,,64,64
1320,note_off,,,,,120,0,2,,,0,,,57,64
1320,note_off,,,,,0,0,2,,,0,,,61,64
1380,set_tempo,,,,,1350,1,0,310881,,,,,,
1410,note_off,,,,,90,0,1,,,0,,,76,64
1440,note_on,,,,,30,0,1,,,0,,,83,46
1460,note_on,,,,,20,0,1,,,0,,,86,51
1470,set_tempo,,,,,90,1,0,256410,,,,,,
1480,note_on,,,,,20,0,1,,,0,,,88,53
1560,note_off,,,,,80,0,1,,,0,,,83,64
1580,note_off,,,,,20,0,1,,,0,,,86,64
1600,note_off,,,,,20,0,1,,,0,,,88,64
1680,note_on,,,,,0,0,1,,,0,,,71,41
1680,note_on,,,,,0,0,1,,,0,,,74,41
1680,note_on,,,,,80,0,1,,,0,,,76,41
1800,note_off,,,,,0,0,1,,,0,,,76,64
1800,note_off,,,,,0,0,1,,,0,,,74,64
1800,note_off,,,,,120,0,1,,,0,,,71,64
1920,note_on,,,,,0,0,2,,,0,,,59,49
1920,note_on,,,,,0,0,2,,,0,,,62,49
1920,note_on,,,,,600,0,2,,,0,,,64,49
2040,note_off,,,,,0,0,2,,,0,,,64,64
2040,note_off,,,,,0,0,2,,,0,,,62,64
2040,note_off,,,,,120,0,2,,,0,,,59,64
2160,note_on,,,,,0,0,2,,,0,,,61,67
2160,note_on,,,,,120,0,2,,,0,,,64,67
2160,note_on,,,,,0,0,2,,,0,,,57,67
2340,note_off,,,,,180,0,2,,,0,,,57,64
2340,note_off,,,,,0,0,2,,,0,,,61,64
2340,note_off,,,,,0,0,2,,,0,,,64,64
2400,note_on,,,,,600,0,1,,,0,,,73,37
2400,note_on,,,,,0,0,1,,,0,,,69,37
2520,note_off,,,,,120,0,1,,,0,,,69,64
2520,note_off,,,,,0,0,1,,,0,,,73,64
2520,note_on,,,,,0,0,1,,,0,,,76,31
2610,note_off,,,,,90,0,1,,,0,,,76,64
2640,note_on,,,,,0,0,1,,,0,,,71,43
2640,note_on,,,,,300,0,2,,,0,,,64,46
2640,note_on,,,,,0,0,2,,,0,,,59,46
2640,note_on,,,,,0,0,2,,,0,,,62,46
2640,note_on,,,,,30,0,1,,,0,,,74,43
2760,note_off,,,,,120,0,1,,,0,,,71,64
2760,note_on,,,,,0,0,1,,,0,,,76,36
2760,note_off,,,,,0,0,2,,,0,,,64,64
2760,note_off,,,,,0,0,2,,,0,,,62,64
2760,note_off,,,,,120,0,2,,,0,,,59,64
2760,note_off,,,,,0,0,1,,,0,,,74,64
2810,set_tempo,,,,,1340,1,0,326087,,,,,,
2850,note_off,,,,,90,0,1,,,0,,,76,64
2880,note_on,,,,,30,0,1,,,0,,,85,60
2900,note_on,,,,,20,0,1,,,0,,,88,61
2920,set_tempo,,,,,110,1,0,258621,,,,,,
2920,note_on,,,,,20,0,1,,,0,,,93,62
3000,note_off,,,,,80,0,1,,,0,,,85,64
3020,note_off,,,,,20,0,1,,,0,,,88,64
3040,note_off,,,,,20,0,1,,,0,,,93,64
3120,note_on,,,,,0,0,1,,,0,,,73,48
3120,note_on,,,,,0,0,1,,,0,,,76,48
3120,note_on,,,,,80,0,1,,,0,,,81,48
3240,note_off,,,,,120,0,1,,,0,,,73,64
3240,note_off,,,,,0,0,1,,,0,,,81,64
3240,note_off,,,,,0,0,1,,,0,,,76,64
3360,note_on,,,,,600,0,2,,,0,,,64,67
3360,note_on,,,,,0,0,2,,,0,,,61,67
3480,note_off,,,,,120,0,2,,,0,,,61,64
3480,note_off,,,,,0,0,2,,,0,,,64,64
3600,note_on,,,,,120,0,2,,,0,,,67,86
3600,note_on,,,,,0,0,2,,,0,,,62,86
3600,note_on,,,,,0,0,2,,,0,,,59,86
3840,note_on,,,,,0,0,1,,,0,,,71,38
3840,note_on,,,,,0,0,1,,,0,,,74,38
3840,note_on,,,,,600,0,1,,,0,,,79,38
3960,note_off,,,,,0,0,1,,,0,,,79,64
3960,note_off,,,,,120,0,1,,,0,,,71,64
3960,note_off,,,,,0,0,1,,,0,,,74,64
4080,note_on,,,,,120,0,1,,,0,,,83,46
4100,note_on,,,,,20,0,1,,,0,,,86,48
4120,note_on,,,,,20,0,1,,,0,,,91,50
4200,note_off,,,,,80,0,1,,,0,,,83,64
4220,note_off,,,,,20,0,1,,,0,,,86,64
4240,note_off,,,,,20,0,1,,,0,,,91,64
4290,note_on,,,,,50,0,1,,,0,,,91,47
4320,note_on,,,,,0,0,2,,,0,,,62,67
4320,note_off,,,,,0,0,2,,,0,,,67,64
4320,note_on,,,,,0,0,1,,,0,,,90,52
4320,note_off,,,,,30,0,1,,,0,,,91,64
4320,note_on,,,,,0,0,2,,,0,,,59,67
4320,note_off,,,,,0,0,2,,,0,,,62,64
4320,note_on,,,,,0,0,2,,,0,,,54,67
4320,note_off,,,,,720,0,2,,,0,,,59,64
4440,note_on,,,,,0,0,1,,,0,,,89,31
4440,note_off,,,,,120,0,1,,,0,,,90,64
4560,note_on,,,,,0,0,1,,,0,,,90,42
4560,note_off,,,,,120,0,1,,,0,,,89,64
4680,note_on,,,,,0,0,1,,,0,,,93,50
4680,note_off,,,,,120,0,1,,,0,,,90,64
4800,note_on,,,,,0,0,1,,,0,,,88,57
4800,note_off,,,,,120,0,1,,,0,,,93,64
4800,note_off,,,,,480,0,2,,,0,,,54,64
4800,note_off,,,,,0,0,2,,,0,,,59,64
4800,note_on,,,,,0,0,2,,,0,,,54,49
4800,note_on,,,,,0,0,2,,,0,,,61,49
4800,note_on,,,,,0,0,2,,,0,,,64,49
4800,note_off,,,,,0,0,2,,,0,,,62,64
4920,note_on,,,,,0,0,1,,,0,,,94,63
4920,note_off,,,,,120,0,1,,,0,,,88,64
4980,note_off,,,,,0,0,2,,,0,,,64,64
4980,note_off,,,,,0,0,2,,,0,,,61,64
4980,note_off,,,,,180,0,2,,,0,,,54,64
5040,note_on,,,,,0,0,1,,,0,,,95,70
5040,note_off,,,,,120,0,1,,,0,,,94,64
5040,note_on,,,,,60,0,2,,,0,,,62,62
5040,note_on,,,,,0,0,2,,,0,,,59,62
5160,note_off,,,,,120,0,1,,,0,,,95,64
5160,note_on,,,,,0,0,1,,,0,,,90,62
5264,note_off,,,,,104,0,1,,,0,,,90,64
5280,note_on,,,,,16,0,1,,,0,,,86,50
5370,note_off,,,,,90,0,1,,,0,,,86,64
5400,note_on,,,,,30,0,1,,,0,,,83,41
5490,note_off,,,,,90,0,1,,,0,,,83,64
5520,note_off,,,,,0,0,2,,,0,,,62,64
5520,note_off,,,,,480,0,2,,,0,,,59,64
5520,note_on,,,,,30,0,1,,,0,,,74,25
5610,note_off,,,,,90,0,1,,,0,,,74,64
5720,set_tempo,,,,,2800,1,0,326087,,,,,,
5760,note_on,,,,,150,0,1,,,0,,,83,60
5780,note_on,,,,,20,0,1,,,0,,,86,61
5800,set_tempo,,,,,80,1,0,258621,,,,,,
5800,note_on,,,,,20,0,1,,,0,,,91,62
5880,note_off,,,,,80,0,1,,,0,,,83,64
5900,note_off,,,,,20,0,1,,,0,,,86,64
5920,note_off,,,,,20,0,1,,,0,,,91,64
6000,note_on,,,,,80,0,1,,,0,,,79,48
6000,note_on,,,,,0,0,1,,,0,,,74,48
6000,note_on,,,,,0,0,1,,,0,,,71,48
6120,note_off,,,,,120,0,1,,,0,,,71,64
6120,note_off,,,,,0,0,1,,,0,,,74,64
6120,note_off,,,,,0,0,1,,,0,,,79,64
6240,note_on,,,,,720,0,2,,,0,,,62,67
6240,note_on,,,,,0,0,2,,,0,,,59,67
