tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,80,,
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,80,,
0,control_change,,,,,0,0,2,,,0,91,127,,
0,track_name,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,550459,,,,,,
720,note_on,,,,,0,0,1,,,0,,,58,48
720,note_on,,,,,720,0,1,,,0,,,70,48
720,control_change,,,,,720,0,2,,,0,64,127,,
720,note_on,,,,,0,0,2,,,0,,,50,37
720,note_on,,,,,0,0,1,,,0,,,65,48
720,note_on,,,,,0,0,1,,,0,,,46,48
840,note_on,,,,,0,0,2,,,0,,,53,34
840,note_off,,,,,120,0,2,,,0,,,50,64
840,set_tempo,,,,,840,1,0,631579,,,,,,
900,control_change,,,,,60,0,2,,,0,64,0,,
936,note_off,,,,,36,0,2,,,0,,,53,64
940,set_tempo,,,,,100,1,0,625000,,,,,,
960,note_off,,,,,240,0,1,,,0,,,46,64
960,control_change,,,,,24,0,2,,,0,64,127,,
960,note_off,,,,,0,0,1,,,0,,,58,64
960,note_off,,,,,0,0,1,,,0,,,65,64
960,note_on,,,,,0,0,2,,,0,,,50,42
960,note_on,,,,,0,0,1,,,0,,,46,48
960,note_on,,,,,0,0,1,,,0,,,58,48
960,note_on,,,,,0,0,1,,,0,,,65,48
960,note_on,,,,,0,0,1,,,0,,,70,48
960,note_off,,,,,0,0,1,,,0,,,70,64
1080,note_off,,,,,120,0,2,,,0,,,50,64
1080,note_on,,,,,0,0,2,,,0,,,53,34
1140,control_change,,,,,60,0,2,,,0,64,0,,
1176,note_off,,,,,36,0,2,,,0,,,53,64
1180,set_tempo,,,,,240,1,0,550459,,,,,,
1200,note_on,,,,,0,0,2,,,0,,,48,44
1200,note_on,,,,,0,0,1,,,0,,,46,42
1200,note_off,,,,,0,0,1,,,0,,,58,64
1200,note_off,,,,,240,0,1,,,0,,,46,64
1200,note_on,,,,,0,0,1,,,0,,,57,42
1200,note_on,,,,,0,0,1,,,0,,,65,42
1200,control_change,,,,,24,0,2,,,0,64,127,,
1200,note_off,,,,,0,0,1,,,0,,,70,64
1200,note_on,,,,,0,0,1,,,0,,,69,42
1200,note_off,,,,,0,0,1,,,0,,,65,64
1320,note_on,,,,,0,0,2,,,0,,,53,36
1320,note_off,,,,,120,0,2,,,0,,,48,64
1380,control_change,,,,,60,0,2,,,0,64,0,,
1416,note_off,,,,,36,0,2,,,0,,,53,64
1440,control_change,,,,,24,0,2,,,0,64,127,,
1440,note_off,,,,,0,0,1,,,0,,,57,64
1440,note_off,,,,,240,0,1,,,0,,,46,64
1440,note_off,,,,,0,0,1,,,0,,,65,64
1440,note_on,,,,,0,0,1,,,0,,,46,49
1440,note_on,,,,,0,0,1,,,0,,,58,49
1440,note_on,,,,,0,0,1,,,0,,,65,49
1440,note_on,,,,,0,0,1,,,0,,,70,49
1440,note_off,,,,,0,0,1,,,0,,,69,64
1440,note_on,,,,,0,0,2,,,0,,,50,45
1560,note_on,,,,,0,0,2,,,0,,,53,37
1560,note_off,,,,,120,0,2,,,0,,,50,64
1620,control_change,,,,,60,0,2,,,0,64,0,,
1656,note_off,,,,,36,0,2,,,0,,,53,64
1680,note_on,,,,,0,0,1,,,0,,,60,54
1680,note_on,,,,,0,0,1,,,0,,,65,54
