tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,80,,
0,note_on,,,,,0,0,1,,,0,,,82,49
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,80,,
0,note_on,,,,,0,0,2,,,0,,,62,49
0,note_on,,,,,0,0,2,,,0,,,58,49
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,program_change,,,,,0,0,3,,0,0,,,,
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,control_change,,,,,0,0,3,,,0,7,80,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,set_tempo,,,,,0,1,0,247934,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,marker,,,,,0,1,0,,,,,,,
120,note_on,,,,,0,0,2,,,0,,,65,26
120,note_off,,,,,0,0,2,,,0,,,62,64
120,note_off,,,,,120,0,2,,,0,,,58,64
240,note_off,,,,,240,0,1,,,0,,,82,64
240,note_on,,,,,0,0,2,,,0,,,62,29
240,note_off,,,,,120,0,2,,,0,,,65,64
240,note_on,,,,,0,0,2,,,0,,,58,29
240,note_on,,,,,0,0,1,,,0,,,81,40
360,note_off,,,,,120,0,2,,,0,,,58,64
360,note_off,,,,,120,0,1,,,0,,,81,64
360,note_on,,,,,0,0,2,,,0,,,65,23
360,note_off,,,,,0,0,2,,,0,,,62,64
480,note_on,,,,,0,0,2,,,0,,,58,35
480,note_off,,,,,120,0,2,,,0,,,65,64
480,note_on,,,,,0,0,2,,,0,,,62,35
480,note_on,,,,,120,0,1,,,0,,,82,46
600,note_off,,,,,120,0,1,,,0,,,82,64
600,note_off,,,,,120,0,2,,,0,,,58,64
600,note_off,,,,,0,0,2,,,0,,,62,64
600,note_on,,,,,0,0,2,,,0,,,65,32
720,note_on,,,,,0,0,1,,,0,,,79,51
720,note_off,,,,,120,0,2,,,0,,,65,64
720,note_on,,,,,0,0,2,,,0,,,63,44
720,note_on,,,,,0,0,2,,,0,,,58,44
720,control_change,,,,,120,0,1,,,0,91,100,,
840,note_off,,,,,120,0,2,,,0,,,58,64
840,note_off,,,,,0,0,2,,,0,,,63,64
840,note_on,,,,,0,0,2,,,0,,,67,25
960,note_off,,,,,120,0,2,,,0,,,67,64
960,note_on,,,,,0,0,1,,,0,,,81,43
960,note_on,,,,,0,0,2,,,0,,,63,29
960,note_off,,,,,240,0,1,,,0,,,79,64
960,note_on,,,,,0,0,2,,,0,,,58,29
1068,note_off,,,,,108,0,1,,,0,,,81,64
1080,note_on,,,,,0,0,2,,,0,,,67,26
1080,note_off,,,,,120,0,2,,,0,,,58,64
1080,note_on,,,,,12,0,1,,,0,,,82,38
1080,note_off,,,,,0,0,2,,,0,,,63,64
1188,note_off,,,,,108,0,1,,,0,,,82,64
1200,note_off,,,,,120,0,2,,,0,,,67,64
1200,note_on,,,,,0,0,2,,,0,,,63,38
1200,note_on,,,,,0,0,2,,,0,,,58,38
1200,note_on,,,,,12,0,1,,,0,,,84,41
1308,note_off,,,,,108,0,1,,,0,,,84,64
1320,note_on,,,,,12,0,1,,,0,,,86,48
1320,note_off,,,,,0,0,2,,,0,,,63,64
1320,note_off,,,,,120,0,2,,,0,,,58,64
1320,note_on,,,,,0,0,2,,,0,,,67,36
1428,note_off,,,,,108,0,1,,,0,,,86,64
1440,note_on,,,,,12,0,1,,,0,,,82,54
1440,note_on,,,,,0,0,2,,,0,,,58,53
1440,note_on,,,,,0,0,2,,,0,,,62,53
1440,note_off,,,,,120,0,2,,,0,,,67,64
1560,note_on,,,,,0,0,2,,,0,,,65,29
1560,note_off,,,,,120,0,2,,,0,,,58,64
1560,note_off,,,,,0,0,2,,,0,,,62,64
1680,note_on,,,,,0,0,1,,,0,,,84,45
1680,note_on,,,,,0,0,2,,,0,,,58,36
1680,note_off,,,,,120,0,2,,,0,,,65,64
1680,note_off,,,,,240,0,1,,,0,,,82,64
1680,note_on,,,,,0,0,2,,,0,,,62,36
1788,note_off,,,,,108,0,1,,,0,,,84,64
1800,note_off,,,,,0,0,2,,,0,,,62,64
1800,note_on,,,,,12,0,1,,,0,,,82,38
1800,note_off,,,,,120,0,2,,,0,,,58,64
1800,note_on,,,,,0,0,2,,,0,,,65,34
1908,note_off,,,,,108,0,1,,,0,,,82,64
1920,note_off,,,,,120,0,2,,,0,,,65,64
1920,note_on,,,,,0,0,2,,,0,,,62,47
1920,note_on,,,,,0,0,2,,,0,,,58,47
1920,note_on,,,,,12,0,1,,,0,,,81,44
2028,note_off,,,,,108,0,1,,,0,,,81,64
2040,note_off,,,,,0,0,2,,,0,,,62,64
2040,note_off,,,,,120,0,2,,,0,,,58,64
2040,note_on,,,,,12,0,1,,,0,,,79,50
2040,note_on,,,,,0,0,2,,,0,,,65,43
2148,note_off,,,,,108,0,1,,,0,,,79,64
2160,note_off,,,,,120,0,2,,,0,,,65,64
2160,note_on,,,,,12,0,1,,,0,,,77,57
2160,note_on,,,,,0,0,2,,,0,,,63,55
2160,note_on,,,,,0,0,2,,,0,,,57,55
2280,note_off,,,,,120,0,1,,,0,,,77,64
2280,note_off,,,,,0,0,2,,,0,,,63,64
2280,note_off,,,,,120,0,2,,,0,,,57,64
2280,note_on,,,,,0,0,2,,,0,,,65,29
2400,note_on,,,,,120,0,1,,,0,,,77,52
2400,note_off,,,,,120,0,2,,,0,,,65,64
2400,note_on,,,,,0,0,2,,,0,,,63,33
2400,note_on,,,,,0,0,2,,,0,,,57,33
2520,note_off,,,,,120,0,1,,,0,,,77,64
2520,note_off,,,,,120,0,2,,,0,,,57,64
2520,note_off,,,,,0,0,2,,,0,,,63,64
2520,note_on,,,,,0,0,2,,,0,,,65,29
2640,note_on,,,,,0,0,2,,,0,,,57,42
2640,note_on,,,,,120,0,1,,,0,,,77,38
2640,note_on,,,,,0,0,2,,,0,,,63,42
2640,note_off,,,,,120,0,2,,,0,,,65,64
2760,note_off,,,,,120,0,1,,,0,,,77,64
2760,note_off,,,,,120,0,2,,,0,,,57,64
2760,note_off,,,,,0,0,2,,,0,,,63,64
2760,note_on,,,,,0,0,2,,,0,,,65,39
2880,note_off,,,,,120,0,2,,,0,,,65,64
2880,note_on,,,,,0,0,2,,,0,,,57,55
2880,note_on,,,,,0,0,2,,,0,,,63,55
2880,note_on,,,,,120,0,1,,,0,,,78,59
3000,note_off,,,,,120,0,2,,,0,,,57,64
3000,note_off,,,,,0,0,2,,,0,,,63,64
3000,note_on,,,,,0,0,2,,,0,,,66,43
3040,control_change,,,,,40,0,2,,,0,91,96,,
3120,note_on,,,,,0,0,1,,,0,,,90,41
3120,note_off,,,,,80,0,2,,,0,,,66,64
3120,note_on,,,,,0,0,2,,,0,,,63,46
3120,note_off,,,,,240,0,1,,,0,,,78,64
3120,note_on,,,,,0,0,2,,,0,,,57,46
3240,note_off,,,,,120,0,2,,,0,,,57,64
3240,note_off,,,,,120,0,1,,,0,,,90,64
3240,note_off,,,,,0,0,2,,,0,,,63,64
3240,note_on,,,,,0,0,2,,,0,,,66,32
3360,note_on,,,,,120,0,1,,,0,,,90,55
3360,note_off,,,,,120,0,2,,,0,,,66,64
3360,note_on,,,,,0,0,2,,,0,,,63,35
3360,note_on,,,,,0,0,2,,,0,,,57,35
3480,note_off,,,,,120,0,2,,,0,,,57,64
3480,note_on,,,,,0,0,2,,,0,,,66,25
3480,note_off,,,,,0,0,2,,,0,,,63,64
3480,note_off,,,,,120,0,1,,,0,,,90,64
3600,note_on,,,,,120,0,1,,,0,,,91,68
3600,note_on,,,,,0,0,2,,,0,,,58,63
3600,note_on,,,,,0,0,2,,,0,,,63,63
3600,note_off,,,,,120,0,2,,,0,,,66,64
3720,note_on,,,,,0,0,2,,,0,,,67,51
3720,note_off,,,,,0,0,2,,,0,,,63,64
3720,note_off,,,,,120,0,2,,,0,,,58,64
3840,note_off,,,,,240,0,1,,,0,,,91,64
3840,note_on,,,,,0,0,2,,,0,,,63,52
3840,note_on,,,,,0,0,1,,,0,,,79,58
3840,note_off,,,,,120,0,2,,,0,,,67,64
3840,note_on,,,,,0,0,2,,,0,,,58,52
3960,note_off,,,,,0,0,2,,,0,,,58,64
3960,note_on,,,,,0,0,2,,,0,,,67,40
3960,note_off,,,,,120,0,2,,,0,,,63,64
3960,note_off,,,,,120,0,1,,,0,,,79,64
4080,note_off,,,,,120,0,2,,,0,,,67,64
4080,note_on,,,,,0,0,2,,,0,,,58,42
4080,note_on,,,,,0,0,2,,,0,,,63,42
4080,note_on,,,,,120,0,1,,,0,,,79,51
4200,note_off,,,,,120,0,2,,,0,,,63,64
4200,note_off,,,,,120,0,1,,,0,,,79,64
4200,note_off,,,,,0,0,2,,,0,,,58,64
4200,note_on,,,,,0,0,2,,,0,,,67,28
4320,note_off,,,,,120,0,2,,,0,,,67,64
4320,note_on,,,,,120,0,1,,,0,,,81,58
4320,note_on,,,,,0,0,2,,,0,,,63,53
4320,note_on,,,,,0,0,2,,,0,,,60,53
4440,note_off,,,,,0,0,2,,,0,,,63,64
4440,note_off,,,,,120,0,2,,,0,,,60,64
4440,note_off,,,,,120,0,1,,,0,,,81,64
4440,note_on,,,,,0,0,2,,,0,,,65,22
4530,note_on,,,,,90,0,1,,,0,,,94,57
4560,note_on,,,,,0,0,2,,,0,,,60,34
4560,note_on,,,,,0,0,1,,,0,,,93,58
4560,note_off,,,,,120,0,2,,,0,,,65,64
4560,note_on,,,,,0,0,2,,,0,,,63,34
4560,note_off,,,,,30,0,1,,,0,,,94,64
4680,note_on,,,,,0,0,2,,,0,,,65,33
4680,note_off,,,,,0,0,2,,,0,,,63,64
4680,note_off,,,,,120,0,2,,,0,,,60,64
4680,note_on,,,,,0,0,1,,,0,,,91,60
4680,note_off,,,,,120,0,1,,,0,,,93,64
4800,note_on,,,,,0,0,1,,,0,,,93,62
4800,note_off,,,,,120,0,2,,,0,,,65,64
4800,note_on,,,,,0,0,2,,,0,,,63,45
4800,note_on,,,,,0,0,2,,,0,,,60,45
4800,note_off,,,,,120,0,1,,,0,,,91,64
4920,note_off,,,,,0,0,2,,,0,,,63,64
4920,note_on,,,,,0,0,2,,,0,,,65,43
4920,note_off,,,,,120,0,2,,,0,,,60,64
