tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,80,,
0,note_on,,,,,0,0,1,,,0,,,68,43
0,note_on,,,,,0,0,1,,,0,,,64,43
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,80,,
0,control_change,,,,,0,0,2,,,0,64,127,,
0,note_on,,,,,0,0,2,,,0,,,37,47
0,program_change,,,,,0,0,1,,0,0,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,1250000,,,,,,
40,set_tempo,,,,,40,1,0,1176471,,,,,,
120,note_off,,,,,120,0,2,,,0,,,37,64
170,control_change,,,,,50,0,2,,,0,64,0,,
210,note_on,,,,,40,0,2,,,0,,,49,36
240,control_change,,,,,0,0,2,,,0,64,127,,
240,note_on,,,,,0,0,2,,,0,,,61,36
240,note_off,,,,,30,0,2,,,0,,,49,64
350,control_change,,,,,110,0,2,,,0,64,0,,
360,control_change,,,,,0,0,2,,,0,64,127,,
360,note_off,,,,,10,0,2,,,0,,,61,64
360,note_on,,,,,0,0,2,,,0,,,73,30
450,note_off,,,,,450,0,1,,,0,,,64,64
450,note_off,,,,,0,0,1,,,0,,,68,64
470,control_change,,,,,110,0,2,,,0,64,0,,
480,note_on,,,,,0,0,1,,,0,,,64,38
480,note_off,,,,,10,0,2,,,0,,,73,64
480,note_on,,,,,30,0,1,,,0,,,68,38
660,note_on,,,,,0,0,1,,,0,,,63,35
660,note_on,,,,,0,0,1,,,0,,,66,35
660,note_off,,,,,180,0,1,,,0,,,64,64
660,note_off,,,,,0,0,1,,,0,,,68,64
700,set_tempo,,,,,660,1,0,1250000,,,,,,
720,note_off,,,,,60,0,1,,,0,,,63,64
720,note_off,,,,,0,0,1,,,0,,,66,64
720,note_on,,,,,0,0,2,,,0,,,37,47
720,control_change,,,,,240,0,2,,,0,64,127,,
720,note_on,,,,,0,0,1,,,0,,,66,30
720,note_on,,,,,0,0,1,,,0,,,63,30
760,set_tempo,,,,,60,1,0,1176471,,,,,,
840,note_off,,,,,120,0,2,,,0,,,37,64
890,control_change,,,,,50,0,2,,,0,64,0,,
930,note_on,,,,,40,0,2,,,0,,,49,36
960,control_change,,,,,0,0,2,,,0,64,127,,
960,note_off,,,,,30,0,2,,,0,,,49,64
960,note_on,,,,,0,0,2,,,0,,,61,34
1070,control_change,,,,,110,0,2,,,0,64,0,,
1080,note_off,,,,,10,0,2,,,0,,,61,64
1080,control_change,,,,,0,0,2,,,0,64,127,,
1080,note_on,,,,,0,0,2,,,0,,,73,29
1140,note_off,,,,,420,0,1,,,0,,,63,64
1140,note_off,,,,,0,0,1,,,0,,,66,64
1190,control_change,,,,,110,0,2,,,0,64,0,,
1200,note_off,,,,,10,0,2,,,0,,,73,64
1200,note_on,,,,,60,0,1,,,0,,,66,35
1200,note_on,,,,,0,0,1,,,0,,,63,35
1420,set_tempo,,,,,660,1,0,1224490,,,,,,
1440,note_on,,,,,240,0,2,,,0,,,37,47
1440,note_off,,,,,240,0,1,,,0,,,63,64
1440,note_off,,,,,0,0,1,,,0,,,66,64
1440,control_change,,,,,0,0,2,,,0,64,127,,
1440,note_on,,,,,0,0,1,,,0,,,69,42
1440,note_on,,,,,0,0,1,,,0,,,66,42
1466,set_tempo,,,,,46,1,0,1176471,,,,,,
1560,note_off,,,,,120,0,2,,,0,,,37,64
1610,control_change,,,,,50,0,2,,,0,64,0,,
1650,note_on,,,,,40,0,2,,,0,,,49,35
1680,note_off,,,,,30,0,2,,,0,,,49,64
1680,control_change,,,,,0,0,2,,,0,64,127,,
1680,note_on,,,,,0,0,2,,,0,,,61,35
1790,control_change,,,,,110,0,2,,,0,64,0,,
1800,note_off,,,,,10,0,2,,,0,,,61,64
1800,note_on,,,,,0,0,2,,,0,,,73,31
1800,control_change,,,,,0,0,2,,,0,64,127,,
1890,note_off,,,,,0,0,1,,,0,,,69,64
1890,note_off,,,,,450,0,1,,,0,,,66,64
1910,control_change,,,,,110,0,2,,,0,64,0,,
1920,note_on,,,,,0,0,1,,,0,,,66,39
1920,note_off,,,,,10,0,2,,,0,,,73,64
1920,note_on,,,,,30,0,1,,,0,,,69,39
2040,note_off,,,,,0,0,1,,,0,,,69,64
2040,note_on,,,,,0,0,1,,,0,,,68,33
2040,note_on,,,,,0,0,1,,,0,,,64,33
2040,note_off,,,,,120,0,1,,,0,,,66,64
2100,note_on,,,,,0,0,1,,,0,,,63,39
2100,note_off,,,,,60,0,1,,,0,,,64,64
2100,note_off,,,,,0,0,1,,,0,,,68,64
2100,note_on,,,,,0,0,1,,,0,,,66,39
2132,set_tempo,,,,,666,1,0,1224490,,,,,,
2160,note_off,,,,,60,0,1,,,0,,,63,64
2160,note_on,,,,,0,0,2,,,0,,,37,47
2160,note_off,,,,,0,0,1,,,0,,,66,64
2160,control_change,,,,,240,0,2,,,0,64,127,,
2160,note_on,,,,,0,0,1,,,0,,,68,36
2160,note_on,,,,,0,0,1,,,0,,,64,36
2200,set_tempo,,,,,68,1,0,1176471,,,,,,
2280,note_off,,,,,120,0,2,,,0,,,37,64
2330,control_change,,,,,50,0,2,,,0,64,0,,
2370,note_on,,,,,40,0,2,,,0,,,49,30
2400,note_off,,,,,30,0,2,,,0,,,49,64
2400,note_on,,,,,0,0,2,,,0,,,61,30
2400,control_change,,,,,0,0,2,,,0,64,127,,
2510,control_change,,,,,110,0,2,,,0,64,0,,
2520,control_change,,,,,0,0,2,,,0,64,127,,
2520,note_on,,,,,0,0,2,,,0,,,73,27
2520,note_off,,,,,10,0,2,,,0,,,61,64
2580,note_off,,,,,420,0,1,,,0,,,64,64
2580,note_off,,,,,0,0,1,,,0,,,68,64
2630,control_change,,,,,110,0,2,,,0,64,0,,
2640,note_on,,,,,60,0,1,,,0,,,68,39
2640,note_off,,,,,10,0,2,,,0,,,73,64
2640,note_on,,,,,0,0,1,,,0,,,64,39
2860,set_tempo,,,,,660,1,0,1224490,,,,,,
2880,note_on,,,,,0,0,1,,,0,,,71,51
2880,note_off,,,,,240,0,1,,,0,,,64,64
2880,note_on,,,,,240,0,2,,,0,,,37,47
2880,control_change,,,,,0,0,2,,,0,64,127,,
2880,note_on,,,,,0,0,1,,,0,,,65,51
2880,note_off,,,,,0,0,1,,,0,,,68,64
2920,set_tempo,,,,,60,1,0,1176471,,,,,,
3000,note_off,,,,,120,0,2,,,0,,,37,64
3040,control_change,,,,,40,0,2,,,0,91,96,,
3050,control_change,,,,,10,0,2,,,0,64,0,,
3090,note_on,,,,,40,0,2,,,0,,,49,41
3120,control_change,,,,,0,0,2,,,0,64,127,,
3120,note_on,,,,,0,0,2,,,0,,,61,51
3120,note_off,,,,,30,0,2,,,0,,,49,64
3230,control_change,,,,,110,0,2,,,0,64,0,,
3240,note_on,,,,,0,0,2,,,0,,,73,38
3240,control_change,,,,,0,0,2,,,0,64,127,,
3240,note_off,,,,,10,0,2,,,0,,,61,64
3330,note_off,,,,,450,0,1,,,0,,,65,64
3330,note_off,,,,,0,0,1,,,0,,,71,64
3350,control_change,,,,,110,0,2,,,0,64,0,,
3360,note_on,,,,,0,0,1,,,0,,,65,39
3360,note_off,,,,,10,0,2,,,0,,,73,64
3360,note_on,,,,,30,0,1,,,0,,,71,39
3420,note_on,,,,,0,0,1,,,0,,,68,33
3420,note_off,,,,,60,0,1,,,0,,,65,64
3480,note_off,,,,,0,0,1,,,0,,,71,64
3480,note_on,,,,,0,0,1,,,0,,,66,38
3480,note_on,,,,,0,0,1,,,0,,,69,38
3480,note_off,,,,,60,0,1,,,0,,,68,64
3540,note_off,,,,,0,0,1,,,0,,,69,64
3540,note_off,,,,,60,0,1,,,0,,,66,64
3540,note_on,,,,,0,0,1,,,0,,,68,45
3540,note_on,,,,,0,0,1,,,0,,,65,45
3580,set_tempo,,,,,660,1,0,1224490,,,,,,
3600,note_off,,,,,60,0,1,,,0,,,65,64
3600,note_on,,,,,0,0,2,,,0,,,37,50
3600,control_change,,,,,240,0,2,,,0,64,127,,
3600,note_off,,,,,0,0,1,,,0,,,68,64
3600,note_on,,,,,0,0,1,,,0,,,69,52
3600,note_on,,,,,0,0,1,,,0,,,66,52
3640,set_tempo,,,,,60,1,0,1176471,,,,,,
3720,note_off,,,,,120,0,2,,,0,,,37,64
3770,control_change,,,,,50,0,2,,,0,64,0,,
3810,note_on,,,,,40,0,2,,,0,,,49,41
3840,note_on,,,,,0,0,2,,,0,,,61,43
3840,note_off,,,,,30,0,2,,,0,,,49,64
3840,control_change,,,,,0,0,2,,,0,64,127,,
3930,note_off,,,,,0,0,1,,,0,,,69,64
3930,note_off,,,,,330,0,1,,,0,,,66,64
3950,control_change,,,,,110,0,2,,,0,64,0,,
3960,note_on,,,,,30,0,1,,,0,,,69,42
3960,note_on,,,,,0,0,1,,,0,,,66,42
3960,note_off,,,,,10,0,2,,,0,,,61,64
3960,note_on,,,,,0,0,2,,,0,,,73,48
3960,control_change,,,,,0,0,2,,,0,64,127,,
4050,note_off,,,,,90,0,1,,,0,,,66,64
4050,note_off,,,,,0,0,1,,,0,,,69,64
4070,control_change,,,,,110,0,2,,,0,64,0,,
4080,note_on,,,,,0,0,1,,,0,,,66,55
4080,note_on,,,,,30,0,1,,,0,,,69,55
4080,note_off,,,,,10,0,2,,,0,,,73,64
4170,note_off,,,,,0,0,1,,,0,,,69,64
4170,note_off,,,,,90,0,1,,,0,,,66,64
4200,note_on,,,,,30,0,1,,,0,,,69,67
4200,note_on,,,,,0,0,1,,,0,,,66,67
4290,note_off,,,,,0,0,1,,,0,,,69,64
4290,note_off,,,,,90,0,1,,,0,,,66,64
4292,set_tempo,,,,,652,1,0,1224490,,,,,,
4320,note_on,,,,,0,0,1,,,0,,,69,81
4320,note_on,,,,,0,0,2,,,0,,,37,76
4320,control_change,,,,,240,0,2,,,0,64,127,,
4320,note_on,,,,,30,0,1,,,0,,,73,81
4360,set_tempo,,,,,68,1,0,1176471,,,,,,
4440,note_off,,,,,120,0,2,,,0,,,37,64
4490,control_change,,,,,50,0,2,,,0,64,0,,
