tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,
0,control_change,,,,,0,0,1,,64,96,0,,
0,note_on,,,,,0,0,1,,,,0,75,53
0,note_on,,,,,0,0,1,,,,0,63,53
0,track_name,,,,,0,1,7,,,,,,
0,track_name,,,,,0,1,2,,,,,,
0,control_change,,,,,0,0,2,,7,80,0,,
0,note_on,,,,,0,0,2,,,,0,48,48
0,track_name,,,,,0,1,3,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,track_name,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,control_change,,,,,0,0,1,,7,80,0,,
0,track_name,,,,,0,1,1,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,
0,set_tempo,,,,,0,1,0,272727,,,,,
0,marker,,,,,0,1,0,,,,,,
40,set_tempo,,,,,40,1,0,271493,,,,,
90,note_off,,,,,90,0,2,,,,0,48,64
100,set_tempo,,,,,60,1,0,270270,,,,,
120,note_on,,,,,30,0,2,,,,0,55,32
140,set_tempo,,,,,40,1,0,269058,,,,,
170,set_tempo,,,,,30,1,0,266667,,,,,
210,note_off,,,,,90,0,2,,,,0,55,64
230,set_tempo,,,,,60,1,0,265487,,,,,
232,control_change,,,,,232,0,1,,64,0,0,,
240,note_off,,,,,0,0,1,,,,0,75,64
240,note_on,,,,,0,0,1,,,,0,77,37
240,note_off,,,,,8,0,1,,,,0,63,64
240,note_on,,,,,30,0,2,,,,0,50,45
240,control_change,,,,,0,0,1,,64,94,0,,
240,note_on,,,,,0,0,1,,,,0,65,37
330,note_off,,,,,90,0,2,,,,0,50,64
330,set_tempo,,,,,100,1,0,264317,,,,,
360,note_on,,,,,30,0,2,,,,0,55,33
450,note_off,,,,,90,0,2,,,,0,55,64
460,set_tempo,,,,,130,1,0,263158,,,,,
472,control_change,,,,,232,0,1,,64,0,0,,
480,note_off,,,,,8,0,1,,,,0,65,64
480,note_on,,,,,0,0,1,,,,0,79,47
480,note_on,,,,,0,0,1,,,,0,67,47
480,control_change,,,,,0,0,1,,64,95,0,,
480,note_on,,,,,30,0,2,,,,0,51,47
480,note_off,,,,,0,0,1,,,,0,77,64
570,note_off,,,,,90,0,2,,,,0,51,64
600,note_on,,,,,30,0,2,,,,0,55,35
660,note_off,,,,,180,0,1,,,,0,67,64
660,note_off,,,,,0,0,1,,,,0,79,64
690,note_off,,,,,90,0,2,,,,0,55,64
712,control_change,,,,,52,0,1,,64,0,0,,
720,note_on,,,,,0,0,1,,,,0,67,57
720,note_on,,,,,8,0,1,,,,0,79,57
720,note_on,,,,,30,0,2,,,,0,51,52
720,control_change,,,,,0,0,1,,64,95,0,,
840,note_off,,,,,120,0,2,,,,0,51,64
840,note_on,,,,,0,0,2,,,,0,55,38
930,note_off,,,,,90,0,2,,,,0,55,64
960,note_on,,,,,30,0,2,,,,0,60,49
1050,note_off,,,,,90,0,2,,,,0,60,64
1080,note_on,,,,,30,0,2,,,,0,55,39
1160,set_tempo,,,,,700,1,0,264317,,,,,
1170,note_off,,,,,90,0,2,,,,0,55,64
1192,control_change,,,,,472,0,1,,64,0,0,,
1200,note_off,,,,,8,0,1,,,,0,67,64
1200,note_off,,,,,0,0,1,,,,0,79,64
1200,note_on,,,,,0,0,1,,,,0,80,41
1200,note_on,,,,,0,0,1,,,,0,68,41
1200,note_on,,,,,30,0,2,,,,0,50,47
1270,set_tempo,,,,,110,1,0,265487,,,,,
1320,note_on,,,,,0,0,2,,,,0,55,42
1320,note_off,,,,,120,0,2,,,,0,50,64
1380,note_off,,,,,0,0,1,,,,0,80,64
1380,note_off,,,,,180,0,1,,,,0,68,64
1410,note_off,,,,,90,0,2,,,,0,55,64
1440,note_on,,,,,30,0,2,,,,0,51,53
1440,note_on,,,,,60,0,1,,,,0,79,54
1440,note_on,,,,,0,0,1,,,,0,67,54
1440,control_change,,,,,0,0,1,,64,96,0,,
1450,set_tempo,,,,,180,1,0,266667,,,,,
1520,set_tempo,,,,,70,1,0,269058,,,,,
1560,note_off,,,,,120,0,2,,,,0,51,64
1560,note_on,,,,,0,0,2,,,,0,55,39
1650,note_off,,,,,90,0,2,,,,0,55,64
1680,note_on,,,,,30,0,2,,,,0,60,50
1750,set_tempo,,,,,230,1,0,270270,,,,,
1770,note_off,,,,,90,0,2,,,,0,60,64
1800,note_on,,,,,30,0,2,,,,0,55,41
1890,set_tempo,,,,,140,1,0,271493,,,,,
1890,note_off,,,,,90,0,2,,,,0,55,64
1912,control_change,,,,,472,0,1,,64,0,0,,
1920,note_on,,,,,0,0,1,,,,0,63,34
1920,note_on,,,,,30,0,2,,,,0,48,41
1920,note_off,,,,,8,0,1,,,,0,67,64
1920,note_off,,,,,0,0,1,,,,0,79,64
1920,note_on,,,,,0,0,1,,,,0,75,34
2040,note_on,,,,,0,0,2,,,,0,55,32
2040,note_off,,,,,120,0,2,,,,0,48,64
2100,note_off,,,,,180,0,1,,,,0,63,64
2100,note_off,,,,,0,0,1,,,,0,75,64
2110,set_tempo,,,,,220,1,0,272727,,,,,
2120,set_tempo,,,,,10,1,0,273973,,,,,
2130,note_off,,,,,90,0,2,,,,0,55,64
2140,set_tempo,,,,,20,1,0,270270,,,,,
2150,set_tempo,,,,,10,1,0,269058,,,,,
2160,control_change,,,,,0,0,1,,64,96,0,,
2160,note_on,,,,,0,0,1,,,,0,67,53
2160,note_on,,,,,60,0,1,,,,0,79,53
2160,note_on,,,,,30,0,2,,,,0,53,48
2170,set_tempo,,,,,20,1,0,266667,,,,,
2180,set_tempo,,,,,10,1,0,265487,,,,,
2240,set_tempo,,,,,60,1,0,264317,,,,,
2250,note_off,,,,,90,0,2,,,,0,53,64
2280,note_on,,,,,30,0,2,,,,0,55,40
2310,set_tempo,,,,,70,1,0,263158,,,,,
2330,set_tempo,,,,,20,1,0,262009,,,,,
2370,note_off,,,,,90,0,2,,,,0,55,64
2392,control_change,,,,,232,0,1,,64,0,0,,
2400,note_on,,,,,0,0,1,,,,0,81,58
2400,note_on,,,,,0,0,1,,,,0,69,58
2400,control_change,,,,,0,0,1,,64,94,0,,
2400,note_off,,,,,0,0,1,,,,0,79,64
2400,note_off,,,,,8,0,1,,,,0,67,64
2400,note_on,,,,,30,0,2,,,,0,51,47
2450,set_tempo,,,,,120,1,0,259740,,,,,
2490,note_off,,,,,90,0,2,,,,0,51,64
2510,set_tempo,,,,,60,1,0,258621,,,,,
2520,note_on,,,,,30,0,2,,,,0,55,38
2600,set_tempo,,,,,90,1,0,256410,,,,,
2610,note_off,,,,,90,0,2,,,,0,55,64
2632,control_change,,,,,232,0,1,,64,0,0,,
2640,note_off,,,,,8,0,1,,,,0,69,64
2640,note_on,,,,,0,0,1,,,,0,83,65
2640,note_on,,,,,0,0,1,,,,0,71,65
2640,control_change,,,,,0,0,1,,64,95,0,,
2640,note_off,,,,,0,0,1,,,,0,81,64
2640,note_on,,,,,30,0,2,,,,0,50,50
2660,set_tempo,,,,,60,1,0,255319,,,,,
2730,note_off,,,,,90,0,2,,,,0,50,64
2760,set_tempo,,,,,100,1,0,254237,,,,,
2760,note_on,,,,,30,0,2,,,,0,55,35
2820,note_off,,,,,180,0,1,,,,0,71,64
2820,note_off,,,,,0,0,1,,,,0,83,64
2820,set_tempo,,,,,60,1,0,253165,,,,,
2850,note_off,,,,,90,0,2,,,,0,55,64
2872,control_change,,,,,52,0,1,,64,0,0,,
2880,note_on,,,,,0,0,1,,,,0,72,79
2880,note_on,,,,,8,0,1,,,,0,84,79
2880,control_change,,,,,0,0,1,,64,96,0,,
2880,note_on,,,,,30,0,2,,,,0,51,48
2900,set_tempo,,,,,80,1,0,252101,,,,,
2970,set_tempo,,,,,70,1,0,251046,,,,,
2970,note_off,,,,,90,0,2,,,,0,51,64
3000,note_on,,,,,30,0,2,,,,0,55,43
3090,note_off,,,,,90,0,2,,,,0,55,64
3112,control_change,,,,,232,0,1,,64,0,0,,
3120,note_on,,,,,0,0,1,,,,0,73,74
3120,note_on,,,,,0,0,1,,,,0,85,74
3120,note_off,,,,,0,0,1,,,,0,84,64
3120,note_off,,,,,8,0,1,,,,0,72,64
3120,note_on,,,,,30,0,2,,,,0,49,60
3120,control_change,,,,,0,0,1,,64,94,0,,
3210,note_off,,,,,90,0,2,,,,0,49,64
3240,note_on,,,,,30,0,2,,,,0,55,53
3330,note_off,,,,,90,0,2,,,,0,55,64
3352,control_change,,,,,232,0,1,,64,0,0,,
3360,note_on,,,,,30,0,2,,,,0,48,76
3360,note_off,,,,,0,0,1,,,,0,85,64
3360,note_off,,,,,8,0,1,,,,0,73,64
3360,note_on,,,,,0,0,1,,,,0,87,82
