tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,2,2,48,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,control_change,,,,,0,0,1,,,,,0,7,80,,
0,control_change,,,,,0,0,1,,,,,0,10,80,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,program_change,,,,,0,0,2,,,,0,0,,,,
0,control_change,,,,,0,0,2,,,,,0,7,80,,
0,control_change,,,,,0,0,2,,,,,0,10,48,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,key_signature,,,,,0,1,0,G,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
0,set_tempo,,,,,0,1,0,,377358,,,,,,,
360,control_change,,,,,360,0,1,,,,,0,91,96,,
360,note_on,,,,,0,0,1,,,,,0,,,73,53
370,set_tempo,,,,,370,1,0,,413793,,,,,,,
420,note_on,,,,,0,0,1,,,,,0,,,76,46
420,note_on,,,,,60,0,1,,,,,0,,,73,0
440,set_tempo,,,,,70,1,0,,410958,,,,,,,
460,note_on,,,,,460,0,2,,,,,0,,,43,53
470,note_on,,,,,10,0,2,,,,,0,,,50,54
472,note_on,,,,,52,0,1,,,,,0,,,76,0
480,note_on,,,,,8,0,1,,,,,0,,,74,48
480,control_change,,,,,0,0,1,,,,,0,64,96,,
480,note_on,,,,,10,0,2,,,,,0,,,59,54
480,note_on,,,,,0,0,2,,,,,0,,,62,54
480,set_tempo,,,,,40,1,0,,377358,,,,,,,
840,note_on,,,,,360,0,1,,,,,0,,,74,0
840,note_on,,,,,0,0,1,,,,,0,,,72,39
860,set_tempo,,,,,380,1,0,,389610,,,,,,,
900,note_on,,,,,60,0,1,,,,,0,,,72,0
900,note_on,,,,,0,0,1,,,,,0,,,71,41
940,set_tempo,,,,,80,1,0,,384615,,,,,,,
940,control_change,,,,,40,0,1,,,,,0,64,0,,
940,note_on,,,,,460,0,2,,,,,0,,,43,0
954,note_on,,,,,14,0,1,,,,,0,,,71,0
960,note_on,,,,,0,0,2,,,,,0,,,62,48
960,note_on,,,,,0,0,2,,,,,0,,,60,48
960,note_on,,,,,0,0,2,,,,,0,,,59,0
960,note_on,,,,,20,0,2,,,,,0,,,62,0
960,control_change,,,,,0,0,1,,,,,0,64,95,,
960,note_on,,,,,6,0,1,,,,,0,,,69,43
1020,note_on,,,,,0,0,1,,,,,0,,,71,44
1020,note_on,,,,,60,0,1,,,,,0,,,69,0
1040,set_tempo,,,,,100,1,0,,368098,,,,,,,
1080,note_on,,,,,60,0,1,,,,,0,,,71,0
1080,note_on,,,,,0,0,1,,,,,0,,,72,45
1140,note_on,,,,,60,0,1,,,,,0,,,72,0
1140,note_on,,,,,0,0,1,,,,,0,,,74,46
