tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,61,49
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,64,49
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,8,12,8,,,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,,
0,set_tempo,0,1,0,,,,,,833333,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,note_on,0,0,3,,,,,,,,,2,,,52,36
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,note_on,0,0,3,,,,,,,,,2,,,45,36
60,note_on,60,0,1,,,,,,,,,0,,,64,0
60,note_on,0,0,1,,,,,,,,,0,,,61,0
60,note_on,60,0,3,,,,,,,,,2,,,52,0
60,note_on,0,0,1,,,,,,,,,0,,,66,75
60,note_on,0,0,3,,,,,,,,,2,,,54,62
60,note_on,0,0,1,,,,,,,,,0,,,62,67
120,note_on,0,0,3,,,,,,,,,2,,,51,36
120,note_on,60,0,3,,,,,,,,,2,,,54,0
120,note_on,60,0,1,,,,,,,,,0,,,66,0
120,note_on,0,0,1,,,,,,,,,0,,,62,0
120,note_on,0,0,1,,,,,,,,,0,,,60,49
120,note_on,0,0,1,,,,,,,,,0,,,63,49
120,note_on,0,0,3,,,,,,,,,2,,,45,0
120,note_on,0,0,3,,,,,,,,,2,,,45,36
126,note_on,0,0,1,,,,,,,,,0,,,60,0
126,note_on,0,0,3,,,,,,,,,2,,,45,0
126,note_on,6,0,3,,,,,,,,,2,,,51,0
126,note_on,6,0,1,,,,,,,,,0,,,63,0
180,note_on,54,0,1,,,,,,,,,0,,,61,67
180,note_on,0,0,3,,,,,,,,,2,,,52,62
180,note_on,54,0,3,,,,,,,,,2,,,45,54
180,note_on,0,0,1,,,,,,,,,0,,,64,75
180,time_signature,180,1,0,3,4,24,8,,,,,,,,,
360,note_on,0,0,1,,,,,,,,,0,,,69,49
360,note_on,360,0,2,,,,,,,,,1,,,61,36
360,note_on,180,0,1,,,,,,,,,0,,,64,0
360,note_on,0,0,1,,,,,,,,,0,,,61,0
360,note_on,180,0,3,,,,,,,,,2,,,52,0
360,note_on,0,0,2,,,,,,,,,1,,,64,36
360,note_on,0,0,3,,,,,,,,,2,,,45,36
360,note_on,0,0,3,,,,,,,,,2,,,52,36
360,note_on,0,0,3,,,,,,,,,2,,,57,36
360,note_on,0,0,3,,,,,,,,,2,,,45,0
420,note_on,0,0,1,,,,,,,,,0,,,71,75
420,note_on,60,0,1,,,,,,,,,0,,,69,0
420,note_on,60,0,3,,,,,,,,,2,,,57,0
420,note_on,0,0,3,,,,,,,,,2,,,59,36
480,note_on,0,0,2,,,,,,,,,1,,,65,36
480,note_on,120,0,2,,,,,,,,,1,,,64,0
480,note_on,60,0,1,,,,,,,,,0,,,71,0
480,note_on,60,0,3,,,,,,,,,2,,,59,0
480,note_on,0,0,2,,,,,,,,,1,,,61,36
480,note_on,0,0,2,,,,,,,,,1,,,61,0
480,note_on,0,0,1,,,,,,,,,0,,,73,49
480,note_on,0,0,3,,,,,,,,,2,,,57,36
480,note_on,0,0,3,,,,,,,,,2,,,52,0
480,note_on,0,0,3,,,,,,,,,2,,,53,36
480,note_on,0,0,3,,,,,,,,,2,,,45,36
480,note_on,0,0,3,,,,,,,,,2,,,45,0
486,note_on,6,0,3,,,,,,,,,2,,,57,0
486,note_on,6,0,2,,,,,,,,,1,,,65,0
486,note_on,6,0,1,,,,,,,,,0,,,73,0
486,note_on,0,0,2,,,,,,,,,1,,,61,0
486,note_on,0,0,3,,,,,,,,,2,,,45,0
486,note_on,0,0,3,,,,,,,,,2,,,53,0
540,note_on,0,0,3,,,,,,,,,2,,,58,36
540,note_on,54,0,3,,,,,,,,,2,,,50,36
540,note_on,0,0,1,,,,,,,,,0,,,73,75
540,note_on,0,0,1,,,,,,,,,0,,,66,70
540,note_on,0,0,3,,,,,,,,,2,,,54,36
540,note_on,54,0,1,,,,,,,,,0,,,62,65
660,note_on,120,0,3,,,,,,,,,2,,,58,0
660,note_on,0,0,1,,,,,,,,,0,,,71,49
660,note_on,120,0,1,,,,,,,,,0,,,73,0
660,note_on,0,0,3,,,,,,,,,2,,,59,36
660,note_on,0,0,3,,,,,,,,,2,,,50,0
660,note_on,0,0,3,,,,,,,,,2,,,50,36
660,note_on,0,0,3,,,,,,,,,2,,,54,36
660,note_on,0,0,3,,,,,,,,,2,,,54,0
720,note_on,0,0,1,,,,,,,,,0,,,69,49
720,note_on,0,0,1,,,,,,,,,0,,,62,49
720,note_on,60,0,1,,,,,,,,,0,,,71,0
720,note_on,0,0,1,,,,,,,,,0,,,66,0
720,note_on,0,0,3,,,,,,,,,2,,,54,36
720,note_on,0,0,3,,,,,,,,,2,,,50,36
720,note_on,0,0,1,,,,,,,,,0,,,62,0
720,note_on,0,0,3,,,,,,,,,2,,,54,0
720,note_on,60,0,3,,,,,,,,,2,,,59,0
720,note_on,0,0,3,,,,,,,,,2,,,50,0
780,note_on,0,0,3,,,,,,,,,2,,,52,36
780,note_on,0,0,1,,,,,,,,,0,,,68,75
780,note_on,60,0,1,,,,,,,,,0,,,69,0
780,note_on,60,0,3,,,,,,,,,2,,,54,0
