tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,control_change,,,,,0,0,1,,,,,0,7,80,,
0,control_change,,,,,0,0,1,,,,,0,10,80,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,program_change,,,,,0,0,2,,,,0,0,,,,
0,control_change,,,,,0,0,2,,,,,0,7,80,,
0,control_change,,,,,0,0,2,,,,,0,10,48,,
0,midi_port,,,,,0,1,3,,,0,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,midi_port,,,,,0,1,4,,,0,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,midi_port,,,,,0,1,6,,,0,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,midi_port,,,,,0,1,7,,,0,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,midi_port,,,,,0,1,8,,,0,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,,,
0,midi_port,,,,,0,1,9,,,0,,,,,,
0,midi_port,,,,,0,1,5,,,0,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,key_signature,,,,,0,1,0,D,,,,,,,,
0,set_tempo,,,,,0,1,0,,352112,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
240,control_change,,,,,240,0,2,,,,,0,91,96,,
240,note_on,,,,,0,0,2,,,,,0,,,54,112
240,note_on,,,,,0,0,1,,,,,0,,,66,111
240,control_change,,,,,240,0,1,,,,,0,91,96,,
330,set_tempo,,,,,330,1,0,,460122,,,,,,,
360,set_tempo,,,,,30,1,0,,333518,,,,,,,
360,note_on,,,,,120,0,2,,,,,0,,,54,0
360,note_on,,,,,0,0,2,,,,,0,,,47,127
360,note_on,,,,,0,0,2,,,,,0,,,54,127
360,note_on,,,,,0,0,2,,,,,0,,,59,127
360,note_on,,,,,120,0,1,,,,,0,,,66,0
360,note_on,,,,,0,0,1,,,,,0,,,62,127
360,note_on,,,,,0,0,1,,,,,0,,,66,127
360,note_on,,,,,0,0,1,,,,,0,,,74,127
360,control_change,,,,,0,0,1,,,,,0,64,96,,
370,set_tempo,,,,,10,1,0,,352112,,,,,,,
450,note_on,,,,,90,0,2,,,,,0,,,59,0
450,note_on,,,,,0,0,2,,,,,0,,,54,0
450,note_on,,,,,0,0,2,,,,,0,,,47,0
450,note_on,,,,,90,0,1,,,,,0,,,74,0
450,note_on,,,,,0,0,1,,,,,0,,,66,0
450,note_on,,,,,0,0,1,,,,,0,,,62,0
480,note_on,,,,,0,0,2,,,,,0,,,59,77
480,note_on,,,,,30,0,2,,,,,0,,,47,77
480,note_on,,,,,0,0,2,,,,,0,,,54,77
480,note_on,,,,,0,0,1,,,,,0,,,74,77
480,note_on,,,,,0,0,1,,,,,0,,,66,77
480,note_on,,,,,30,0,1,,,,,0,,,62,77
525,note_on,,,,,0,0,2,,,,,0,,,47,0
525,note_on,,,,,0,0,1,,,,,0,,,62,0
525,note_on,,,,,45,0,2,,,,,0,,,59,0
525,note_on,,,,,0,0,2,,,,,0,,,54,0
525,note_on,,,,,0,0,1,,,,,0,,,66,0
525,note_on,,,,,45,0,1,,,,,0,,,74,0
540,note_on,,,,,15,0,2,,,,,0,,,47,92
540,note_on,,,,,0,0,1,,,,,0,,,66,81
540,note_on,,,,,0,0,1,,,,,0,,,74,81
540,note_on,,,,,0,0,2,,,,,0,,,59,92
540,note_on,,,,,0,0,2,,,,,0,,,54,92
540,note_on,,,,,15,0,1,,,,,0,,,62,81
585,note_on,,,,,45,0,1,,,,,0,,,74,0
585,note_on,,,,,0,0,1,,,,,0,,,66,0
585,note_on,,,,,0,0,1,,,,,0,,,62,0
585,note_on,,,,,0,0,2,,,,,0,,,47,0
585,note_on,,,,,0,0,2,,,,,0,,,54,0
585,note_on,,,,,45,0,2,,,,,0,,,59,0
600,note_on,,,,,15,0,1,,,,,0,,,62,94
600,note_on,,,,,0,0,1,,,,,0,,,66,94
600,note_on,,,,,0,0,1,,,,,0,,,74,94
600,note_on,,,,,0,0,2,,,,,0,,,54,102
600,note_on,,,,,15,0,2,,,,,0,,,47,102
600,note_on,,,,,0,0,2,,,,,0,,,59,102
645,note_on,,,,,0,0,1,,,,,0,,,66,0
645,note_on,,,,,0,0,1,,,,,0,,,62,0
645,note_on,,,,,45,0,2,,,,,0,,,59,0
