tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
0,time_signature,6,8,12,8,0,1,0,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,
0,track_name,,,,,0,1,7,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,
0,track_name,,,,,0,1,6,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,
0,track_name,,,,,0,1,4,,,,,,
0,end_of_track,,,,,0,1,3,,,,,,
0,control_change,,,,,0,0,2,,7,80,0,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,8,,,,,,
0,control_change,,,,,0,0,1,,7,80,0,,
0,track_name,,,,,0,1,1,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,
0,set_tempo,,,,,0,1,0,227273,,,,,
600,control_change,,,,,0,0,1,,91,96,0,,
600,note_on,,,,,600,0,1,,,,0,67,45
600,set_tempo,,,,,600,1,0,277778,,,,,
720,set_tempo,,,,,120,1,0,227273,,,,,
720,note_on,,,,,720,0,2,,,,0,48,44
720,note_on,,,,,0,0,1,,,,0,75,40
720,note_off,,,,,120,0,1,,,,0,67,64
840,note_off,,,,,120,0,1,,,,0,75,64
840,note_off,,,,,120,0,2,,,,0,48,64
840,note_on,,,,,0,0,2,,,,0,51,32
960,note_off,,,,,120,0,2,,,,0,51,64
960,note_on,,,,,120,0,1,,,,0,75,32
960,note_on,,,,,0,0,2,,,,0,55,34
1080,note_on,,,,,0,0,2,,,,0,47,39
1080,note_off,,,,,120,0,1,,,,0,75,64
1080,note_on,,,,,0,0,1,,,,0,74,43
1080,note_off,,,,,120,0,2,,,,0,55,64
1200,note_off,,,,,120,0,1,,,,0,74,64
1200,note_on,,,,,0,0,2,,,,0,50,32
1200,note_off,,,,,120,0,2,,,,0,47,64
1320,note_off,,,,,120,0,2,,,,0,50,64
1320,note_on,,,,,0,0,2,,,,0,55,38
1320,note_on,,,,,120,0,1,,,,0,74,36
1440,note_off,,,,,120,0,2,,,,0,55,64
1440,note_on,,,,,0,0,2,,,,0,48,42
1440,note_off,,,,,120,0,1,,,,0,74,64
1440,note_on,,,,,0,0,1,,,,0,72,45
1560,note_off,,,,,120,0,2,,,,0,48,64
1560,note_on,,,,,0,0,2,,,,0,51,33
1560,note_off,,,,,120,0,1,,,,0,72,64
1680,note_on,,,,,0,0,2,,,,0,55,38
1680,note_off,,,,,120,0,2,,,,0,51,64
1680,note_on,,,,,120,0,1,,,,0,72,43
1800,note_on,,,,,0,0,2,,,,0,51,41
1800,note_on,,,,,0,0,1,,,,0,79,39
1800,note_off,,,,,120,0,2,,,,0,55,64
1800,note_off,,,,,120,0,1,,,,0,72,64
1920,note_off,,,,,120,0,1,,,,0,79,64
1920,note_on,,,,,0,0,2,,,,0,55,31
1920,note_off,,,,,120,0,2,,,,0,51,64
2040,note_on,,,,,120,0,1,,,,0,79,41
2040,note_on,,,,,0,0,2,,,,0,60,34
2040,note_off,,,,,120,0,2,,,,0,55,64
2160,note_off,,,,,120,0,1,,,,0,79,64
2160,note_on,,,,,0,0,1,,,,0,74,45
2160,note_on,,,,,0,0,2,,,,0,53,40
2160,note_off,,,,,120,0,2,,,,0,60,64
2280,note_on,,,,,0,0,2,,,,0,56,32
2280,note_off,,,,,120,0,2,,,,0,53,64
2280,note_off,,,,,120,0,1,,,,0,74,64
2400,note_off,,,,,120,0,2,,,,0,56,64
2400,note_on,,,,,0,0,2,,,,0,62,36
2400,note_on,,,,,120,0,1,,,,0,74,41
2520,note_on,,,,,0,0,1,,,,0,67,43
2520,note_off,,,,,120,0,1,,,,0,74,64
