tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,1,,,0,7,80,,
0,control_change,,,,,0,0,1,,,0,91,96,,
0,note_on,,,,,0,0,1,,,0,,,69,112
0,note_on,,,,,0,0,1,,,0,,,61,112
0,note_on,,,,,0,0,1,,,0,,,57,112
0,track_name,,,,,0,1,8,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,0,0,,,,
0,control_change,,,,,0,0,2,,,0,7,80,,
0,program_change,,,,,0,0,1,,0,0,,,,
0,note_on,,,,,0,0,2,,,0,,,45,113
0,end_of_track,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,end_of_track,,,,,0,1,7,,,,,,,
0,note_on,,,,,0,0,2,,,0,,,49,113
0,track_name,,,,,0,1,1,,,,,,,
0,end_of_track,,,,,0,1,8,,,,,,,
0,set_tempo,,,,,0,1,0,461538,,,,,,
0,marker,,,,,0,1,0,,,,,,,
180,note_off,,,,,180,0,2,,,0,,,49,64
180,note_off,,,,,0,0,2,,,0,,,45,64
240,note_on,,,,,60,0,2,,,0,,,33,127
420,note_off,,,,,180,0,2,,,0,,,33,64
840,note_on,,,,,420,0,2,,,0,,,45,103
840,note_on,,,,,0,0,2,,,0,,,49,103
900,note_off,,,,,0,0,1,,,0,,,69,64
900,note_off,,,,,0,0,1,,,0,,,61,64
900,note_off,,,,,900,0,1,,,0,,,57,64
930,note_off,,,,,90,0,2,,,0,,,49,64
930,note_off,,,,,0,0,2,,,0,,,45,64
960,note_on,,,,,0,0,1,,,0,,,57,112
960,note_on,,,,,0,0,1,,,0,,,59,112
960,note_on,,,,,60,0,1,,,0,,,69,112
960,note_on,,,,,0,0,1,,,0,,,62,112
960,note_on,,,,,0,0,2,,,0,,,50,115
960,note_on,,,,,30,0,2,,,0,,,47,115
1140,note_off,,,,,180,0,2,,,0,,,50,64
1140,note_off,,,,,0,0,2,,,0,,,47,64
1200,note_on,,,,,60,0,2,,,0,,,33,127
1380,note_off,,,,,180,0,2,,,0,,,33,64
1800,note_on,,,,,0,0,2,,,0,,,50,100
1800,note_on,,,,,420,0,2,,,0,,,47,100
1860,note_off,,,,,0,0,1,,,0,,,69,64
1860,note_off,,,,,0,0,1,,,0,,,62,64
1860,note_off,,,,,0,0,1,,,0,,,59,64
1860,note_off,,,,,900,0,1,,,0,,,57,64
1890,note_off,,,,,90,0,2,,,0,,,50,64
1890,note_off,,,,,0,0,2,,,0,,,47,64
1920,note_on,,,,,0,0,1,,,0,,,57,115
1920,note_on,,,,,60,0,1,,,0,,,69,115
1920,note_on,,,,,0,0,1,,,0,,,61,115
1920,note_on,,,,,0,0,1,,,0,,,64,115
1920,note_on,,,,,0,0,2,,,0,,,52,111
1920,note_on,,,,,30,0,2,,,0,,,49,111
2100,note_off,,,,,0,0,2,,,0,,,49,64
2100,note_off,,,,,180,0,2,,,0,,,52,64
2140,set_tempo,,,,,2140,1,0,454545,,,,,,
2160,note_on,,,,,60,0,2,,,0,,,33,127
2340,note_off,,,,,0,0,1,,,0,,,69,64
2340,note_off,,,,,0,0,1,,,0,,,64,64
2340,note_off,,,,,0,0,1,,,0,,,61,64
2340,note_off,,,,,420,0,1,,,0,,,57,64
2340,note_off,,,,,180,0,2,,,0,,,33,64
2400,note_on,,,,,0,0,1,,,0,,,66,97
2400,note_on,,,,,0,0,1,,,0,,,57,97
2400,note_on,,,,,60,0,2,,,0,,,54,94
2400,note_on,,,,,0,0,2,,,0,,,50,94
2400,note_on,,,,,60,0,1,,,0,,,69,97
2400,note_on,,,,,0,0,1,,,0,,,62,97
2460,set_tempo,,,,,320,1,0,447761,,,,,,
2490,note_off,,,,,90,0,2,,,0,,,50,64
