tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,0,64,127,,
0,control_change,0,0,1,,,,,,,,0,11,127,,
0,control_change,0,0,1,,,,,,,,0,93,38,,
0,control_change,0,0,1,,,,,,,,0,91,74,,
0,note_on,0,0,1,,,,,,,,0,,,59,26
0,note_on,0,0,1,,,,,,,,0,,,62,26
0,program_change,0,0,3,,,,,,,0,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,80,,
0,control_change,0,0,2,,,,,,,,1,11,125,,
0,control_change,0,0,2,,,,,,,,1,93,38,,
0,control_change,0,0,2,,,,,,,,1,91,74,,
0,note_on,0,0,4,,,,,,,,3,,,31,33
0,control_change,0,0,4,,,,,,,,3,93,0,,
0,control_change,0,0,4,,,,,,,,3,91,70,,
0,control_change,0,0,4,,,,,,,,3,11,127,,
0,control_change,0,0,4,,,,,,,,3,64,127,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
0,control_change,0,0,4,,,,,,,,3,7,122,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,93,70,,
0,control_change,0,0,3,,,,,,,,2,11,127,,
0,control_change,0,0,3,,,,,,,,2,10,40,,
0,control_change,0,0,3,,,,,,,,2,7,122,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,1090909,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
48,control_change,48,0,3,,,,,,,,2,91,0,,
59,note_on,59,0,1,,,,,,,,0,,,62,0
59,note_on,59,0,4,,,,,,,,3,,,31,0
59,note_on,0,0,1,,,,,,,,0,,,59,0
60,note_on,1,0,4,,,,,,,,3,,,35,36
60,note_on,1,0,1,,,,,,,,0,,,67,25
119,note_on,59,0,1,,,,,,,,0,,,67,0
119,note_on,59,0,4,,,,,,,,3,,,35,0
120,note_on,1,0,4,,,,,,,,3,,,43,41
120,note_on,1,0,1,,,,,,,,0,,,59,24
120,note_on,0,0,1,,,,,,,,0,,,62,24
179,note_on,59,0,1,,,,,,,,0,,,62,0
179,note_on,0,0,1,,,,,,,,0,,,59,0
179,note_on,59,0,4,,,,,,,,3,,,43,0
180,note_on,1,0,4,,,,,,,,3,,,50,45
180,note_on,1,0,1,,,,,,,,0,,,55,23
234,note_on,54,0,4,,,,,,,,3,,,50,0
239,note_on,59,0,1,,,,,,,,0,,,55,0
240,note_on,0,0,1,,,,,,,,0,,,62,22
240,note_on,1,0,1,,,,,,,,0,,,59,22
299,note_on,59,0,1,,,,,,,,0,,,62,0
299,note_on,0,0,1,,,,,,,,0,,,59,0
300,note_on,1,0,1,,,,,,,,0,,,67,23
359,note_on,59,0,1,,,,,,,,0,,,67,0
360,note_on,1,0,1,,,,,,,,0,,,59,23
360,note_on,0,0,1,,,,,,,,0,,,62,23
419,note_on,59,0,1,,,,,,,,0,,,62,0
419,note_on,0,0,1,,,,,,,,0,,,59,0
420,note_on,1,0,1,,,,,,,,0,,,55,23
479,note_on,59,0,1,,,,,,,,0,,,55,0
480,note_on,1,0,1,,,,,,,,0,,,62,22
480,note_on,0,0,1,,,,,,,,0,,,67,22
539,note_on,59,0,1,,,,,,,,0,,,67,0
539,note_on,0,0,1,,,,,,,,0,,,62,0
540,note_on,1,0,1,,,,,,,,0,,,71,22
599,note_on,59,0,1,,,,,,,,0,,,71,0
600,note_on,1,0,1,,,,,,,,0,,,62,22
600,note_on,0,0,1,,,,,,,,0,,,67,22
659,note_on,59,0,1,,,,,,,,0,,,67,0
659,note_on,0,0,1,,,,,,,,0,,,62,0
660,note_on,1,0,1,,,,,,,,0,,,59,22
719,note_on,59,0,1,,,,,,,,0,,,59,0
720,note_on,1,0,1,,,,,,,,0,,,67,22
720,note_on,0,0,1,,,,,,,,0,,,71,22
