tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
0,control_change,0,0,4,,,,,,,,3,64,127,,
0,control_change,0,0,4,,,,,,,,3,11,127,,
0,control_change,0,0,4,,,,,,,,3,91,64,,
0,control_change,0,0,4,,,,,,,,3,93,0,,
0,note_on,0,0,4,,,,,,,,3,,,36,64
0,control_change,0,0,4,,,,,,,,3,7,120,,
0,note_on,0,0,4,,,,,,,,3,,,43,64
0,program_change,0,0,2,,,,,,,0,1,,,,
0,control_change,0,0,1,,,,,,,,0,91,74,,
0,control_change,0,0,1,,,,,,,,0,93,38,,
0,control_change,0,0,1,,,,,,,,0,11,127,,
0,control_change,0,0,1,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,0,7,120,,
0,note_on,0,0,4,,,,,,,,3,,,51,64
0,program_change,0,0,1,,,,,,,0,0,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,note_on,0,0,3,,,,,,,,2,,,55,64
0,control_change,0,0,2,,,,,,,,1,7,120,,
0,control_change,0,0,2,,,,,,,,1,10,80,,
0,control_change,0,0,2,,,,,,,,1,11,124,,
0,control_change,0,0,2,,,,,,,,1,93,38,,
0,control_change,0,0,2,,,,,,,,1,91,74,,
0,track_name,0,1,3,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,control_change,0,0,3,,,,,,,,2,10,40,,
0,control_change,0,0,3,,,,,,,,2,64,127,,
0,control_change,0,0,3,,,,,,,,2,93,0,,
0,control_change,0,0,3,,,,,,,,2,127,64,,
0,note_on,0,0,3,,,,,,,,2,,,63,64
0,note_on,0,0,3,,,,,,,,2,,,60,64
0,control_change,0,0,3,,,,,,,,2,7,120,,
0,track_name,0,1,1,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,,,
48,control_change,48,0,1,,,,,,,,0,11,126,,
839,note_on,839,0,4,,,,,,,,3,,,51,0
839,note_on,0,0,4,,,,,,,,3,,,36,0
839,note_on,839,0,3,,,,,,,,2,,,55,0
839,note_on,0,0,3,,,,,,,,2,,,60,0
839,note_on,0,0,3,,,,,,,,2,,,63,0
839,note_on,0,0,4,,,,,,,,3,,,43,0
840,note_on,0,0,4,,,,,,,,3,,,51,64
840,note_on,0,0,4,,,,,,,,3,,,43,64
840,note_on,0,0,3,,,,,,,,2,,,55,64
840,note_on,0,0,3,,,,,,,,2,,,60,64
840,note_on,1,0,3,,,,,,,,2,,,63,64
840,note_on,1,0,4,,,,,,,,3,,,36,64
874,control_change,34,0,3,,,,,,,,2,64,0,,
909,control_change,69,0,4,,,,,,,,3,64,0,,
959,note_on,85,0,3,,,,,,,,2,,,55,0
959,note_on,0,0,3,,,,,,,,2,,,60,0
959,note_on,0,0,3,,,,,,,,2,,,63,0
959,note_on,50,0,4,,,,,,,,3,,,51,0
959,note_on,0,0,4,,,,,,,,3,,,36,0
959,note_on,0,0,4,,,,,,,,3,,,43,0
960,note_on,0,0,4,,,,,,,,3,,,51,64
960,note_on,0,0,4,,,,,,,,3,,,43,64
