tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,120,,
0,control_change,0,0,2,,,,,,,,1,10,80,,
0,control_change,0,0,2,,,,,,,,1,91,74,,
0,control_change,0,0,2,,,,,,,,1,93,38,,
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,control_change,0,0,3,,,,,,,,2,7,110,,
0,control_change,0,0,3,,,,,,,,2,10,40,,
0,control_change,0,0,3,,,,,,,,2,11,127,,
0,control_change,0,0,3,,,,,,,,2,91,70,,
0,track_name,0,1,8,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,100,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
0,control_change,0,0,4,,,,,,,,3,64,127,,
0,control_change,0,0,4,,,,,,,,3,11,127,,
0,control_change,0,0,4,,,,,,,,3,93,36,,
0,note_on,0,0,4,,,,,,,,3,,,24,30
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,750000,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,120,,
0,control_change,0,0,1,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,0,11,127,,
0,text,0,1,0,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
48,control_change,0,0,1,,,,,,,,0,93,38,,
48,control_change,0,0,4,,,,,,,,3,93,0,,
48,control_change,48,0,4,,,,,,,,3,91,70,,
48,control_change,48,0,1,,,,,,,,0,91,74,,
48,control_change,48,0,3,,,,,,,,2,93,0,,
48,control_change,48,0,2,,,,,,,,1,11,127,,
54,note_on,6,0,4,,,,,,,,3,,,24,0
60,note_on,6,0,4,,,,,,,,3,,,36,30
114,note_on,54,0,4,,,,,,,,3,,,36,0
120,note_on,6,0,4,,,,,,,,3,,,24,31
174,note_on,54,0,4,,,,,,,,3,,,24,0
180,note_on,6,0,4,,,,,,,,3,,,36,31
234,note_on,54,0,4,,,,,,,,3,,,36,0
240,note_on,6,0,4,,,,,,,,3,,,24,31
294,note_on,54,0,4,,,,,,,,3,,,24,0
300,note_on,6,0,4,,,,,,,,3,,,36,31
354,note_on,54,0,4,,,,,,,,3,,,36,0
360,note_on,6,0,4,,,,,,,,3,,,24,31
414,note_on,54,0,4,,,,,,,,3,,,24,0
420,note_on,6,0,4,,,,,,,,3,,,36,31
474,note_on,54,0,4,,,,,,,,3,,,36,0
480,control_change,6,0,4,,,,,,,,3,64,0,,
480,note_on,0,0,4,,,,,,,,3,,,24,31
696,note_on,216,0,4,,,,,,,,3,,,24,0
960,note_on,264,0,4,,,,,,,,3,,,24,31
1176,note_on,216,0,4,,,,,,,,3,,,24,0
1440,control_change,264,0,4,,,,,,,,3,64,127,,
1440,control_change,0,0,4,,,,,,,,3,11,126,,
