tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,3,,,43,64
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,110,,
0,control_change,0,0,1,,,,,,,,0,11,127,,
0,control_change,0,0,4,,,,,,,,3,93,0,,
0,control_change,0,0,1,,,,,,,,0,93,38,,
0,control_change,0,0,3,,,,,,,,2,93,0,,
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,80,,
0,control_change,0,0,2,,,,,,,,1,11,127,,
0,control_change,0,0,1,,,,,,,,0,91,74,,
0,control_change,0,0,4,,,,,,,,3,91,60,,
0,control_change,0,0,4,,,,,,,,3,11,127,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,
0,control_change,0,0,3,,,,,,,,2,11,127,,
0,control_change,0,0,3,,,,,,,,2,10,40,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,control_change,0,0,2,,,,,,,,1,93,38,,
0,control_change,0,0,2,,,,,,,,1,91,74,,
48,control_change,48,0,3,,,,,,,,2,91,64,,
95,note_on,95,0,4,,,,,,,,3,,,43,0
137,control_change,137,0,1,,,,,,,,0,64,127,,
240,note_on,145,0,4,,,,,,,,3,,,59,33
240,note_on,0,0,1,,,,,,,,0,,,71,64
240,note_on,0,0,1,,,,,,,,0,,,67,64
240,note_on,103,0,1,,,,,,,,0,,,62,64
479,note_on,239,0,4,,,,,,,,3,,,59,0
480,note_on,1,0,4,,,,,,,,3,,,55,33
480,note_on,0,0,4,,,,,,,,3,,,50,33
719,note_on,479,0,1,,,,,,,,0,,,71,0
719,note_on,239,0,4,,,,,,,,3,,,50,0
719,note_on,0,0,4,,,,,,,,3,,,55,0
719,note_on,0,0,1,,,,,,,,0,,,67,0
719,note_on,0,0,1,,,,,,,,0,,,62,0
720,note_on,0,0,1,,,,,,,,0,,,67,64
720,note_on,0,0,1,,,,,,,,0,,,71,64
720,note_on,1,0,1,,,,,,,,0,,,62,64
720,note_on,1,0,4,,,,,,,,3,,,59,33
959,note_on,0,0,1,,,,,,,,0,,,62,0
959,note_on,239,0,4,,,,,,,,3,,,59,0
959,note_on,0,0,1,,,,,,,,0,,,67,0
959,note_on,239,0,1,,,,,,,,0,,,71,0
960,note_on,1,0,4,,,,,,,,3,,,47,33
960,note_on,0,0,1,,,,,,,,0,,,74,76
960,note_on,0,0,1,,,,,,,,0,,,67,76
960,note_on,1,0,1,,,,,,,,0,,,62,76
1055,note_on,95,0,4,,,,,,,,3,,,47,0
1097,control_change,137,0,1,,,,,,,,0,64,0,,
1151,note_on,0,0,1,,,,,,,,0,,,62,0
1151,note_on,0,0,1,,,,,,,,0,,,67,0
1151,note_on,54,0,1,,,,,,,,0,,,74,0
1200,note_on,145,0,4,,,,,,,,3,,,59,33
1439,note_on,239,0,4,,,,,,,,3,,,59,0
