tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,120,,
0,control_change,0,0,1,,,,,,,,0,11,127,,
0,control_change,0,0,1,,,,,,,,0,93,38,,
0,control_change,0,0,1,,,,,,,,0,91,74,,
0,note_on,0,0,1,,,,,,,,0,,,63,64
0,track_name,0,1,2,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,80,,
0,control_change,0,0,2,,,,,,,,1,11,127,,
0,control_change,0,0,2,,,,,,,,1,93,38,,
0,control_change,0,0,2,,,,,,,,1,91,74,,
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,7,125,,
0,control_change,0,0,3,,,,,,,,2,10,40,,
0,control_change,0,0,3,,,,,,,,2,11,127,,
0,control_change,0,0,3,,,,,,,,2,93,0,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,125,,
0,control_change,0,0,4,,,,,,,,3,10,20,,
0,control_change,0,0,4,,,,,,,,3,11,127,,
0,control_change,0,0,4,,,,,,,,3,91,70,,
0,control_change,0,0,4,,,,,,,,3,93,0,,
0,note_on,0,0,4,,,,,,,,3,,,39,64
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,375000,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
48,control_change,48,0,3,,,,,,,,2,91,70,,
95,note_on,95,0,1,,,,,,,,0,,,63,0
191,note_on,191,0,4,,,,,,,,3,,,39,0
240,note_on,0,0,1,,,,,,,,0,,,58,64
240,note_on,145,0,1,,,,,,,,0,,,55,64
335,note_on,0,0,1,,,,,,,,0,,,55,0
335,note_on,95,0,1,,,,,,,,0,,,58,0
480,note_on,145,0,1,,,,,,,,0,,,67,64
480,note_on,0,0,4,,,,,,,,3,,,46,64
480,note_on,289,0,4,,,,,,,,3,,,51,64
575,note_on,95,0,1,,,,,,,,0,,,67,0
671,note_on,191,0,4,,,,,,,,3,,,46,0
671,note_on,0,0,4,,,,,,,,3,,,51,0
720,note_on,0,0,1,,,,,,,,0,,,58,64
720,note_on,145,0,1,,,,,,,,0,,,55,64
815,note_on,0,0,1,,,,,,,,0,,,55,0
815,note_on,95,0,1,,,,,,,,0,,,58,0
960,note_on,289,0,4,,,,,,,,3,,,39,64
960,note_on,145,0,1,,,,,,,,0,,,63,64
1055,note_on,95,0,1,,,,,,,,0,,,63,0
1151,note_on,191,0,4,,,,,,,,3,,,39,0
1200,note_on,0,0,1,,,,,,,,0,,,58,64
1200,note_on,145,0,1,,,,,,,,0,,,55,64
1295,note_on,0,0,1,,,,,,,,0,,,55,0
1295,note_on,95,0,1,,,,,,,,0,,,58,0
1440,note_on,0,0,4,,,,,,,,3,,,46,64
1440,note_on,289,0,4,,,,,,,,3,,,51,64
1440,note_on,145,0,1,,,,,,,,0,,,67,64
1526,note_on,86,0,4,,,,,,,,3,,,46,0
1526,note_on,0,0,4,,,,,,,,3,,,51,0
1535,note_on,95,0,1,,,,,,,,0,,,67,0
1680,note_on,0,0,1,,,,,,,,0,,,58,64
1680,note_on,145,0,1,,,,,,,,0,,,55,64
1766,note_on,0,0,1,,,,,,,,0,,,55,0
1766,note_on,86,0,1,,,,,,,,0,,,58,0
1920,note_on,394,0,4,,,,,,,,3,,,39,64
1920,note_on,154,0,1,,,,,,,,0,,,63,64
2015,note_on,95,0,1,,,,,,,,0,,,63,0
2111,note_on,191,0,4,,,,,,,,3,,,39,0
2160,note_on,145,0,1,,,,,,,,0,,,55,64
2160,note_on,0,0,1,,,,,,,,0,,,58,64
2255,note_on,95,0,1,,,,,,,,0,,,58,0
2255,note_on,0,0,1,,,,,,,,0,,,55,0
