tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
0,time_signature,4,4,48,8,0,1,0,,,,,
0,note_on,,,,,0,0,2,,,1,46,80
0,note_on,,,,,0,0,2,,,1,58,80
0,program_change,,,,,0,0,2,,0,1,,
0,end_of_track,,,,,0,1,0,,,,,
0,set_tempo,,,,,0,1,0,697674,,,,
0,program_change,,,,,0,0,1,,71,0,,
576,note_off,,,,,0,0,2,,,1,58,64
576,note_off,,,,,576,0,2,,,1,46,64
960,note_on,,,,,384,0,2,,,1,58,80
960,note_on,,,,,0,0,2,,,1,46,80
1536,note_off,,,,,0,0,2,,,1,58,64
1536,note_off,,,,,576,0,2,,,1,46,64
1680,note_on,,,,,1680,0,1,,,0,70,80
1872,note_off,,,,,192,0,1,,,0,70,64
1920,note_on,,,,,48,0,1,,,0,70,80
1920,note_on,,,,,384,0,2,,,1,58,80
1920,note_on,,,,,0,0,2,,,1,46,80
2208,note_off,,,,,288,0,1,,,0,70,64
2208,note_off,,,,,288,0,2,,,1,46,64
2208,note_off,,,,,0,0,2,,,1,58,64
2280,note_on,,,,,0,0,2,,,1,61,80
2280,note_on,,,,,72,0,2,,,1,49,80
2280,note_on,,,,,72,0,1,,,0,73,80
2376,note_off,,,,,96,0,2,,,1,61,64
2376,note_off,,,,,96,0,1,,,0,73,64
2376,note_off,,,,,0,0,2,,,1,49,64
2400,note_on,,,,,24,0,1,,,0,72,80
2400,note_on,,,,,24,0,2,,,1,48,80
2400,note_on,,,,,0,0,2,,,1,60,80
2592,note_off,,,,,192,0,1,,,0,72,64
2592,note_off,,,,,192,0,2,,,1,60,64
2592,note_off,,,,,0,0,2,,,1,48,64
2640,note_on,,,,,48,0,1,,,0,70,80
2640,note_on,,,,,0,0,2,,,1,58,80
2640,note_on,,,,,48,0,2,,,1,46,80
2832,note_off,,,,,192,0,2,,,1,58,64
2832,note_off,,,,,192,0,1,,,0,70,64
2832,note_off,,,,,0,0,2,,,1,46,64
2880,note_on,,,,,48,0,2,,,1,45,80
2880,note_on,,,,,48,0,1,,,0,69,80
2880,note_on,,,,,0,0,2,,,1,57,80
3264,note_off,,,,,384,0,2,,,1,57,64
3264,note_off,,,,,0,0,2,,,1,45,64
3264,note_off,,,,,384,0,1,,,0,69,64
3360,note_on,,,,,96,0,2,,,1,46,80
3360,note_on,,,,,0,0,2,,,1,58,80
3360,note_on,,,,,96,0,1,,,0,70,80
3552,note_off,,,,,192,0,2,,,1,58,64
3552,note_off,,,,,0,0,2,,,1,46,64
3552,note_off,,,,,192,0,1,,,0,70,64
3600,note_on,,,,,0,0,2,,,1,60,80
3600,note_on,,,,,48,0,2,,,1,48,80
3600,note_on,,,,,48,0,1,,,0,72,80
3792,note_off,,,,,192,0,1,,,0,72,64
3792,note_off,,,,,0,0,2,,,1,48,64
3792,note_off,,,,,192,0,2,,,1,60,64
3840,note_on,,,,,0,0,2,,,1,54,80
3840,note_on,,,,,48,0,2,,,1,42,80
3840,note_on,,,,,48,0,1,,,0,66,80
4176,note_off,,,,,336,0,2,,,1,54,64
4176,note_off,,,,,0,0,2,,,1,42,64
