tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,2,,,10,42,1,,,,
0,program_change,,,,,0,0,2,,,,,1,40,,,
0,key_signature,,,,,0,1,2,,,,,,,C,,
0,note_on,,,,,0,0,2,,,,,1,,,56,100
0,note_on,,,,,0,0,2,,,,,1,,,64,100
0,key_signature,,,,,0,1,6,,,,,,,C,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,control_change,,,,,0,0,3,,,10,80,2,,,,
0,program_change,,,,,0,0,3,,,,,2,41,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,
0,note_on,,,,,0,0,3,,,,,2,,,59,100
0,track_name,,,,,0,1,4,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,control_change,,,,,0,0,4,,,10,94,3,,,,
0,program_change,,,,,0,0,4,,,,,3,42,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,
0,note_on,,,,,0,0,4,,,,,3,,,52,100
0,track_name,,,,,0,1,5,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,0,,,,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,,64,100
0,key_signature,,,,,0,1,1,,,,,,,C,,
0,program_change,,,,,0,0,1,,,,,0,40,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
0,control_change,,,,,0,0,1,,,10,37,0,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,set_tempo,,,,,0,1,0,,405405,,,,,,,
672,note_on,,,,,0,0,1,,,,,0,,,76,100
672,note_off,,,,,672,0,1,,,,,0,,,64,0
768,note_on,,,,,0,0,1,,,,,0,,,76,100
768,note_on,,,,,0,0,4,,,,,3,,,52,100
768,note_off,,,,,768,0,4,,,,,3,,,52,0
768,note_off,,,,,768,0,2,,,,,1,,,56,0
768,note_off,,,,,0,0,2,,,,,1,,,64,0
768,note_on,,,,,0,0,3,,,,,2,,,56,100
768,note_on,,,,,0,0,2,,,,,1,,,68,100
768,note_off,,,,,96,0,1,,,,,0,,,76,0
768,note_off,,,,,768,0,3,,,,,2,,,59,0
768,note_on,,,,,0,0,3,,,,,2,,,64,100
768,note_on,,,,,0,0,2,,,,,1,,,59,100
1440,note_off,,,,,672,0,1,,,,,0,,,76,0
1440,note_on,,,,,0,0,1,,,,,0,,,88,100
1536,note_on,,,,,0,0,3,,,,,2,,,68,100
1536,note_off,,,,,768,0,4,,,,,3,,,52,0
1536,note_on,,,,,0,0,4,,,,,3,,,49,100
1536,note_on,,,,,0,0,3,,,,,2,,,61,100
1536,note_on,,,,,0,0,2,,,,,1,,,64,100
1536,note_off,,,,,0,0,3,,,,,2,,,56,0
1536,note_off,,,,,768,0,3,,,,,2,,,64,0
1536,note_on,,,,,0,0,2,,,,,1,,,73,100
1536,note_off,,,,,0,0,2,,,,,1,,,68,0
1536,note_off,,,,,768,0,2,,,,,1,,,59,0
1536,note_off,,,,,96,0,1,,,,,0,,,88,0
1536,note_on,,,,,0,0,1,,,,,0,,,88,100
1728,note_off,,,,,192,0,3,,,,,2,,,61,0
1728,note_off,,,,,0,0,3,,,,,2,,,68,0
1728,note_off,,,,,192,0,2,,,,,1,,,73,0
1728,note_off,,,,,192,0,4,,,,,3,,,49,0
1728,note_off,,,,,0,0,2,,,,,1,,,64,0
1728,note_off,,,,,192,0,1,,,,,0,,,88,0
1920,note_on,,,,,0,0,3,,,,,2,,,68,100
1920,note_on,,,,,192,0,2,,,,,1,,,73,100
1920,note_on,,,,,192,0,4,,,,,3,,,49,100
1920,note_on,,,,,192,0,3,,,,,2,,,61,100
1920,note_on,,,,,192,0,1,,,,,0,,,76,100
1920,note_on,,,,,0,0,2,,,,,1,,,64,100
2112,note_off,,,,,192,0,2,,,,,1,,,73,0
2112,note_off,,,,,0,0,2,,,,,1,,,64,0
2112,note_off,,,,,192,0,1,,,,,0,,,76,0
2112,note_off,,,,,192,0,3,,,,,2,,,61,0
2112,note_off,,,,,192,0,4,,,,,3,,,49,0
2112,note_off,,,,,0,0,3,,,,,2,,,68,0
3072,note_on,,,,,960,0,2,,,,,1,,,63,100
3072,note_on,,,,,960,0,1,,,,,0,,,66,100
3072,note_on,,,,,960,0,3,,,,,2,,,59,100
3072,note_on,,,,,960,0,4,,,,,3,,,47,100
3840,note_off,,,,,768,0,4,,,,,3,,,47,0
3840,note_on,,,,,0,0,4,,,,,3,,,44,100
3840,note_on,,,,,0,0,1,,,,,0,,,68,100
3840,note_off,,,,,768,0,1,,,,,0,,,66,0
3840,note_off,,,,,768,0,2,,,,,1,,,63,0
3840,note_on,,,,,0,0,2,,,,,1,,,65,100
4608,note_off,,,,,768,0,4,,,,,3,,,44,0
4608,note_on,,,,,0,0,4,,,,,3,,,42,100
4608,note_off,,,,,768,0,2,,,,,1,,,65,0
4608,note_on,,,,,0,0,2,,,,,1,,,66,100
4608,note_off,,,,,1536,0,3,,,,,2,,,59,0
4608,note_on,,,,,0,0,3,,,,,2,,,61,100
4608,note_off,,,,,768,0,1,,,,,0,,,68,0
4608,note_on,,,,,0,0,1,,,,,0,,,71,100
4992,note_on,,,,,0,0,1,,,,,0,,,69,100
4992,note_off,,,,,384,0,1,,,,,0,,,71,0
5760,note_off,,,,,1152,0,4,,,,,3,,,42,0
5760,note_on,,,,,0,0,1,,,,,0,,,68,100
5760,note_off,,,,,768,0,1,,,,,0,,,69,0
5760,note_off,,,,,1152,0,3,,,,,2,,,61,0
5760,note_on,,,,,0,0,3,,,,,2,,,57,100
5760,note_off,,,,,1152,0,2,,,,,1,,,66,0
5760,note_on,,,,,0,0,2,,,,,1,,,63,100
5760,note_on,,,,,0,0,4,,,,,3,,,47,100
5952,note_on,,,,,0,0,1,,,,,0,,,66,100
5952,note_off,,,,,192,0,1,,,,,0,,,68,0
6144,note_off,,,,,384,0,2,,,,,1,,,63,0
6144,note_on,,,,,0,0,2,,,,,1,,,64,100
6144,note_on,,,,,0,0,2,,,,,1,,,56,100
6144,note_on,,,,,0,0,1,,,,,0,,,64,100
6144,note_on,,,,,0,0,3,,,,,2,,,56,100
6144,note_on,,,,,0,0,3,,,,,2,,,59,100
6144,note_off,,,,,384,0,3,,,,,2,,,57,0
6144,note_on,,,,,0,0,4,,,,,3,,,52,100
6144,note_off,,,,,384,0,4,,,,,3,,,47,0
6144,note_off,,,,,192,0,1,,,,,0,,,66,0
6816,note_off,,,,,672,0,1,,,,,0,,,64,0
6816,note_on,,,,,0,0,1,,,,,0,,,76,100
6912,note_on,,,,,0,0,3,,,,,2,,,56,100
6912,note_off,,,,,0,0,3,,,,,2,,,56,0
6912,note_off,,,,,768,0,3,,,,,2,,,59,0
6912,note_off,,,,,96,0,1,,,,,0,,,76,0
6912,note_on,,,,,0,0,1,,,,,0,,,76,100
6912,note_off,,,,,768,0,4,,,,,3,,,52,0
6912,note_on,,,,,0,0,3,,,,,2,,,64,100
6912,note_on,,,,,0,0,4,,,,,3,,,49,100
6912,note_off,,,,,0,0,2,,,,,1,,,56,0
6912,note_on,,,,,0,0,2,,,,,1,,,64,100
6912,note_on,,,,,0,0,2,,,,,1,,,73,100
6912,note_off,,,,,768,0,2,,,,,1,,,64,0
7584,note_off,,,,,672,0,1,,,,,0,,,76,0
7584,note_on,,,,,0,0,1,,,,,0,,,88,100
7680,note_on,,,,,0,0,2,,,,,1,,,73,100
7680,note_on,,,,,0,0,2,,,,,1,,,64,100
7680,note_off,,,,,0,0,2,,,,,1,,,64,0
7680,note_off,,,,,768,0,2,,,,,1,,,73,0
7680,note_off,,,,,0,0,3,,,,,2,,,64,0
7680,note_on,,,,,0,0,3,,,,,2,,,57,100
7680,note_on,,,,,0,0,3,,,,,2,,,64,100
