tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,3,7,38,,,
0,control_change,,0,0,1,,,,,,,3,10,120,,,
0,control_change,,0,0,1,,,,,,,3,93,99,,,
0,program_change,,0,0,1,,,,,,,3,,,42,,
0,program_change,,0,0,4,,,,,,,1,,,42,,
0,control_change,,0,0,4,,,,,,,1,93,72,,,
0,control_change,,0,0,4,,,,,,,1,10,64,,,
0,control_change,,0,0,4,,,,,,,1,7,100,,,
0,channel_prefix,,0,1,4,,,,,,,1,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,
0,channel_prefix,,0,1,2,,,,,,,0,,,,,
0,control_change,,0,0,2,,,,,,,0,7,89,,,
0,control_change,,0,0,2,,,,,,,0,10,12,,,
0,control_change,,0,0,2,,,,,,,0,93,88,,,
0,program_change,,0,0,2,,,,,,,0,,,0,,
0,note_on,,0,0,2,,,,,,,0,,,,61,127
0,note_on,,0,0,2,,,,,,,0,,,,64,127
0,note_on,,0,0,2,,,,,,,0,,,,69,127
0,channel_prefix,,0,1,3,,,,,,,2,,,,,
0,note_on,,0,0,3,,,,,,,2,,,,45,127
0,program_change,,0,0,3,,,,,,,2,,,0,,
0,control_change,,0,0,3,,,,,,,2,93,57,,,
0,control_change,,0,0,3,,,,,,,2,10,64,,,
0,control_change,,0,0,3,,,,,,,2,7,100,,,
0,channel_prefix,,0,1,1,,,,,,,3,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,
0,key_signature,,0,1,0,,,,,C,,,,,,,
232,note_off,,232,0,2,,,,,,,0,,,,69,64
232,note_off,,0,0,2,,,,,,,0,,,,61,64
232,note_off,,0,0,2,,,,,,,0,,,,64,64
240,note_on,,0,0,2,,,,,,,0,,,,69,127
240,note_on,,0,0,2,,,,,,,0,,,,64,127
240,note_on,,8,0,2,,,,,,,0,,,,61,127
240,control_change,,240,0,3,,,,,,,2,7,103,,,
472,note_off,,232,0,3,,,,,,,2,,,,45,64
472,note_off,,0,0,2,,,,,,,0,,,,61,64
472,note_off,,0,0,2,,,,,,,0,,,,64,64
472,note_off,,232,0,2,,,,,,,0,,,,69,64
480,note_on,,8,0,3,,,,,,,2,,,,40,127
480,note_on,,0,0,2,,,,,,,0,,,,69,127
480,note_on,,8,0,2,,,,,,,0,,,,61,127
480,note_on,,0,0,2,,,,,,,0,,,,64,127
712,note_off,,232,0,2,,,,,,,0,,,,69,64
712,note_off,,0,0,2,,,,,,,0,,,,61,64
712,note_off,,0,0,2,,,,,,,0,,,,64,64
720,note_on,,0,0,2,,,,,,,0,,,,69,127
720,note_on,,8,0,2,,,,,,,0,,,,61,127
720,note_on,,0,0,2,,,,,,,0,,,,64,127
952,note_off,,472,0,3,,,,,,,2,,,,40,64
952,note_off,,0,0,2,,,,,,,0,,,,61,64
952,note_off,,232,0,2,,,,,,,0,,,,69,64
952,note_off,,0,0,2,,,,,,,0,,,,64,64
960,note_on,,0,0,2,,,,,,,0,,,,69,127
960,note_on,,0,0,2,,,,,,,0,,,,64,127
960,note_on,,8,0,2,,,,,,,0,,,,61,127
1192,note_off,,0,0,2,,,,,,,0,,,,64,64
1192,note_off,,0,0,2,,,,,,,0,,,,61,64
1192,note_off,,232,0,2,,,,,,,0,,,,69,64
1200,note_on,,0,0,2,,,,,,,0,,,,69,127
1200,note_on,,8,0,2,,,,,,,0,,,,61,127
1200,note_on,,0,0,2,,,,,,,0,,,,64,127
1432,note_off,,0,0,2,,,,,,,0,,,,61,64
1432,note_off,,0,0,2,,,,,,,0,,,,64,64
1432,note_off,,232,0,2,,,,,,,0,,,,69,64
