tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity,pitch
0,time_signature,3,4,96,8,0,1,0,,,,,,,,,,
0,key_signature,,,,,0,1,4,,,,,,,C,,,
0,program_change,,,,,0,0,9,,,,,8,48,,,,
0,control_change,,,,,0,0,9,,,7,112,8,,,,,
0,key_signature,,,,,0,1,9,,,,,,,C,,,
0,track_name,,,,,0,1,9,,,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,,
0,key_signature,,,,,0,1,7,,,,,,,C,,,
0,control_change,,,,,0,0,7,,,7,115,6,,,,,
0,program_change,,,,,0,0,7,,,,,6,57,,,,
0,program_change,,,,,0,0,2,,,,,1,68,,,,
0,control_change,,,,,0,0,2,,,7,125,1,,,,,
0,key_signature,,,,,0,1,2,,,,,,,C,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,,
0,control_change,,,,,0,0,13,,,7,107,12,,,,,
0,program_change,,,,,0,0,13,,,,,12,48,,,,
0,track_name,,,,,0,1,8,,,,,,,,,,
0,key_signature,,,,,0,1,8,,,,,,,C,,,
0,control_change,,,,,0,0,8,,,7,100,7,,,,,
0,program_change,,,,,0,0,8,,,,,7,48,,,,
0,key_signature,,,,,0,1,1,,,,,,,C,,,
0,program_change,,,,,0,0,1,,,,,0,73,,,,
0,control_change,,,,,0,0,1,,,93,0,0,,,,,
0,control_change,,,,,0,0,1,,,91,90,0,,,,,
0,control_change,,,,,0,0,1,,,10,48,0,,,,,
0,control_change,,,,,0,0,1,,,7,120,0,,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,,
0,program_change,,,,,0,0,6,,,,,5,56,,,,
0,control_change,,,,,0,0,1,,,32,0,0,,,,,
0,control_change,,,,,0,0,6,,,7,96,5,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,,
0,control_change,,,,,0,0,4,,,7,90,3,,,,,
0,program_change,,,,,0,0,4,,,,,3,70,,,,
0,track_name,,,,,0,1,12,,,,,,,,,,
0,key_signature,,,,,0,1,12,,,,,,,C,,,
0,control_change,,,,,0,0,12,,,7,96,11,,,,,
0,program_change,,,,,0,0,12,,,,,11,48,,,,
0,program_change,,,,,0,0,11,,,,,10,49,,,,
0,control_change,,,,,0,0,11,,,7,112,10,,,,,
0,key_signature,,,,,0,1,11,,,,,,,C,,,
0,track_name,,,,,0,1,11,,,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,,
0,key_signature,,,,,0,1,10,,,,,,,C,,,
0,control_change,,,,,0,0,10,,,93,0,0,,,,,
0,control_change,,,,,0,0,10,,,91,90,0,,,,,
0,control_change,,,,,0,0,10,,,10,48,0,,,,,
0,control_change,,,,,0,0,10,,,7,120,0,,,,,
0,program_change,,,,,0,0,10,,,,,0,73,,,,
0,control_change,,,,,0,0,10,,,0,0,0,,,,,
0,track_name,,,,,0,1,10,,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,,
0,control_change,,,,,0,0,5,,,7,105,4,,,,,
0,program_change,,,,,0,0,5,,,,,4,60,,,,
0,program_change,,,,,0,0,3,,,,,2,71,,,,
0,control_change,,,,,0,0,3,,,7,115,2,,,,,
0,key_signature,,,,,0,1,3,,,,,,,C,,,
0,track_name,,,,,0,1,3,,,,,,,,,,
0,key_signature,,,,,0,1,6,,,,,,,C,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 0)",,,,,,,,,
0,set_tempo,,,,,0,1,0,,535714,,,,,,,,
576,set_tempo,,,,,576,1,0,,659340,,,,,,,,
1152,time_signature,4,4,96,8,576,1,0,,,,,,,,,,
1200,control_change,,,,,1200,0,8,,,11,96,7,,,,,
1200,control_change,,,,,1200,0,9,,,11,96,8,,,,,
1248,control_change,,,,,1248,0,12,,,11,96,11,,,,,
1264,control_change,,,,,1264,0,4,,,11,96,3,,,,,
1264,control_change,,,,,1264,0,2,,,11,96,1,,,,,
1264,control_change,,,,,1264,0,13,,,11,96,12,,,,,
1264,control_change,,,,,1264,0,6,,,11,96,5,,,,,
1264,control_change,,,,,1264,0,11,,,11,96,10,,,,,
1264,control_change,,,,,1264,0,3,,,11,96,2,,,,,
1272,control_change,,,,,1272,0,1,,,11,96,0,,,,,
1272,control_change,,,,,1272,0,5,,,11,96,4,,,,,
1280,control_change,,,,,1280,0,7,,,11,96,6,,,,,
1376,pitchwheel,,,,,176,0,9,,,,,8,,,,,-128
1440,pitchwheel,,,,,176,0,11,,,,,10,,,,,384
1504,pitchwheel,,,,,240,0,3,,,,,2,,,,,-384
2688,note_on,,,,,0,0,12,,,,,11,,,47,25,
2688,control_change,,,,,1440,0,12,,,11,96,11,,,,,
2688,time_signature,3,4,96,8,1536,1,0,,,,,,,,,,
2704,note_on,,,,,0,0,13,,,,,12,,,35,26,
2704,control_change,,,,,1440,0,13,,,11,96,12,,,,,
3208,control_change,,,,,520,0,12,,,11,97,11,,,,,
3224,control_change,,,,,520,0,13,,,11,97,12,,,,,
3352,control_change,,,,,144,0,12,,,11,98,11,,,,,
3368,control_change,,,,,144,0,13,,,11,98,12,,,,,
3432,control_change,,,,,80,0,12,,,11,99,11,,,,,
3448,control_change,,,,,80,0,13,,,11,99,12,,,,,
3488,control_change,,,,,56,0,12,,,11,100,11,,,,,
3504,control_change,,,,,56,0,13,,,11,100,12,,,,,
3536,control_change,,,,,48,0,12,,,11,101,11,,,,,
3552,control_change,,,,,48,0,13,,,11,101,12,,,,,
3576,control_change,,,,,40,0,12,,,11,102,11,,,,,
3592,control_change,,,,,40,0,13,,,11,102,12,,,,,
3600,control_change,,,,,24,0,12,,,11,103,11,,,,,
3616,control_change,,,,,24,0,13,,,11,103,12,,,,,
3632,control_change,,,,,32,0,12,,,11,104,11,,,,,
3648,control_change,,,,,32,0,13,,,11,104,12,,,,,
3656,control_change,,,,,24,0,12,,,11,105,11,,,,,
3672,control_change,,,,,16,0,12,,,11,106,11,,,,,
3672,control_change,,,,,24,0,13,,,11,105,12,,,,,
3688,control_change,,,,,16,0,13,,,11,106,12,,,,,
3696,control_change,,,,,24,0,12,,,11,107,11,,,,,
3712,control_change,,,,,24,0,13,,,11,107,12,,,,,
3712,control_change,,,,,16,0,12,,,11,108,11,,,,,
3728,control_change,,,,,16,0,13,,,11,108,12,,,,,
3728,control_change,,,,,16,0,12,,,11,109,11,,,,,
3744,control_change,,,,,16,0,13,,,11,109,12,,,,,
3744,control_change,,,,,16,0,12,,,11,110,11,,,,,
3760,control_change,,,,,16,0,12,,,11,111,11,,,,,
3760,control_change,,,,,16,0,13,,,11,110,12,,,,,
3776,control_change,,,,,16,0,13,,,11,111,12,,,,,
3776,control_change,,,,,16,0,12,,,11,112,11,,,,,
3784,control_change,,,,,8,0,12,,,11,113,11,,,,,
3792,control_change,,,,,8,0,12,,,11,114,11,,,,,
3792,control_change,,,,,16,0,13,,,11,112,12,,,,,
3800,control_change,,,,,8,0,13,,,11,113,12,,,,,
3808,control_change,,,,,8,0,13,,,11,114,12,,,,,
3808,control_change,,,,,16,0,12,,,11,115,11,,,,,
3816,control_change,,,,,8,0,12,,,11,116,11,,,,,
3824,control_change,,,,,16,0,13,,,11,115,12,,,,,
3824,control_change,,,,,8,0,12,,,11,117,11,,,,,
3832,control_change,,,,,8,0,12,,,11,118,11,,,,,
3832,control_change,,,,,8,0,13,,,11,116,12,,,,,
3840,note_on,,,,,0,0,12,,,,,11,,,49,23,
3840,control_change,,,,,8,0,13,,,11,117,12,,,,,
3840,control_change,,,,,8,0,12,,,11,118,11,,,,,
3848,control_change,,,,,8,0,12,,,11,117,11,,,,,
3848,control_change,,,,,8,0,13,,,11,118,12,,,,,
3856,control_change,,,,,8,0,13,,,11,118,12,,,,,
3856,note_on,,,,,0,0,13,,,,,12,,,37,24,
3864,control_change,,,,,8,0,13,,,11,117,12,,,,,
3880,control_change,,,,,32,0,12,,,11,116,11,,,,,
3896,control_change,,,,,32,0,13,,,11,116,12,,,,,
3912,control_change,,,,,32,0,12,,,11,115,11,,,,,
3920,note_off,,,,,8,0,12,,,,,11,,,47,0,
3928,control_change,,,,,32,0,13,,,11,115,12,,,,,
3936,note_off,,,,,8,0,13,,,,,12,,,35,0,
3952,control_change,,,,,32,0,12,,,11,114,11,,,,,
3968,control_change,,,,,32,0,13,,,11,114,12,,,,,
3984,control_change,,,,,32,0,12,,,11,113,11,,,,,
4000,control_change,,,,,32,0,13,,,11,113,12,,,,,
4016,control_change,,,,,32,0,12,,,11,112,11,,,,,
4032,control_change,,,,,32,0,13,,,11,112,12,,,,,
4056,control_change,,,,,40,0,12,,,11,111,11,,,,,
4072,control_change,,,,,40,0,13,,,11,111,12,,,,,
4088,control_change,,,,,32,0,12,,,11,110,11,,,,,
4104,control_change,,,,,32,0,13,,,11,110,12,,,,,
4120,control_change,,,,,32,0,12,,,11,109,11,,,,,
4136,control_change,,,,,32,0,13,,,11,109,12,,,,,
