tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,data,note,velocity,pitch
0,set_tempo,789473,0,1,0,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,0,,,,,,,,
0,track_name,,0,1,14,,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,,
0,midi_port,,0,1,13,,,,,,0,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,0,,,,,,,,
0,track_name,,0,1,12,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,0,,,,,,,,
0,track_name,,0,1,11,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,0,,,,,,,,
0,track_name,,0,1,10,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,0,,,,,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,,
0,midi_port,,0,1,8,,,,,,0,,,,,,,,
0,track_name,,0,1,8,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,0,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,,
0,midi_port,,0,1,6,,,,,,0,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,0,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,0,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,
0,midi_port,,0,1,15,,,,,,0,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,E,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,,,
2,text,,2,1,10,,,,,,,,,,,,,,
2,text,,0,1,10,,,,,,,,,,,,,,
2,key_signature,,0,1,0,,,,,C,,,,,,,,,
2,key_signature,,2,1,0,,,,,G,,,,,,,,,
8,sysex,,6,0,10,,,,,,,,,,,"(65, 16, 22, 18, 127, 0, 0, 0, 1)",,,
8,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 21, 16, 75)",,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 19, 16, 77)",,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 18, 16, 78)",,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 13, 16, 83)",,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 16, 16, 80)",,,
14,text,,6,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 17, 16, 79)",,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 20, 16, 76)",,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 15, 16, 81)",,,
14,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 16, 0, 14, 16, 82)",,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
14,text,,0,1,10,,,,,,,,,,,,,,
20,text,,0,1,10,,,,,,,,,,,,,,
20,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 15, 16, 15)",,,
20,text,,0,1,10,,,,,,,,,,,,,,
20,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 13, 16, 17)",,,
20,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 14, 16, 16)",,,
20,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 11, 16, 19)",,,
20,text,,0,1,10,,,,,,,,,,,,,,
20,text,,6,1,10,,,,,,,,,,,,,,
20,text,,0,1,10,,,,,,,,,,,,,,
20,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 10, 16, 20)",,,
20,text,,0,1,10,,,,,,,,,,,,,,
20,text,,0,1,10,,,,,,,,,,,,,,
20,sysex,,0,0,10,,,,,,,,,,,"(65, 16, 22, 18, 82, 0, 12, 16, 18)",,,
20,text,,0,1,10,,,,,,,,,,,,,,
26,sysex,,6,0,10,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,
26,text,,0,1,10,,,,,,,,,,,,,,
26,text,,0,1,10,,,,,,,,,,,,,,
26,text,,0,1,10,,,,,,,,,,,,,,
32,text,,0,1,10,,,,,,,,,,,,,,
32,sysex,,6,0,10,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 6, 1)",,,
38,text,,0,1,10,,,,,,,,,,,,,,
38,sysex,,6,0,10,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 32, 97)",,,
44,text,,0,1,10,,,,,,,,,,,,,,
