tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,97,,
0,note_on,0,0,1,,,,,,,,,0,,,67,49
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,4,,,,,,,,,3,10,30,,
0,program_change,0,0,4,,,,,,,,0,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,,2,10,30,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,97,,
0,text,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,363636,,,,,,,
0,time_signature,0,1,0,5,16,6,8,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
30,note_on,30,0,1,,,,,,,,,0,,,67,0
30,note_on,0,0,1,,,,,,,,,0,,,67,49
90,note_on,60,0,1,,,,,,,,,0,,,67,0
90,note_on,0,0,1,,,,,,,,,0,,,69,49
150,note_on,150,0,3,,,,,,,,,2,,,48,36
150,note_on,60,0,1,,,,,,,,,0,,,69,0
150,note_on,0,0,1,,,,,,,,,0,,,67,49
150,time_signature,150,1,0,3,4,24,8,,,,,,,,,
270,note_on,0,0,3,,,,,,,,,2,,,55,36
270,note_on,0,0,3,,,,,,,,,2,,,60,36
270,note_on,0,0,3,,,,,,,,,2,,,64,36
270,note_on,120,0,1,,,,,,,,,0,,,67,0
270,note_on,120,0,3,,,,,,,,,2,,,48,0
270,note_on,0,0,1,,,,,,,,,0,,,76,49
270,note_on,0,0,1,,,,,,,,,0,,,79,49
282,note_on,12,0,3,,,,,,,,,2,,,64,0
282,note_on,0,0,3,,,,,,,,,2,,,60,0
282,note_on,0,0,3,,,,,,,,,2,,,55,0
390,note_on,0,0,1,,,,,,,,,0,,,67,49
390,note_on,0,0,1,,,,,,,,,0,,,76,0
390,note_on,0,0,3,,,,,,,,,2,,,60,36
390,note_on,108,0,3,,,,,,,,,2,,,55,36
390,note_on,120,0,1,,,,,,,,,0,,,79,0
390,note_on,0,0,3,,,,,,,,,2,,,64,36
402,note_on,0,0,3,,,,,,,,,2,,,55,0
402,note_on,0,0,3,,,,,,,,,2,,,60,0
402,note_on,12,0,3,,,,,,,,,2,,,64,0
450,note_on,0,0,1,,,,,,,,,0,,,69,49
450,note_on,60,0,1,,,,,,,,,0,,,67,0
510,note_on,0,0,1,,,,,,,,,0,,,67,49
510,note_on,108,0,3,,,,,,,,,2,,,48,36
