tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,93,0,7,,,
0,control_change,0,0,8,,,,,,,,93,0,7,,,
0,control_change,0,0,8,,,,,,,,91,0,7,,,
0,control_change,0,0,8,,,,,,,,91,0,7,,,
0,control_change,0,0,8,,,,,,,,10,63,7,,,
0,control_change,0,0,8,,,,,,,,7,127,7,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,93,0,6,,,
0,control_change,0,0,7,,,,,,,,93,0,6,,,
0,control_change,0,0,7,,,,,,,,91,0,6,,,
0,control_change,0,0,7,,,,,,,,91,0,6,,,
0,control_change,0,0,7,,,,,,,,10,63,6,,,
0,control_change,0,0,7,,,,,,,,7,127,6,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,control_change,0,0,9,,,,,,,,7,127,8,,,
0,control_change,0,0,9,,,,,,,,91,0,8,,,
0,control_change,0,0,11,,,,,,,,10,63,10,,,
0,control_change,0,0,11,,,,,,,,7,127,10,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,93,0,9,,,
0,control_change,0,0,10,,,,,,,,93,0,9,,,
0,control_change,0,0,10,,,,,,,,91,0,9,,,
0,control_change,0,0,10,,,,,,,,91,0,9,,,
0,control_change,0,0,10,,,,,,,,10,63,9,,,
0,control_change,0,0,10,,,,,,,,7,127,9,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,93,0,8,,,
0,control_change,0,0,9,,,,,,,,93,0,8,,,
0,control_change,0,0,9,,,,,,,,91,0,8,,,
0,control_change,0,0,9,,,,,,,,10,63,8,,,
0,control_change,0,0,11,,,,,,,,91,0,10,,,
0,control_change,0,0,6,,,,,,,,93,0,5,,,
0,control_change,0,0,6,,,,,,,,91,0,5,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,10,49,2,,,
0,control_change,0,0,3,,,,,,,,7,127,2,,,
0,program_change,0,0,3,,,,,,,,,,2,70,,
0,control_change,0,0,3,,,,,,,,32,0,2,,,
0,control_change,0,0,3,,,,,,,,0,0,2,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,18,,,,,,,,95,127,0,,,
0,control_change,0,0,2,,,,,,,,10,68,1,,,
0,control_change,0,0,2,,,,,,,,7,127,1,,,
0,program_change,0,0,2,,,,,,,,,,1,68,,
0,control_change,0,0,2,,,,,,,,32,0,1,,,
0,control_change,0,0,2,,,,,,,,0,0,1,,,
0,control_change,0,0,4,,,,,,,,7,127,3,,,
0,control_change,0,0,6,,,,,,,,93,0,5,,,
0,control_change,0,0,4,,,,,,,,10,63,3,,,
0,control_change,0,0,4,,,,,,,,91,0,3,,,
0,control_change,0,0,6,,,,,,,,91,0,5,,,
0,control_change,0,0,6,,,,,,,,10,63,5,,,
0,control_change,0,0,6,,,,,,,,7,127,5,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,5,,,,,,,,93,0,4,,,
0,control_change,0,0,5,,,,,,,,93,0,4,,,
0,control_change,0,0,5,,,,,,,,91,0,4,,,
0,control_change,0,0,5,,,,,,,,91,0,4,,,
0,control_change,0,0,5,,,,,,,,10,63,4,,,
0,control_change,0,0,5,,,,,,,,7,127,4,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,93,0,3,,,
0,control_change,0,0,4,,,,,,,,93,0,3,,,
0,control_change,0,0,4,,,,,,,,91,0,3,,,
0,control_change,0,0,11,,,,,,,,91,0,10,,,
0,control_change,0,0,11,,,,,,,,93,0,10,,,
0,control_change,0,0,11,,,,,,,,93,0,10,,,
0,control_change,0,0,17,,,,,,,,95,127,1,,,
0,control_change,0,0,17,,,,,,,,96,64,1,,,
0,control_change,0,0,17,,,,,,,,92,0,1,,,
0,control_change,0,0,17,,,,,,,,93,64,1,,,
0,control_change,0,0,17,,,,,,,,40,103,0,,,
0,control_change,0,0,17,,,,,,,,40,103,1,,,
0,control_change,0,0,17,,,,,,,,40,103,2,,,
0,control_change,0,0,17,,,,,,,,40,103,3,,,
0,control_change,0,0,17,,,,,,,,40,103,4,,,
0,control_change,0,0,17,,,,,,,,40,103,5,,,
0,control_change,0,0,17,,,,,,,,93,64,0,,,
0,control_change,0,0,17,,,,,,,,91,0,0,,,
0,midi_port,0,1,17,,,,,,,0,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,,
0,control_change,0,0,16,,,,,,,,93,0,15,,,
0,control_change,0,0,17,,,,,,,,92,0,0,,,
0,control_change,0,0,16,,,,,,,,93,0,15,,,
0,control_change,0,0,17,,,,,,,,96,64,0,,,
0,end_of_track,0,1,17,,,,,,,,,,,,,
0,control_change,0,0,18,,,,,,,,96,64,0,,,
0,control_change,0,0,18,,,,,,,,92,0,0,,,
0,control_change,0,0,18,,,,,,,,93,64,0,,,
0,control_change,0,0,18,,,,,,,,95,127,1,,,
0,control_change,0,0,18,,,,,,,,96,64,1,,,
0,control_change,0,0,18,,,,,,,,92,0,1,,,
0,control_change,0,0,18,,,,,,,,93,64,1,,,
0,control_change,0,0,18,,,,,,,,40,103,0,,,
0,control_change,0,0,18,,,,,,,,40,103,1,,,
0,control_change,0,0,18,,,,,,,,40,103,2,,,
0,control_change,0,0,18,,,,,,,,40,103,3,,,
0,control_change,0,0,18,,,,,,,,40,103,4,,,
0,control_change,0,0,18,,,,,,,,40,103,5,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,midi_port,0,1,18,,,,,,,0,,,,,,
0,control_change,0,0,17,,,,,,,,95,127,0,,,
0,control_change,0,0,16,,,,,,,,91,0,15,,,
0,control_change,0,0,16,,,,,,,,91,0,15,,,
0,control_change,0,0,16,,,,,,,,10,63,15,,,
0,control_change,0,0,13,,,,,,,,93,0,12,,,
0,control_change,0,0,13,,,,,,,,91,0,12,,,
0,control_change,0,0,13,,,,,,,,91,0,12,,,
0,control_change,0,0,13,,,,,,,,10,63,12,,,
0,control_change,0,0,13,,,,,,,,7,127,12,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,93,0,11,,,
0,control_change,0,0,12,,,,,,,,93,0,11,,,
0,control_change,0,0,12,,,,,,,,91,0,11,,,
0,control_change,0,0,12,,,,,,,,91,0,11,,,
0,control_change,0,0,12,,,,,,,,10,63,11,,,
0,control_change,0,0,12,,,,,,,,7,127,11,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,93,0,12,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,control_change,0,0,14,,,,,,,,7,127,13,,,
0,control_change,0,0,16,,,,,,,,7,127,15,,,
0,midi_port,0,1,16,,,,,,,0,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,93,0,14,,,
0,control_change,0,0,15,,,,,,,,93,0,14,,,
0,control_change,0,0,15,,,,,,,,91,0,14,,,
0,control_change,0,0,15,,,,,,,,91,0,14,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,10,63,14,,,
