tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,control,value,channel,program,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,2,,F,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,10,64,1,,,
0,control_change,0,0,2,,,,,,,,7,127,1,,,
0,program_change,0,0,2,,,,,,,,,,1,25,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,7,110,4,,,
0,control_change,0,0,5,,,,,,,,10,64,4,,,
0,program_change,0,0,5,,,,,,,,,,4,48,,
0,key_signature,0,1,5,,F,,,,,,,,,,,
0,time_signature,0,1,5,,,2,4,24,8,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,7,90,6,,,
0,control_change,0,0,6,,,,,,,,10,64,6,,,
0,program_change,0,0,6,,,,,,,,,,6,48,,
0,time_signature,0,1,2,,,2,4,24,8,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,,,7,6,,
0,time_signature,0,1,3,,,2,4,24,8,,,,,,,
0,key_signature,0,1,3,,F,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,2,48,,
0,control_change,0,0,3,,,,,,,,10,127,2,,,
0,control_change,0,0,3,,,,,,,,7,127,2,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,key_signature,0,1,6,,F,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,10,0,5,,,
0,program_change,0,0,4,,,,,,,,,,5,48,,
0,key_signature,0,1,4,,F,,,,,,,,,,,
0,time_signature,0,1,4,,,2,4,24,8,,,,,,,
0,time_signature,0,1,7,,,2,4,24,8,,,,,,,
0,key_signature,0,1,7,,F,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,10,64,7,,,
0,control_change,0,0,7,,,,,,,,7,90,7,,,
0,control_change,0,0,4,,,,,,,,7,127,5,,,
0,time_signature,0,1,6,,,2,4,24,8,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
