tick,type,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,2,10,0,,
0,control_change,0,0,5,,,,,,,,,2,7,127,,
0,program_change,0,0,5,,,,,,,,48,2,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,time_signature,0,1,4,,4,4,24,8,,,,,,,,
0,key_signature,0,1,4,A,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,1,10,127,,
0,control_change,0,0,4,,,,,,,,,1,7,127,,
0,program_change,0,0,4,,,,,,,,48,1,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,key_signature,0,1,5,A,,,,,,,,,,,,
0,time_signature,0,1,3,,4,4,24,8,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,10,0,,
0,control_change,0,0,3,,,,,,,,,0,7,127,,
0,program_change,0,0,3,,,,,,,,48,0,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,10,,,,,,,,,9,10,64,,
0,time_signature,0,1,2,,4,4,24,8,,,,,,,,
0,key_signature,0,1,2,A,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,6,10,64,,
0,control_change,0,0,2,,,,,,,,,6,7,127,,
0,program_change,0,0,2,,,,,,,,6,6,,,,
0,program_change,0,0,2,,,,,,,,6,6,,,,
0,key_signature,0,1,3,A,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,time_signature,0,1,5,,4,4,24,8,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,9,7,127,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,8,10,64,,
0,control_change,0,0,9,,,,,,,,,8,7,127,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,10,64,,
0,control_change,0,0,8,,,,,,,,,7,7,127,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,program_change,0,0,7,,,,,,,,48,10,,,,
0,key_signature,0,1,7,A,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,10,10,64,,
0,control_change,0,0,7,,,,,,,,,10,7,127,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,time_signature,0,1,6,,4,4,24,8,,,,,,,,
0,key_signature,0,1,6,A,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,3,10,64,,
0,control_change,0,0,6,,,,,,,,,3,7,127,,
0,program_change,0,0,6,,,,,,,,48,3,,,,
0,program_change,0,0,6,,,,,,,,48,3,,,,
0,time_signature,0,1,7,,4,4,24,8,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,6,5,,,,
0,program_change,0,0,1,,,,,,,,6,5,,,,
0,control_change,0,0,1,,,,,,,,,5,7,127,,
0,control_change,0,0,1,,,,,,,,,5,10,64,,
0,key_signature,0,1,1,A,,,,,,,,,,,,
0,time_signature,0,1,1,,4,4,24,8,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,,
0,key_signature,0,1,0,A,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
768,note_on,768,0,1,,,,,,,,,5,,,69,110
768,note_on,768,0,3,,,,,,,,,0,,,69,60
768,note_on,768,0,2,,,,,,,,,6,,,57,110
768,set_tempo,768,1,0,,,,,,521739,,,,,,,
768,note_on,768,0,4,,,,,,,,,1,,,69,60
768,note_on,768,0,6,,,,,,,,,3,,,57,60
768,note_on,768,0,7,,,,,,,,,10,,,45,60
862,note_on,94,0,4,,,,,,,,,1,,,69,0
862,note_on,94,0,3,,,,,,,,,0,,,69,0
862,note_on,94,0,7,,,,,,,,,10,,,45,0
862,note_on,94,0,1,,,,,,,,,5,,,69,0
862,note_on,94,0,2,,,,,,,,,6,,,57,0
862,note_on,94,0,6,,,,,,,,,3,,,57,0
864,note_on,2,0,3,,,,,,,,,0,,,57,60
864,note_on,2,0,4,,,,,,,,,1,,,57,60
864,note_on,2,0,1,,,,,,,,,5,,,57,110
864,note_on,2,0,6,,,,,,,,,3,,,45,60
864,note_on,2,0,2,,,,,,,,,6,,,45,110
864,note_on,2,0,7,,,,,,,,,10,,,33,60
896,note_on,32,0,1,,,,,,,,,5,,,57,0
896,note_on,32,0,6,,,,,,,,,3,,,45,0
896,note_on,32,0,7,,,,,,,,,10,,,33,0
896,note_on,32,0,3,,,,,,,,,0,,,57,0
896,note_on,32,0,4,,,,,,,,,1,,,57,0
896,note_on,32,0,2,,,,,,,,,6,,,45,0
960,note_on,64,0,2,,,,,,,,,6,,,45,110
960,note_on,64,0,1,,,,,,,,,5,,,57,110
960,note_on,64,0,6,,,,,,,,,3,,,45,60
960,note_on,64,0,7,,,,,,,,,10,,,33,60
960,note_on,64,0,3,,,,,,,,,0,,,57,60
960,note_on,64,0,4,,,,,,,,,1,,,57,60
992,note_on,32,0,1,,,,,,,,,5,,,57,0
992,note_on,32,0,6,,,,,,,,,3,,,45,0
992,note_on,32,0,4,,,,,,,,,1,,,57,0
992,note_on,32,0,3,,,,,,,,,0,,,57,0
992,note_on,32,0,2,,,,,,,,,6,,,45,0
992,note_on,32,0,7,,,,,,,,,10,,,33,0
1056,note_on,64,0,4,,,,,,,,,1,,,57,60
1056,note_on,64,0,2,,,,,,,,,6,,,45,110
1056,note_on,64,0,6,,,,,,,,,3,,,45,60
1056,note_on,64,0,7,,,,,,,,,10,,,33,60
1056,note_on,64,0,3,,,,,,,,,0,,,57,60
1056,note_on,64,0,1,,,,,,,,,5,,,57,110
1088,note_on,32,0,1,,,,,,,,,5,,,57,0
1088,note_on,32,0,4,,,,,,,,,1,,,57,0
1088,note_on,32,0,3,,,,,,,,,0,,,57,0
1088,note_on,32,0,2,,,,,,,,,6,,,45,0
1088,note_on,32,0,7,,,,,,,,,10,,,33,0
1088,note_on,32,0,6,,,,,,,,,3,,,45,0
1152,note_on,64,0,1,,,,,,,,,5,,,57,110
1152,note_on,64,0,6,,,,,,,,,3,,,45,60
1152,note_on,64,0,7,,,,,,,,,10,,,33,60
1152,note_on,64,0,4,,,,,,,,,1,,,57,60
1152,note_on,64,0,2,,,,,,,,,6,,,45,110
1152,note_on,64,0,3,,,,,,,,,0,,,57,60
1312,note_on,160,0,1,,,,,,,,,5,,,57,0
1312,note_on,160,0,7,,,,,,,,,10,,,33,0
1312,note_on,160,0,6,,,,,,,,,3,,,45,0
1312,note_on,160,0,4,,,,,,,,,1,,,57,0
1312,note_on,160,0,3,,,,,,,,,0,,,57,0
1312,note_on,160,0,2,,,,,,,,,6,,,45,0
1392,note_on,80,0,3,,,,,,,,,0,,,64,60
1392,note_on,80,0,2,,,,,,,,,6,,,52,110
1392,note_on,80,0,7,,,,,,,,,10,,,40,60
1392,note_on,80,0,4,,,,,,,,,1,,,64,60
1392,note_on,80,0,1,,,,,,,,,5,,,64,110
1392,note_on,80,0,6,,,,,,,,,3,,,52,60
1438,note_on,46,0,1,,,,,,,,,5,,,64,0
1438,note_on,46,0,4,,,,,,,,,1,,,64,0
1438,note_on,46,0,3,,,,,,,,,0,,,64,0
1438,note_on,46,0,6,,,,,,,,,3,,,52,0
1438,note_on,46,0,7,,,,,,,,,10,,,40,0
1438,note_on,46,0,2,,,,,,,,,6,,,52,0
1440,note_on,2,0,2,,,,,,,,,6,,,54,110
1440,note_on,2,0,6,,,,,,,,,3,,,54,60
1440,note_on,2,0,3,,,,,,,,,0,,,66,60
1440,note_on,2,0,7,,,,,,,,,10,,,42,60
1440,note_on,2,0,1,,,,,,,,,5,,,66,110
1440,note_on,2,0,4,,,,,,,,,1,,,66,60
1486,note_on,46,0,1,,,,,,,,,5,,,66,0
1486,note_on,46,0,7,,,,,,,,,10,,,42,0
1486,note_on,46,0,4,,,,,,,,,1,,,66,0
1486,note_on,46,0,6,,,,,,,,,3,,,54,0
1486,note_on,46,0,2,,,,,,,,,6,,,54,0
1486,note_on,46,0,3,,,,,,,,,0,,,66,0
1488,note_on,2,0,3,,,,,,,,,0,,,68,60
1488,note_on,2,0,7,,,,,,,,,10,,,44,60
1488,note_on,2,0,6,,,,,,,,,3,,,56,60
1488,note_on,2,0,1,,,,,,,,,5,,,68,110
1488,note_on,2,0,4,,,,,,,,,1,,,68,60
1488,note_on,2,0,2,,,,,,,,,6,,,56,110
1534,note_on,46,0,3,,,,,,,,,0,,,68,0
1534,note_on,46,0,2,,,,,,,,,6,,,56,0
1534,note_on,46,0,1,,,,,,,,,5,,,68,0
1534,note_on,46,0,6,,,,,,,,,3,,,56,0
1534,note_on,46,0,7,,,,,,,,,10,,,44,0
1534,note_on,46,0,4,,,,,,,,,1,,,68,0
1536,note_on,2,0,6,,,,,,,,,3,,,57,60
1536,note_on,2,0,2,,,,,,,,,6,,,57,110
1536,note_on,2,0,4,,,,,,,,,1,,,69,60
1536,note_on,2,0,3,,,,,,,,,0,,,69,60
1536,note_on,2,0,7,,,,,,,,,10,,,45,60
1536,note_on,2,0,1,,,,,,,,,5,,,69,110
1630,note_on,94,0,3,,,,,,,,,0,,,69,0
1630,note_on,94,0,6,,,,,,,,,3,,,57,0
1630,note_on,94,0,1,,,,,,,,,5,,,69,0
1630,note_on,94,0,2,,,,,,,,,6,,,57,0
1630,note_on,94,0,7,,,,,,,,,10,,,45,0
1630,note_on,94,0,4,,,,,,,,,1,,,69,0
1632,note_on,2,0,4,,,,,,,,,1,,,57,60
1632,note_on,2,0,6,,,,,,,,,3,,,45,60
1632,note_on,2,0,1,,,,,,,,,5,,,57,110
1632,note_on,2,0,2,,,,,,,,,6,,,45,110
1632,note_on,2,0,7,,,,,,,,,10,,,33,60
1632,note_on,2,0,3,,,,,,,,,0,,,57,60
1664,note_on,32,0,6,,,,,,,,,3,,,45,0
1664,note_on,32,0,7,,,,,,,,,10,,,33,0
1664,note_on,32,0,4,,,,,,,,,1,,,57,0
1664,note_on,32,0,2,,,,,,,,,6,,,45,0
1664,note_on,32,0,3,,,,,,,,,0,,,57,0
1664,note_on,32,0,1,,,,,,,,,5,,,57,0
1728,note_on,64,0,6,,,,,,,,,3,,,45,60
1728,note_on,64,0,4,,,,,,,,,1,,,57,60
1728,note_on,64,0,1,,,,,,,,,5,,,57,110
1728,note_on,64,0,7,,,,,,,,,10,,,33,60
1728,note_on,64,0,2,,,,,,,,,6,,,45,110
1728,note_on,64,0,3,,,,,,,,,0,,,57,60
1760,note_on,32,0,1,,,,,,,,,5,,,57,0
1760,note_on,32,0,2,,,,,,,,,6,,,45,0
1760,note_on,32,0,6,,,,,,,,,3,,,45,0
1760,note_on,32,0,7,,,,,,,,,10,,,33,0
1760,note_on,32,0,4,,,,,,,,,1,,,57,0
1760,note_on,32,0,3,,,,,,,,,0,,,57,0
1824,note_on,64,0,6,,,,,,,,,3,,,45,60
1824,note_on,64,0,2,,,,,,,,,6,,,45,110
1824,note_on,64,0,1,,,,,,,,,5,,,57,110
1824,note_on,64,0,7,,,,,,,,,10,,,33,60
1824,note_on,64,0,3,,,,,,,,,0,,,57,60
1824,note_on,64,0,4,,,,,,,,,1,,,57,60
1856,note_on,32,0,4,,,,,,,,,1,,,57,0
1856,note_on,32,0,6,,,,,,,,,3,,,45,0
1856,note_on,32,0,1,,,,,,,,,5,,,57,0
1856,note_on,32,0,7,,,,,,,,,10,,,33,0
1856,note_on,32,0,3,,,,,,,,,0,,,57,0
1856,note_on,32,0,2,,,,,,,,,6,,,45,0
1920,note_on,64,0,1,,,,,,,,,5,,,57,110
1920,note_on,64,0,2,,,,,,,,,6,,,45,110
1920,note_on,64,0,6,,,,,,,,,3,,,45,60
1920,note_on,64,0,4,,,,,,,,,1,,,57,60
1920,note_on,64,0,3,,,,,,,,,0,,,57,60
1920,note_on,64,0,7,,,,,,,,,10,,,33,60
2080,note_on,160,0,7,,,,,,,,,10,,,33,0
2080,note_on,160,0,1,,,,,,,,,5,,,57,0
2080,note_on,160,0,6,,,,,,,,,3,,,45,0
2080,note_on,160,0,4,,,,,,,,,1,,,57,0
2080,note_on,160,0,3,,,,,,,,,0,,,57,0
2080,note_on,160,0,2,,,,,,,,,6,,,45,0
2160,note_on,80,0,4,,,,,,,,,1,,,64,60
2160,note_on,80,0,3,,,,,,,,,0,,,64,60
2160,note_on,80,0,7,,,,,,,,,10,,,40,60
2160,note_on,80,0,2,,,,,,,,,6,,,52,110
2160,note_on,80,0,1,,,,,,,,,5,,,64,110
2160,note_on,80,0,6,,,,,,,,,3,,,52,60
2206,note_on,46,0,7,,,,,,,,,10,,,40,0
2206,note_on,46,0,2,,,,,,,,,6,,,52,0
2206,note_on,46,0,3,,,,,,,,,0,,,64,0
2206,note_on,46,0,4,,,,,,,,,1,,,64,0
2206,note_on,46,0,6,,,,,,,,,3,,,52,0
2206,note_on,46,0,1,,,,,,,,,5,,,64,0
2208,note_on,2,0,3,,,,,,,,,0,,,66,60
2208,note_on,2,0,6,,,,,,,,,3,,,54,60
2208,note_on,2,0,7,,,,,,,,,10,,,42,60
2208,note_on,2,0,4,,,,,,,,,1,,,66,60
2208,note_on,2,0,1,,,,,,,,,5,,,66,110
2208,note_on,2,0,2,,,,,,,,,6,,,54,110
2254,note_on,46,0,1,,,,,,,,,5,,,66,0
2254,note_on,46,0,6,,,,,,,,,3,,,54,0
2254,note_on,46,0,4,,,,,,,,,1,,,66,0
2254,note_on,46,0,3,,,,,,,,,0,,,66,0
2254,note_on,46,0,2,,,,,,,,,6,,,54,0
2254,note_on,46,0,7,,,,,,,,,10,,,42,0
2256,note_on,2,0,6,,,,,,,,,3,,,56,60
2256,note_on,2,0,2,,,,,,,,,6,,,56,110
2256,note_on,2,0,4,,,,,,,,,1,,,68,60
2256,note_on,2,0,7,,,,,,,,,10,,,44,60
2256,note_on,2,0,1,,,,,,,,,5,,,68,110
2256,note_on,2,0,3,,,,,,,,,0,,,68,60
2302,note_on,46,0,2,,,,,,,,,6,,,56,0
2302,note_on,46,0,4,,,,,,,,,1,,,68,0
2302,note_on,46,0,7,,,,,,,,,10,,,44,0
2302,note_on,46,0,3,,,,,,,,,0,,,68,0
2302,note_on,46,0,6,,,,,,,,,3,,,56,0
2302,note_on,46,0,1,,,,,,,,,5,,,68,0
2304,note_on,2,0,1,,,,,,,,,5,,,69,110
2304,note_on,2,0,4,,,,,,,,,1,,,69,60
2304,note_on,2,0,6,,,,,,,,,3,,,57,60
2304,note_on,2,0,3,,,,,,,,,0,,,69,60
2304,note_on,2,0,7,,,,,,,,,10,,,45,60
2304,note_on,2,0,2,,,,,,,,,6,,,57,110
2350,note_on,46,0,3,,,,,,,,,0,,,69,0
2350,note_on,46,0,1,,,,,,,,,5,,,69,0
2350,note_on,46,0,6,,,,,,,,,3,,,57,0
2350,note_on,46,0,7,,,,,,,,,10,,,45,0
2350,note_on,46,0,4,,,,,,,,,1,,,69,0
2350,note_on,46,0,2,,,,,,,,,6,,,57,0
2352,note_on,2,0,4,,,,,,,,,1,,,69,60
2352,note_on,2,0,7,,,,,,,,,10,,,45,60
2352,note_on,2,0,3,,,,,,,,,0,,,69,60
2352,note_on,2,0,2,,,,,,,,,6,,,57,110
2352,note_on,2,0,1,,,,,,,,,5,,,69,110
2352,note_on,2,0,6,,,,,,,,,3,,,57,60
2398,note_on,46,0,4,,,,,,,,,1,,,69,0
2398,note_on,46,0,1,,,,,,,,,5,,,69,0
2398,note_on,46,0,7,,,,,,,,,10,,,45,0
2398,note_on,46,0,6,,,,,,,,,3,,,57,0
2398,note_on,46,0,2,,,,,,,,,6,,,57,0
2398,note_on,46,0,3,,,,,,,,,0,,,69,0
2400,note_on,2,0,7,,,,,,,,,10,,,47,60
2400,note_on,2,0,1,,,,,,,,,5,,,71,110
2400,note_on,2,0,2,,,,,,,,,6,,,59,110
2400,note_on,2,0,3,,,,,,,,,0,,,71,60
2400,note_on,2,0,4,,,,,,,,,1,,,71,60
2400,note_on,2,0,6,,,,,,,,,3,,,59,60
2446,note_on,46,0,1,,,,,,,,,5,,,71,0
2446,note_on,46,0,7,,,,,,,,,10,,,47,0
2446,note_on,46,0,4,,,,,,,,,1,,,71,0
2446,note_on,46,0,6,,,,,,,,,3,,,59,0
2446,note_on,46,0,3,,,,,,,,,0,,,71,0
2446,note_on,46,0,2,,,,,,,,,6,,,59,0
2448,note_on,2,0,7,,,,,,,,,10,,,47,60
2448,note_on,2,0,6,,,,,,,,,3,,,59,60
