tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,3,4,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,16,,,7,55,7,,,,
0,program_change,,,,,0,0,16,,,,,7,6,,,
0,control_change,,,,,0,0,16,,,0,0,7,,,,
0,track_name,,,,,0,1,16,,,,,,,,,
0,track_name,,,,,0,1,9,,,,,,,,,
0,control_change,,,,,0,0,9,,,0,0,1,,,,
0,program_change,,,,,0,0,9,,,,,1,48,,,
0,control_change,,,,,0,0,9,,,7,100,1,,,,
0,control_change,,,,,0,0,9,,,10,45,1,,,,
0,control_change,,,,,0,0,9,,,91,60,1,,,,
0,key_signature,,,,,0,1,9,,,,,,,D,,
0,control_change,,,,,0,0,12,,,0,0,4,,,,
0,note_on,,,,,0,0,15,,,,,7,,,66,100
0,note_on,,,,,0,0,15,,,,,7,,,69,100
0,key_signature,,,,,0,1,15,,,,,,,D,,
0,control_change,,,,,0,0,16,,,91,62,7,,,,
0,key_signature,,,,,0,1,16,,,,,,,D,,
0,note_on,,,,,0,0,16,,,,,7,,,50,100
0,key_signature,,,,,0,1,8,,,,,,,D,,
0,key_signature,,,,,0,1,6,,,,,,,D,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,0,,,,
0,program_change,,,,,0,0,7,,,,,0,48,,,
0,control_change,,,,,0,0,7,,,7,100,0,,,,
0,control_change,,,,,0,0,7,,,10,54,0,,,,
0,control_change,,,,,0,0,15,,,91,62,7,,,,
0,control_change,,,,,0,0,7,,,91,61,0,,,,
0,end_of_track,,,,,0,1,7,,,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,control_change,,,,,0,0,8,,,0,0,0,,,,
0,program_change,,,,,0,0,8,,,,,0,48,,,
0,control_change,,,,,0,0,8,,,7,100,0,,,,
0,control_change,,,,,0,0,8,,,10,54,0,,,,
0,control_change,,,,,0,0,8,,,91,61,0,,,,
0,key_signature,,,,,0,1,7,,,,,,,D,,
0,control_change,,,,,0,0,6,,,91,61,0,,,,
0,control_change,,,,,0,0,15,,,7,55,7,,,,
0,control_change,,,,,0,0,15,,,0,0,7,,,,
0,control_change,,,,,0,0,13,,,7,77,5,,,,
0,program_change,,,,,0,0,13,,,,,5,48,,,
0,control_change,,,,,0,0,13,,,0,0,5,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,track_name,,,,,0,1,11,,,,,,,,,
0,control_change,,,,,0,0,11,,,0,0,3,,,,
0,program_change,,,,,0,0,11,,,,,3,48,,,
0,control_change,,,,,0,0,11,,,7,100,3,,,,
0,control_change,,,,,0,0,11,,,10,36,3,,,,
0,control_change,,,,,0,0,11,,,91,65,3,,,,
0,key_signature,,,,,0,1,11,,,,,,,D,,
0,key_signature,,,,,0,1,12,,,,,,,D,,
0,control_change,,,,,0,0,12,,,91,66,4,,,,
0,control_change,,,,,0,0,12,,,7,92,4,,,,
