tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,note,velocity
0,time_signature,2,4,96,8,0,1,0,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,0,,,
0,program_change,,,,,0,0,7,,,,,0,40,,
0,control_change,,,,,0,0,7,,,7,100,0,,,
0,control_change,,,,,0,0,7,,,10,59,0,,,
0,control_change,,,,,0,0,7,,,91,63,0,,,
0,end_of_track,,,,,0,1,7,,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,,
0,control_change,,,,,0,0,8,,,0,0,0,,,
0,program_change,,,,,0,0,8,,,,,0,40,,
0,control_change,,,,,0,0,8,,,7,100,0,,,
0,control_change,,,,,0,0,8,,,10,59,0,,,
0,control_change,,,,,0,0,8,,,91,63,0,,,
0,note_on,,,,,0,0,14,,,,,5,,45,100
0,control_change,,,,,0,0,6,,,91,63,0,,,
0,control_change,,,,,0,0,6,,,10,59,0,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,
0,program_change,,,,,0,0,6,,,,,0,40,,
0,track_name,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,0,,,
0,program_change,,,,,0,0,4,,,,,0,40,,
0,control_change,,,,,0,0,4,,,7,100,0,,,
0,control_change,,,,,0,0,4,,,10,59,0,,,
0,control_change,,,,,0,0,4,,,91,63,0,,,
0,end_of_track,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,14,,,91,60,5,,,
0,track_name,,,,,0,1,5,,,,,,,,
0,program_change,,,,,0,0,5,,,,,0,40,,
0,control_change,,,,,0,0,5,,,7,100,0,,,
0,control_change,,,,,0,0,5,,,10,59,0,,,
0,control_change,,,,,0,0,5,,,91,63,0,,,
0,end_of_track,,,,,0,1,5,,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,
0,control_change,,,,,0,0,6,,,0,0,0,,,
0,control_change,,,,,0,0,5,,,0,0,0,,,
0,end_of_track,,,,,0,1,3,,,,,,,,
0,control_change,,,,,0,0,14,,,10,73,5,,,
0,program_change,,,,,0,0,14,,,,,5,6,,
0,control_change,,,,,0,0,11,,,10,84,3,,,
0,control_change,,,,,0,0,11,,,7,82,3,,,
0,program_change,,,,,0,0,11,,,,,3,48,,
0,control_change,,,,,0,0,11,,,0,0,3,,,
0,track_name,,,,,0,1,11,,,,,,,,
0,note_on,,,,,0,0,10,,,,,2,,60,100
0,control_change,,,,,0,0,10,,,91,66,2,,,
0,control_change,,,,,0,0,10,,,7,95,2,,,
0,program_change,,,,,0,0,10,,,,,2,48,,
0,control_change,,,,,0,0,10,,,0,0,2,,,
0,track_name,,,,,0,1,10,,,,,,,,
0,control_change,,,,,0,0,9,,,91,67,1,,,
0,control_change,,,,,0,0,9,,,10,45,1,,,
0,control_change,,,,,0,0,9,,,7,100,1,,,
0,program_change,,,,,0,0,9,,,,,1,48,,
0,control_change,,,,,0,0,11,,,91,66,3,,,
0,note_on,,,,,0,0,11,,,,,3,,45,100
0,track_name,,,,,0,1,12,,,,,,,,
0,control_change,,,,,0,0,12,,,0,0,4,,,
0,control_change,,,,,0,0,14,,,0,0,5,,,
0,track_name,,,,,0,1,14,,,,,,,,
0,note_on,,,,,0,0,13,,,,,5,,64,100
0,note_on,,,,,0,0,13,,,,,5,,60,100
0,control_change,,,,,0,0,13,,,91,60,5,,,
0,control_change,,,,,0,0,13,,,10,73,5,,,
0,control_change,,,,,0,0,13,,,7,55,5,,,
0,control_change,,,,,0,0,14,,,7,55,5,,,
0,program_change,,,,,0,0,13,,,,,5,6,,
0,track_name,,,,,0,1,13,,,,,,,,
0,control_change,,,,,0,0,9,,,0,0,1,,,
0,note_on,,,,,0,0,12,,,,,4,,33,100
0,control_change,,,,,0,0,12,,,91,61,4,,,
0,control_change,,,,,0,0,12,,,10,97,4,,,
0,control_change,,,,,0,0,12,,,7,77,4,,,
0,program_change,,,,,0,0,12,,,,,4,48,,
0,control_change,,,,,0,0,13,,,0,0,5,,,
0,program_change,,,,,0,0,3,,,,,0,40,,
0,track_name,,,,,0,1,9,,,,,,,,
0,control_change,,,,,0,0,3,,,10,59,0,,,
0,control_change,,,,,0,0,3,,,91,63,0,,,
0,set_tempo,,,,,0,1,0,,500000,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 119, 14, 1)",,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,
0,end_of_track,,,,,0,1,1,,,,,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,
0,end_of_track,,,,,0,1,2,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,
0,control_change,,,,,0,0,3,,,0,0,0,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,
0,track_name,,,,,0,1,2,,,,,,,,
192,note_on,,,,,192,0,9,,,,,1,,76,100
256,note_off,,,,,256,0,14,,,,,5,,45,100
256,note_off,,,,,256,0,13,,,,,5,,60,100
256,note_off,,,,,0,0,13,,,,,5,,64,100
256,note_off,,,,,256,0,11,,,,,3,,45,100
256,note_off,,,,,256,0,10,,,,,2,,60,100
256,note_off,,,,,256,0,12,,,,,4,,33,100
320,note_off,,,,,128,0,9,,,,,1,,76,100
384,note_on,,,,,64,0,9,,,,,1,,81,100
512,note_off,,,,,128,0,9,,,,,1,,81,100
576,note_on,,,,,320,0,12,,,,,4,,44,100
576,note_on,,,,,320,0,10,,,,,2,,64,100
576,note_on,,,,,320,0,11,,,,,3,,44,100
576,note_on,,,,,0,0,13,,,,,5,,59,100
576,note_on,,,,,320,0,13,,,,,5,,64,100
576,note_on,,,,,64,0,9,,,,,1,,83,100
576,note_on,,,,,320,0,14,,,,,5,,44,100
704,note_off,,,,,128,0,14,,,,,5,,44,100
704,note_off,,,,,128,0,12,,,,,4,,44,100
704,note_off,,,,,128,0,11,,,,,3,,44,100
704,note_off,,,,,0,0,13,,,,,5,,59,100
704,note_off,,,,,128,0,9,,,,,1,,83,100
704,note_off,,,,,128,0,13,,,,,5,,64,100
704,note_off,,,,,128,0,10,,,,,2,,64,100
768,note_on,,,,,64,0,14,,,,,5,,45,100
768,note_on,,,,,64,0,10,,,,,2,,64,100
768,note_on,,,,,64,0,11,,,,,3,,45,100
768,note_on,,,,,64,0,9,,,,,1,,84,100
768,note_on,,,,,64,0,13,,,,,5,,60,100
768,note_on,,,,,64,0,12,,,,,4,,33,100
768,note_on,,,,,0,0,13,,,,,5,,64,100
896,note_off,,,,,128,0,14,,,,,5,,45,100
896,note_off,,,,,0,0,13,,,,,5,,64,100
896,note_off,,,,,128,0,13,,,,,5,,60,100
896,note_off,,,,,128,0,12,,,,,4,,33,100
896,note_off,,,,,128,0,10,,,,,2,,64,100
896,note_off,,,,,128,0,9,,,,,1,,84,100
896,note_off,,,,,128,0,11,,,,,3,,45,100
960,note_on,,,,,64,0,14,,,,,5,,50,100
960,note_on,,,,,0,0,13,,,,,5,,69,100
960,note_on,,,,,64,0,11,,,,,3,,50,100
960,note_on,,,,,64,0,12,,,,,4,,38,100
960,note_on,,,,,64,0,13,,,,,5,,60,100
1088,note_off,,,,,128,0,11,,,,,3,,50,100
1088,note_off,,,,,128,0,12,,,,,4,,38,100
1088,note_off,,,,,0,0,13,,,,,5,,69,100
1088,note_off,,,,,128,0,13,,,,,5,,60,100
1088,note_off,,,,,128,0,14,,,,,5,,50,100
1152,note_on,,,,,64,0,14,,,,,5,,52,100
1152,note_on,,,,,64,0,11,,,,,3,,52,100
1152,note_on,,,,,64,0,13,,,,,5,,68,100
1152,note_on,,,,,0,0,13,,,,,5,,71,100
1152,note_on,,,,,256,0,9,,,,,1,,83,100
