tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,3,4,96,8,0,1,0,,,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,,,
0,control_change,,,,,0,0,12,,,0,0,5,,,,
0,program_change,,,,,0,0,12,,,,,5,48,,,
0,control_change,,,,,0,0,12,,,7,77,5,,,,
0,control_change,,,,,0,0,12,,,10,89,5,,,,
0,control_change,,,,,0,0,12,,,91,66,5,,,,
0,key_signature,,,,,0,1,12,,,,,,,D,,
0,note_on,,,,,0,0,12,,,,,5,,,38,70
0,control_change,,,,,0,0,8,,,0,0,1,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,control_change,,,,,0,0,13,,,0,0,6,,,,
0,program_change,,,,,0,0,13,,,,,6,6,,,
0,control_change,,,,,0,0,13,,,7,55,6,,,,
0,control_change,,,,,0,0,13,,,91,62,6,,,,
0,key_signature,,,,,0,1,13,,,,,,,D,,
0,note_on,,,,,0,0,13,,,,,6,,,69,100
0,note_on,,,,,0,0,13,,,,,6,,,66,100
0,track_name,,,,,0,1,14,,,,,,,,,
0,control_change,,,,,0,0,14,,,0,0,6,,,,
0,program_change,,,,,0,0,14,,,,,6,6,,,
0,control_change,,,,,0,0,14,,,7,55,6,,,,
0,control_change,,,,,0,0,14,,,91,62,6,,,,
0,key_signature,,,,,0,1,14,,,,,,,D,,
0,note_on,,,,,0,0,14,,,,,6,,,50,100
0,key_signature,,,,,0,1,7,,,,,,,D,,
0,note_on,,,,,0,0,11,,,,,4,,,50,70
0,control_change,,,,,0,0,7,,,91,63,0,,,,
0,key_signature,,,,,0,1,11,,,,,,,D,,
0,control_change,,,,,0,0,11,,,10,73,4,,,,
0,program_change,,,,,0,0,8,,,,,1,48,,,
0,control_change,,,,,0,0,8,,,7,100,1,,,,
0,control_change,,,,,0,0,8,,,10,42,1,,,,
0,control_change,,,,,0,0,8,,,91,64,1,,,,
0,key_signature,,,,,0,1,8,,,,,,,D,,
0,note_on,,,,,0,0,8,,,,,1,,,78,70
0,track_name,,,,,0,1,9,,,,,,,,,
0,control_change,,,,,0,0,9,,,0,0,2,,,,
0,program_change,,,,,0,0,9,,,,,2,48,,,
0,control_change,,,,,0,0,9,,,7,100,2,,,,
0,control_change,,,,,0,0,9,,,10,47,2,,,,
0,control_change,,,,,0,0,9,,,91,67,2,,,,
0,key_signature,,,,,0,1,9,,,,,,,D,,
0,note_on,,,,,0,0,9,,,,,2,,,74,70
0,track_name,,,,,0,1,10,,,,,,,,,
0,control_change,,,,,0,0,10,,,0,0,3,,,,
0,program_change,,,,,0,0,10,,,,,3,48,,,
0,control_change,,,,,0,0,10,,,7,95,3,,,,
0,control_change,,,,,0,0,10,,,91,67,3,,,,
0,key_signature,,,,,0,1,10,,,,,,,D,,
0,note_on,,,,,0,0,10,,,,,3,,,69,70
0,track_name,,,,,0,1,11,,,,,,,,,
0,control_change,,,,,0,0,11,,,0,0,4,,,,
0,program_change,,,,,0,0,11,,,,,4,48,,,
0,control_change,,,,,0,0,11,,,7,82,4,,,,
0,control_change,,,,,0,0,11,,,91,65,4,,,,
0,control_change,,,,,0,0,7,,,10,57,0,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,program_change,,,,,0,0,7,,,,,0,40,,,
0,program_change,,,,,0,0,6,,,,,0,40,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,,
0,control_change,,,,,0,0,6,,,10,57,0,,,,
0,control_change,,,,,0,0,6,,,91,63,0,,,,
0,key_signature,,,,,0,1,6,,,,,,,D,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,7,,,7,100,0,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,key_signature,,,,,0,1,3,,,,,,,D,,
0,program_change,,,,,0,0,3,,,,,0,40,,,
0,control_change,,,,,0,0,3,,,91,63,0,,,,
0,control_change,,,,,0,0,3,,,10,57,0,,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,,
0,control_change,,,,,0,0,3,,,0,0,0,,,,
0,end_of_track,,,,,0,1,3,,,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,0,,,,
