tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,key,control,value,channel,program,note,velocity
0,time_signature,12,8,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,7,,,,0,0,0,,,
0,program_change,,,,,0,0,7,,,,,,0,40,,
0,control_change,,,,,0,0,7,,,,7,100,0,,,
0,control_change,,,,,0,0,7,,,,91,107,0,,,
0,key_signature,,,,,0,1,7,,,Bm,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,control_change,,,,,0,0,13,,,,0,0,6,,,
0,control_change,,,,,0,0,13,,,,7,45,6,,,
0,control_change,,,,,0,0,13,,,,10,77,6,,,
0,control_change,,,,,0,0,13,,,,91,107,6,,,
0,key_signature,,,,,0,1,13,,,Bm,,,,,,
0,note_on,,,,,0,0,13,,,,,,6,,62,100
0,note_on,,,,,0,0,13,,,,,,6,,66,100
0,program_change,,,,,0,0,13,,,,,,6,6,,
0,end_of_track,,,,,0,1,6,,,,,,,,,
0,key_signature,,,,,0,1,6,,,Bm,,,,,,
0,control_change,,,,,0,0,6,,,,91,107,0,,,
0,control_change,,,,,0,0,4,,,,7,100,0,,,
0,control_change,,,,,0,0,4,,,,91,107,0,,,
0,key_signature,,,,,0,1,4,,,Bm,,,,,,
0,end_of_track,,,,,0,1,4,,,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,control_change,,,,,0,0,5,,,,0,0,0,,,
0,program_change,,,,,0,0,5,,,,,,0,40,,
0,control_change,,,,,0,0,5,,,,7,100,0,,,
0,control_change,,,,,0,0,5,,,,91,107,0,,,
0,key_signature,,,,,0,1,5,,,Bm,,,,,,
0,end_of_track,,,,,0,1,5,,,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,control_change,,,,,0,0,6,,,,0,0,0,,,
0,program_change,,,,,0,0,6,,,,,,0,40,,
0,control_change,,,,,0,0,6,,,,7,100,0,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,note_on,,,,,0,0,16,,,,,,7,,47,100
0,key_signature,,,,,0,1,16,,,Bm,,,,,,
0,control_change,,,,,0,0,16,,,,91,105,7,,,
0,control_change,,,,,0,0,14,,,,91,107,6,,,
0,key_signature,,,,,0,1,14,,,Bm,,,,,,
0,note_on,,,,,0,0,14,,,,,,6,,47,100
0,key_signature,,,,,0,1,15,,,Bm,,,,,,
0,control_change,,,,,0,0,15,,,,91,105,7,,,
0,control_change,,,,,0,0,15,,,,7,45,7,,,
0,program_change,,,,,0,0,15,,,,,,7,19,,
0,control_change,,,,,0,0,15,,,,0,0,7,,,
0,note_on,,,,,0,0,8,,,,,,1,,74,70
0,key_signature,,,,,0,1,8,,,Bm,,,,,,
0,control_change,,,,,0,0,8,,,,91,107,1,,,
0,control_change,,,,,0,0,8,,,,10,49,1,,,
0,control_change,,,,,0,0,8,,,,7,100,1,,,
